Country/area;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Europe;66.8;75.8;239.8;509.2;594.4;684.4;882.4;1081.4;1429.8;2121.1;2930.6;3540.9;5013.1;6683.5;7975.9;10996;12633.2;15856;18871.1
Albania;;;;;;;;;;;;;;;;;;;
Andorra;;;;;;;;;;;;;;;;;;;
Austria;;;;;;;;;;;;;;;;;;;
Belarus;;;;;;;;;;;;;;;;;;;
Belgium;0;0;0;0;0;0;0;0;0;31.5;196.5;196.5;381;707.7;707.7;712;712.2;877.2;1178
Bosnia Herzg;;;;;;;;;;;;;;;;;;;
Bulgaria;;;;;;;;;;;;;;;;;;;
Croatia;;;;;;;;;;;;;;;;;;;
Cyprus;;;;;;;;;;;;;;;;;;;
Czechia;;;;;;;;;;;;;;;;;;;
Denmark;50;50;214;423.4;423.4;423.4;423.4;423.4;423.4;660.9;867.9;871.5;921.9;1271.1;1271.1;1271.1;1271.1;1296.8;1701
Estonia;;;;;;;;;;;;;;;;;;;
Faroe Islands;;;;;;;;;;;;;;;;;;;
Finland;0;0;0;0;0;0;0;0;24;24;26.3;26.3;26.3;26.3;26.3;32;32;72.7;72.7
France;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2
Germany;0;0;0;0;0;0;0;0;0;35;80;188;268;508;994;3283;4132;5427;6417
Gibraltar;;;;;;;;;;;;;;;;;;;
Greece;;;;;;;;;;;;;;;;;;;
Holy See;;;;;;;;;;;;;;;;;;;
Hungary;;;;;;;;;;;;;;;;;;;
Iceland;;;;;;;;;;;;;;;;;;;
Ireland;0;0;0;0;25.2;25.2;25.2;25.2;25.2;25.2;25.2;25.2;25.2;25.2;25.2;25.2;25.2;25.2;25.2
Italy;;;;;;;;;;;;;;;;;;;
Kosovo*;;;;;;;;;;;;;;;;;;;
Latvia;;;;;;;;;;;;;;;;;;;
Liechtenstein;;;;;;;;;;;;;;;;;;;
Lithuania;;;;;;;;;;;;;;;;;;;
Luxembourg;;;;;;;;;;;;;;;;;;;
Malta;;;;;;;;;;;;;;;;;;;
Moldova Rep;;;;;;;;;;;;;;;;;;;
Monaco;;;;;;;;;;;;;;;;;;;
Montenegro;;;;;;;;;;;;;;;;;;;
Netherlands;0;0;0;0;0;0;108;108;228;228;228;228;228;228;228;357;957;957;957
North Macedonia;;;;;;;;;;;;;;;;;;;
Norway;0;0;0;0;0;0;0;0;0;2.3;2.3;2.3;2.3;2.3;2.3;2.3;2.3;2.3;2.3
Poland;;;;;;;;;;;;;;;;;;;
Portugal;0;0;0;0;0;0;0;0;0;0;0;1.9;2;2;2;2;0;0;0
Romania;;;;;;;;;;;;;;;;;;;
San Marino;;;;;;;;;;;;;;;;;;;
Serbia;;;;;;;;;;;;;;;;;;;
Slovakia;;;;;;;;;;;;;;;;;;;
Slovenia;;;;;;;;;;;;;;;;;;;
Spain;0;0;0;0;0;0;0;0;0;0;0;0;0;5;5;5;5;5;10
Sweden;13;22;22;22;22;22;22;131;133;163;163;163;163;212;213;213;203;203;206
Switzerland;;;;;;;;;;;;;;;;;;;
UK;3.8;3.8;3.8;63.8;123.8;213.8;303.8;393.8;596.2;951.2;1341.5;1838.3;2995.5;3696;4501.3;5093.4;5293.4;6987.9;8299.9
Ukraine;;;;;;;;;;;;;;;;;;;
European Union;66.8;75.8;239.8;509.2;594.4;684.4;882.4;1081.4;1429.8;2118.8;2928.3;3538.6;5010.8;6681.2;7973.6;10993.7;12630.9;15853.7;18868.8
;;9;164;269.4;85.2;90;198;199;348.4;689;809.5;610.3;1472.2;1670.4;1292.4;3020.1;1637.2;3222.8;3015.1
