Country/area;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Europe;12663.2;17318.2;23048;27644.2;33726.5;39999.9;47037.1;55259.7;62625.5;73686.5;81989.7;91138.6;102132.6;111673.5;122141.5;131997.8;143272.9;155195.6;163569
Albania;;;;;;;;;;;;;;;;;;;
Andorra;;;;;;;;;;;;;;;;;;;
Austria;50;67;109;322;581;825.2;968.3;991.2;992;1001;1015.8;1106;1337.2;1674.5;2110.3;2488.7;2730;2886.7;3077.7
Belarus;0.3;0.6;1.1;1.1;1.1;1.1;1.1;1.9;1.9;1.9;1.9;2;2;2;3;43.2;68.4;82.8;101.1
Belgium;14;26;31;67;96;167;212;276;324;576.5;715.5;872.5;989;1072.3;1236.3;1464;1657.8;1928.4;1979
Bosnia Herzg;0;0;0;0;0;0;0;0;0;0;0;0.3;0.3;0.3;0.3;0.3;0.3;0.3;50.9
Bulgaria;0;0;0;0;1;8;27;30;114;333;488;541;677;683;699;699;699;698.4;698.4
Croatia;0;0;0;0;6;6;17;17;17;70;79;130;180;254;339;418;483;576.1;582
Cyprus;0;0;0;0;0.2;0.2;0.2;0.2;0.2;0.2;82.2;134.2;147.2;147.2;147.2;158.2;158.2;157.7;157.7
Czechia;1;1;6;11;17;22;44;114;150;193;213;213;258;262;278;281;282;308.2;316
Denmark;2340.1;2447.2;2680.6;2696.6;2700.4;2704.5;2712.3;2700.9;2739.5;2821.2;2934;3080.5;3240.1;3548.1;3615.5;3806.1;3974.6;4225.5;4420
Estonia;0;0;1;3;7;31;31;50;77;104;108;180;266;248;275;300;310;311.8;311.8
Faroe Islands;0.2;0.2;0.2;2.1;2.1;4.1;4.1;4.1;4.1;4.1;4.1;4.1;8.6;8.6;20.3;20.3;20.3;20.3;20.3
Finland;38;39;43;52;82;82;86;110;119;123;170.7;172.7;230.7;420.7;600.7;973;1533;1971.3;1968.3
France;38;66;138;218;358;690;1412;2223;3403;4582;5912;6723.3;7562.2;8250;9110.1;10258.2;11510.9;13510.3;15106
Germany;6095;8754;12001;14381;16419;18248;20474;22116;22794;25697;26823;28524;30711;32969;37620;41297;45460;50291;52565
Gibraltar;;;;;;;;;;;;;;;;;;;
Greece;226;270;287;371;470;491;749;846;1022;1171;1298;1640;1753;1809;1978;2091;2370;2624;2877
Holy See;;;;;;;;;;;;;;;;;;;
Hungary;0;1;1;3;3;17;33;61;134;203;293;331;325;329;329;329;329;329;329
Iceland;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3;3;3;2.4;2.4
Ireland;116.5;122.9;134.8;210.3;311.2;468.1;651.3;715.3;917.1;1226.1;1365.2;1559.4;1679.2;1983;2258.1;2426;2760.8;3292.8;3492.8
Italy;363;664;780;874;1127;1635;1902;2702;3525;4879;5794;6918;8102;8542;8683;9137;9384;9736.6;10310
Kosovo*;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;33.8;37.4
Latvia;2;2;22;26;26;26;26;26;28;29;30;36;59;65.9;68.9;68.2;69.9;77.1;77.1
Liechtenstein;;;;;;;;;;;;;;;;;;;
Lithuania;0;0;0;0;1;1;31;47;54;98;133;202;275;279;288;436;509;518;521
Luxembourg;14;13.9;13.9;20.5;34.9;34.9;34.9;34.9;42.9;42.9;43.7;44.5;58.3;58.3;58.3;63.8;119.7;119.7;149.7
Malta;0;0;0;0;0;0;0;0;0;0;0;0;0.1;0.1;0.1;0.1;0.1;0.1;0.1
Moldova Rep;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;2;9;27
Monaco;;;;;;;;;;;;;;;;;;;
Montenegro;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;72;118
Netherlands;447;486;672;905;1075;1224;1453;1641;1921;1994;2009;2088;2205;2485;2637;3034;3300;3245;3514
North Macedonia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;37;37;37;37;37
Norway;13;13;97;97;152;265;284;348;395;420.7;422.7;509.7;702.7;815.7;860.7;864.7;880.7;1204.7;1673
Poland;4;19;32;35;40;121;172;306;526;709;1108;1800;2564;3429;3836;4886;5747;5759.4;5775.4
Portugal;83;125;190;268;553;1064;1681;2201;2857;3326;3796;4254.4;4409.6;4607.9;4854.6;4934.8;5124.1;5124.1;5191.1
Romania;0;0;0;0;0;1;1;3;5;15;389;988;1822;2773;3244;3130;3025;3029.8;3029.8
San Marino;;;;;;;;;;;;;;;;;;;
Serbia;0;0;0;0;0;0;0;0;0;0;0;0;0.5;0.5;0.5;10;17;25;374
Slovakia;0;0;0;3;3;5;5;5;5;3;3;3;3;5;3;3;3;4;4
Slovenia;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;5;5;5;5
Spain;2206;3397;4891;5945;8317;9918;11722;14820;16555;19176;20693;21529;22789;22953;22920;22938;22985;23095;23426
Sweden;196;273;335;395;453;500;563;692;956;1312;1854;2601;3443;3982;4875;5606;6232;6408;7112
Switzerland;3;5;5;5;9;12;12;12;14;18;42;46;49;60;60;60;75;75;75
UK;408.2;489.2;530.2;678.2;809.2;1351.2;1651.2;2083.2;2849.8;3470.8;4079.8;4758;6035;7586.3;8572.7;9212.2;10880.2;12847.4;13436.4
Ukraine;5;36.2;46.2;54.4;71.4;76.6;76.6;82;83;86;88;146;248;362;513.9;513.9;526;553;620.8
European Union;12649.1;17270.5;22909.1;27503.3;33517.3;39671.4;46694.4;54849.6;62165.5;73193.7;81469.3;90468.8;101159.8;110459.7;120680.1;130486.3;141686.2;153124.3;160475.8
