Country/area;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Albania;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1
Andorra;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
Austria;5;7;9;23;27;21;22;24;30;49;89;174;338;626;785;937;1096;1269;1431
Belarus;0;0;0;0;0;0;0;0;0;0;0;0;0;1;4;13;51;153;154
Belgium;0;0;1;1;1;2;2;20;62;386;1007;1979;2647;2902;3014;3131;3325;3610;4026
BosniaHerzg;0;0;0;0;0;0;0;0;0;0;0;0;0;1;7;8;14;16;19
Bulgaria;0;0;0;0;0;0;0;0;0;2;25;154;1013;1020;1026;1029;1028;1036;1036
Croatia;0;0;0;0;0;0;0;0;0;0;0;0;4;19;33;48;56;60;61
Cyprus;0;0;0;0;1;1;1;1;2;4;7;10;17;35;64;76;84;110;113
Czechia;0;0;0;0;0;1;1;4;40;465;1727;1913;2022;2064;2068;2075;2068;2070;2078
Denmark;1;1;2;2;2;3;3;3;3;5;7;17;402;571;607;782;851;906;998
Estonia;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3;7;11;11;11
FaroeIslands;;;;;;;;;;;;;;;;;;;
Finland;2;3;3;3;4;4;5;5;6;6;7;7;8;9;11;15;35;74;125
France;7;7;8;9;11;13;15;26;80;277;1044;3004;4359;5277;6034;7138;7702;8610;9483
Germany;114;195;260;435;1105;2056;2899;4170;6120;10565;18005;25915;34075;36709;37898;39243;40714;42337;45277
Gibraltar;;;;;;;;;;;;;;;;;;;
Greece;0;1;1;1;1;1;5;9;12;46;202;612;1536;2579;2596;2604;2604;2606;2652
HolySee;;;;;;;;;;;;;;;;;;;
Hungary;0;0;0;0;0;0;0;0;1;1;2;4;12;35;89;172;235;344;665
Iceland;;;;;;;;;;;;;;;;;;;
Ireland;0;0;0;0;0;0;0;0;0;1;1;1;1;1;2;2;6;16;29
Italy;19;20;22;26;31;34;45;110;483;1264;3592;13131;16785;18185;18594;18901;19283;19682;20120
Kosovo*;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;7;7
Latvia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1
Liechtenstein;;;;;;;;;;;;;;;;;;;
Lithuania;0;0;0;0;0;0;0;0;0;0;0;0;7;68;69;69;70;74;84
Luxembourg;0;0;2;14;24;24;24;24;25;26;30;41;75;95;110;116;122;128;134
Malta;0;0;0;0;0;0;0;0;0;1;1;5;16;29;55;75;94;112;127
MoldovaRep;0;0;0;0;0;0;0;0;0;0;0;52;54;66;66;70;57;65;4
Monaco;;;;;;;;;;;;;;;;;;;
Montenegro;0;0;0;0;0;0;0;0;0;0;1;1;1;1;2;3;3;3;3
Netherlands;13;21;26;46;50;51;53;54;59;69;90;149;369;746;1048;1515;2049;2903;4150
NorthMacedonia;0;0;0;0;0;0;0;0;0;0;0;2;4;7;15;17;17;17;21
Norway;6;6;6;7;7;7;8;8;8;9;9;10;10;11;13;15;27;45;68
Poland;0;0;0;0;0;0;0;0;0;0;0;1;1;2;27;108;187;287;487
Portugal;1;1;1;2;2;2;3;24;59;115;134;172;238;296;415;447;513;579;670
Romania;0;0;0;0;0;0;0;0;0;0;0;1;41;761;1293;1326;1372;1374;1377
SanMarino;;;;;;;;;;;;;;;;;;;
Serbia;0;0;0;0;0;0;0;0;1;1;1;2;3;5;6;9;11;10;10
Slovakia;0;0;0;0;0;0;0;0;0;0;19;496;513;533;533;533;533;528;531
Slovenia;0;0;0;0;0;0;0;1;1;4;12;57;142;187;223;238;233;247;256
Spain;10;13;17;22;33;52;130;494;3384;3423;3873;4283;4569;4690;4697;4704;4716;4725;4744
Sweden;3;3;3;4;4;4;5;6;8;9;11;12;24;43;60;104;153;402;532
Switzerland;16;18;20;22;24;28;30;37;49;79;125;223;437;756;1061;1394;1664;1906;2246
UK;2;3;4;6;8;11;14;18;23;27;95;1000;1753;2937;5528;9601;11912;12776;13108
Ukraine;0;0;0;0;0;0;0;0;0;0;3;188;372;748;819;841;955;1200;2003
European Union;177;275;359;595;1304;2281;3234;5006;10420;16816;30148;53391;71287;80754;87231;95369;101433;107261;114693
