,Fueltype,Country,Capacity,YearCommissioned
0,coal,DK,395.0,1984.0
1,CCGT,GB,880.0,2004.0
2,CCGT,NL,864.0,2010.0
3,CCGT,DK,430.0,1997.0
4,CCGT,AT,1272.0,2009.0
5,coal,PL,557.0,1993.0
6,CCGT,GB,1234.0,1998.0
7,coal,PL,1790.0,2008.0
8,coal,PL,212.0,1985.0
9,lignite,PL,1718.0,1967.0
10,coal,PL,690.0,1972.0
11,lignite,DE,3406.0,1965.0
12,nuclear,CH,390.0,1972.0
13,coal,NL,1068.0,2016.0
14,coal,DE,1208.0,1962.0
15,coal,ES,347.7,1981.0
16,coal,PL,4016.0,2017.0
17,coal,PL,1345.0,1997.0
18,nuclear,CH,1035.0,1979.0
19,CCGT,GB,150.0,1993.0
20,coal,DK,410.0,1991.0
21,CCGT,FR,826.0,2010.0
22,OCGT,AT,347.0,2001.0
23,coal,PL,1357.0,1996.0
24,nuclear,NL,492.0,1973.0
25,CCGT,GB,819.0,1999.0
26,lignite,ES,1055.77,1979.0
27,CCGT,ES,1277.5639999999999,2006.0
28,nuclear,ES,1045.31,1987.0
29,coal,GB,363.0,1966.0
30,lignite,PL,1488.0,1995.0
31,coal,DK,265.0,1989.0
32,nuclear,DE,1288.0,1984.0
33,coal,ES,485.85,1964.0
34,nuclear,FR,1830.0,1983.0
35,oil,DK,665.0,1973.0
36,nuclear,FR,5460.0,1980.0
37,nuclear,DE,1360.0,1985.0
38,nuclear,SI,727.0,2006.0
39,chp,DE,417.0,2007.0
40,nuclear,GB,1207.0,1984.0
41,chp,DE,449.0,1989.0
42,coal,DE,875.0,1987.0
43,nuclear,GB,2433.0,1984.0
44,nuclear,GB,1061.0,1976.0
45,CCGT,DE,606.0,1976.0
46,chp,DE,1028.0,1965.0
47,coal,DE,794.0,1985.0
48,oil,DE,772.0,1973.0
49,CCGT,DE,1407.0,2010.0
50,nuclear,DE,1410.0,1988.0
51,lignite,DE,2790.0,1981.0
52,chp,DE,1351.0,1985.0
53,OCGT,GB,600.0,1994.0
54,chp,DE,164.0,1981.0
55,CCGT,DE,1230.0,2006.0
56,oil,GB,140.0,1996.0
57,coal,ES,501.81000000000006,1969.0
58,nuclear,CH,1245.0,1984.0
59,nuclear,FR,5320.0,1985.0
60,coal,DK,435.0,1976.0
61,chp,DE,260.0,1995.0
62,nuclear,FI,1770.0,1979.0
63,nuclear,SE,2511.0,2006.0
64,CCGT,ES,1167.0,2004.0
65,nuclear,FR,2660.0,1982.0
66,lignite,DE,1750.0,1999.0
67,nuclear,DE,1402.0,1985.0
68,coal,FR,595.0,1984.0
69,coal,ES,299.76,1980.0
70,chp,DE,688.0,1969.0
71,nuclear,FR,2620.0,1987.0
