scenario,,,go,go,go,go,go,go,go,wait,wait,wait,wait,wait,wait,wait
line_volume_limit,,,opt,opt,opt,opt,opt,opt,opt,opt,opt,opt,opt,opt,opt,opt
year,,,2020,2025,2030,2035,2040,2045,2050,2020,2025,2030,2035,2040,2045,2050
generators,capital,offwind,3128399442.5011783,2900404228.10481,9096716324.065487,39313102513.20937,47556546968.899475,45010040345.96441,48932506945.065384,3128399442.5011783,2901690954.461798,13986323228.008076,28955093291.348915,39404862727.272766,43701845066.45119,51125349482.72749
generators,capital,onwind,25123957325.508957,32496055662.126884,53708312049.88546,74101546457.61537,86399890606.01218,82143212807.22249,80409096046.29442,25123957325.508957,41642209882.06374,56268386045.92778,65912809380.9884,69951875812.75075,70333714981.44391,78620324078.75569
generators,capital,ror,4394961172.33428,4394961172.33428,4394961172.33428,4394961172.33428,4394961172.33428,4394961172.33428,4394961172.33428,4394961172.33428,4394961172.33428,4394961172.33428,4394961172.33428,4394961172.33428,4394961172.33428,4394961172.33428
generators,capital,solar,6509028805.478793,5283030203.622937,16474482306.840588,18724245845.530857,18454606925.592907,18216893899.292233,21564249694.210323,6509028805.478793,10999259132.361572,17212055879.329395,18794314464.181618,17930322244.16887,17542309636.330627,20906794749.107136
generators,marginal,offwind,162380714.93886682,146052952.21843913,492393145.2643221,2126171257.5030425,2625262173.067279,2470665176.072366,2655573269.8827877,162380714.93886682,144498675.94198182,768375548.8437833,1570731006.5352552,2125352196.6686351,2381068965.8998365,2780044013.8904448
generators,marginal,onwind,1590156220.057329,2154819559.4056973,3700857117.4636755,5177615319.394745,6147722796.341154,5904989502.782543,5791027929.619531,1590156220.057329,2820681761.8237696,3876698358.691036,4646135487.55352,4947611892.140937,4990894257.244012,5621569864.908055
generators,marginal,ror,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
generators,marginal,solar,983119.8340585667,931621.9440385122,3628417.850697661,4498689.811420019,4784045.538197396,5062652.82490045,6305702.552236905,983119.8340585667,2123338.485432998,3799263.3092091084,4506526.531350403,4653711.78423117,4899706.677122838,6146491.799105608
links,capital,CCGT,9040698274.765133,8460295195.202207,7403376940.353336,2757052473.1746674,1115485490.3065994,111860584.8641691,6369670.011929246,9040698274.765133,8460455115.696719,7403559795.502056,2759442933.3175406,1117457459.1701329,114623463.49524103,8783678.114648752
links,capital,H2 Electrolysis,938285.4548272952,982518.6790815755,1418693.9422180315,1368175174.5486984,6666418836.47785,6667440694.081225,6906297277.999935,938285.4548272952,1228779.5448379563,1580191.0923180978,25218056.442917336,1135758503.926875,2015253019.815866,5805617886.758025
links,capital,H2 Fuel Cell,703306.2154608506,739981.0324579094,793814.582956401,912954730.0000901,919411067.618438,919890204.0933774,993567615.6662924,703306.2154608506,806904.1441489607,884107.0888129962,9007267.017068177,791413548.8857503,985095973.4309268,1046564026.4713842
links,capital,OCGT,834412504.8227975,797315107.4299457,751048249.2728306,129890618.06927249,54372293.83807345,13680965.3656038,4486997.96202136,834412504.8227975,797338772.6825025,751062207.9033878,131141859.1105755,55335308.33017732,15688608.903921772,6241346.9859012915
links,capital,Sabatier,685712.3660935654,770645.9527107788,903345.2992320639,6366390.09696315,6513674971.980891,6515361481.11463,6516146551.610877,685712.3660935654,953798.340080888,1000126.0837469577,7895231.221524709,10157605.814178402,1263457915.208981,5539935061.243285
links,capital,battery charger,1553484.3092781454,1521677.1543613605,1678167.748775358,8908835.854065955,12877256.857086973,11559215.861369083,14820189.106287811,1553484.3092781454,1812459.414232378,1693431.961114447,13183026.682940036,15495630.712487305,19837665.964206398,20081796.466652025
links,capital,battery discharger,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
links,capital,central CHP electric,3830578658.078588,4124455353.6176805,4870453734.101828,4871039178.535371,4872624140.880457,4873078307.704665,4873616489.207291,3830578658.078588,4405303944.603527,4946058544.252248,5027719458.629331,5028652619.782851,5029982227.961318,5032008168.215436
links,capital,central CHP heat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
links,capital,central gas boiler,1048049133.7709213,1611119818.0867262,1872389603.5965946,1872463602.818776,1872594518.4045172,1872675054.3766727,1893105189.7130148,1048049133.7709213,1515549697.9328501,1818280370.6952298,1983408505.4880612,1983573388.2293684,1983731990.5089393,1984081282.2763824
links,capital,central heat pump,1302405200.912514,2162116062.82718,6302184193.239522,26517452259.92766,44528015625.96266,47809515811.951294,52719806245.487854,1302405200.912514,2977122179.988687,6784519384.117835,15112791554.850843,31382163995.3803,46861965763.65665,56404706713.41914
links,capital,central resistive heater,116316552.83128966,233022254.11279872,1054011526.7121656,2438672252.7031317,3100444874.32482,3412855319.9123564,3823190518.630952,116316552.83128966,372448014.4618085,1206986734.8618493,2152671544.6222706,2698361531.66111,3143578713.9228654,3714098528.5155516
links,capital,central water tanks charger,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
links,capital,central water tanks discharger,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
links,capital,coal,7170327702.667118,6360501871.69684,5441054302.078369,5008123275.796499,4295348839.26959,876910050.2407961,519802361.8210538,7170327702.667118,6360722058.251773,5441258558.703407,5009603466.559137,4296490203.828169,879588482.2374421,522205999.39519346
links,capital,cooling pump,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
links,capital,gas boiler,9162321621.246332,9162377878.912071,9162439068.41879,9162578687.105291,9162687154.027098,9162864289.42821,9163005430.597216,9162321621.246332,9162383696.099712,9162422441.556984,9162671983.95766,9163014724.769175,9163313898.035604,9163697195.44625
links,capital,ground heat pump,37730120198.976036,37730389741.08112,38916927955.44564,49354466732.74008,54144852551.66888,54145033083.706764,54145493771.278366,37730120198.976036,37730690199.31822,39040145249.574066,40653923699.44596,45777609643.09833,47829397359.352615,47878691331.253784
links,capital,lignite,17528359708.9208,17314092968.7638,17280238116.161552,17251579865.67666,16478485118.716923,15116379362.929157,15116956049.124249,17528359708.9208,17313787967.38475,17280098902.887936,17251922222.681206,16478689029.281208,15117082051.238924,15117529958.293125
links,capital,nuclear,23904715557.882786,23346695792.022892,21238746946.66788,18692919151.682293,18694928225.850273,18470171497.070755,636197203.0352846,23904715557.882786,23346809170.967896,21238767151.79691,18698166629.409786,18700068144.70943,18478960241.372948,647169955.9659821
links,capital,oil,326790288.96631104,309529578.04736763,299300493.81999785,4545920.339607429,3791425.8727781195,3790326.3004804803,4016302.5592914307,326790288.96631104,309605724.1506064,299396614.69344175,5650914.643884088,4688762.717734529,5546079.889704077,5654135.047283633
links,capital,resistive heater,1182188394.39457,1267058346.2572744,1366346299.928234,1685788278.71128,1692525472.4085073,1692603915.9295177,1692668909.1879244,1182188394.39457,1387486520.1838691,1401036106.6382322,1532163697.1373365,1556281875.849399,1562576989.6878161,1564190630.3244615
links,capital,transmission lines,3555456506.785583,4293624806.551835,9864920370.486763,23473588003.95834,29034107733.35615,27876482107.12387,30177582669.19409,3555456506.785583,5374135065.586891,11585125865.79413,19069226645.36383,23277112567.005386,26149168614.48682,30794439305.541233
links,capital,water tanks charger,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
links,capital,water tanks discharger,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
links,marginal,CCGT,170219259.37903643,107448928.38623697,17428352.46727246,8329792.273724755,2544160.4240766093,623858.655115653,202347.8257726245,170219259.37903643,62643721.76822916,38759950.35662732,70781662.97873496,5248570.844623763,863204.3769395492,261977.0420901125
links,marginal,H2 Electrolysis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
links,marginal,H2 Fuel Cell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
links,marginal,OCGT,9104489.871958554,2419216.140558763,111774.07238501016,603481.587804467,269025.9241639215,203495.0293149864,190199.01168228465,9104489.871958554,316999.4304723872,117840.93868349624,525906.694974863,532196.0189095646,328677.8777927758,237069.38505371916
links,marginal,Sabatier,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
links,marginal,battery charger,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
links,marginal,battery discharger,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
links,marginal,central CHP electric,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
links,marginal,central CHP heat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
links,marginal,central gas boiler,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
links,marginal,central heat pump,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
links,marginal,central resistive heater,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
links,marginal,central water tanks charger,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
links,marginal,central water tanks discharger,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
links,marginal,coal,750244611.6379988,456641279.9717364,24881365.747984994,75269.73917586241,52033.294018605426,53587.10837074861,66249.28947180985,750244611.6379988,177741063.02538174,1238198.5521574155,390768.40983901906,124709.03886289953,97529.18613296455,85437.3567981163
links,marginal,cooling pump,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
links,marginal,gas boiler,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
links,marginal,ground heat pump,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
links,marginal,lignite,7280754593.69972,6620478181.3401375,2877275994.630135,2562862.4128953596,141490.34495664242,172012.58915892369,549225.2069024707,7280754593.69972,5445034520.104955,1889755014.8115635,28870800.886769734,7248770.69467526,643001.3763923303,333548.45295353327
links,marginal,nuclear,2975871186.8527865,2901200763.567112,2504703030.465542,1955642612.8120694,1968536166.9100685,1968149352.7211232,64023859.87358955,2975871186.8527865,2864836632.9055867,2478480526.2253456,2062352767.1289077,1957201215.8017657,1877421852.7219298,66007447.36054672
links,marginal,oil,746480.1562950193,65781.02577369356,33556.35919263242,101542.90377778996,93868.60508555557,94030.24839842446,116642.99592497152,746480.1562950193,43702.55864662504,35726.61679319988,235481.51895505338,163702.58259165735,167987.12594555542,155392.54135535785
