scenario,,go,go,go,go,go,go,go,wait,wait,wait,wait,wait,wait,wait
line_volume_limit,,opt,opt,opt,opt,opt,opt,opt,opt,opt,opt,opt,opt,opt,opt
year,,2020,2025,2030,2035,2040,2045,2050,2020,2025,2030,2035,2040,2045,2050
generators,offwind,51581794.109656945,52050364.25569939,285922233.97837144,621494277.1581379,851094011.5762475,998985256.5582821,1276290200.9565148,51581794.109656945,52405042.019289725,167261107.6262176,821203875.2070004,1126737553.4623094,1124091538.6633117,1279296827.3432705
generators,onwind,879083453.3705245,1291479780.5562818,1727978967.526014,1964834483.9658248,2182554200.1581736,2264814384.124384,2474430872.5986238,879083453.3705245,1016861599.8327646,1657415429.7939694,2245550803.396816,2518916283.5551662,2472579531.744617,2484916165.1732984
generators,ror,156991285.65840712,157544801.63330135,157486381.49115172,157229801.94756126,157531084.2682681,157670000.19424108,157768220.90655804,156991285.65840712,157592641.60192844,157454738.43347508,157219130.8161531,157814819.78017375,157784446.001849,157739012.59622356
generators,solar,99895785.60588086,183374534.2496369,374107847.3389038,457180561.4326272,482254561.7448943,498228617.42259854,651008750.3733326,99895785.60588086,104144249.53212991,369221430.5897255,463556686.9523156,500835214.38971406,539196763.5122839,668854922.7808534
links,CCGT,-68430815.29466054,-23291726.840156917,-12416229.306236662,-16543374.499362232,-2977258.5508613056,-531661.4183765659,-186128.74058556772,-68430815.29466054,-43692705.17410828,-13585491.29438383,-6013462.563139292,-1489697.2052989705,-348421.8200937311,-198489.9504131766
links,H2 Electrolysis,-2947784.1387976524,-1618790.9799638453,-1837029.4595365946,-3300596.3161477624,-16442047.646268653,-28365243.727798898,-68090802.28611045,-2947784.1387976524,-1421399.6328400378,-1753788.586762842,-18931345.683548804,-74625716.82904544,-72849300.38673097,-76072832.69200413
links,H2 Fuel Cell,-2633991.7297597714,-1712448.3327446335,-2155156.343717692,-4045249.849613163,-26210350.92083004,-29714310.195368834,-31520896.596509937,-2633991.7297597714,-1527911.3874543137,-2008155.9514522138,-30177574.624189705,-20473535.433694664,-22105766.34382945,-29266779.112610053
links,OCGT,-10167781.203875117,-2757448.924374615,-1866010.2246946322,-3267172.425410515,-1190804.1391733044,-596456.7615653395,-218989.42839897732,-10167781.203875117,-4222485.162194045,-1790938.9897129517,-1633154.984859908,-153360.1428721358,-220137.01738068642,-243604.9032127908
links,Sabatier,-2211088.1261413656,-961705.4043363202,-893103.7449047157,-1432673.3488921307,-1346637.8751673058,-17085540.56233316,-78925479.57447755,-2211088.1261413656,-821282.6438359246,-899237.0045757063,-1553024.4396615454,-99902751.45973893,-95505983.97024915,-93843494.33331291
links,battery charger,-1873385.4662753348,-1005593.7152851092,-945603.3666739388,-1538628.900477257,-940675.0512026465,-584835.0405607393,-474301.53779376694,-1873385.4662753348,-854950.4422050419,-893520.8421278277,-1216175.703336794,-336280.1023572488,-433265.2283226489,-535004.8463104549
links,battery discharger,-1686113.5249856962,-905087.3231406941,-851176.0812733449,-1384856.3885014495,-846640.8921826332,-526361.8206382886,-426873.41396825836,-1686113.5249856962,-769501.167435146,-804287.6067343738,-1094629.3539787529,-302656.4611031142,-389943.1670876057,-481506.1323122475
links,central CHP electric,-197042961.19718337,-192064575.65289792,-196635831.3553369,-206365728.21728733,-93686966.5352428,-37802441.01162478,-14682551.166440988,-197042961.19718337,-195395001.1554409,-196303521.87495908,-83053106.69762231,-10011140.625575105,-12757118.302858539,-14119601.992975676
links,central CHP heat,124238128.22017148,138298743.92391816,149290693.28566134,143319206.60673043,72980886.8833873,29150488.381376047,11041164.219651839,124238128.22017148,140689713.2796708,151480974.46553287,64334503.45524348,7570595.41819209,9575635.581328511,10553427.753357405
links,central gas boiler,-26029218.57103938,-46759840.346306086,-56958277.677269846,-51360132.640423104,-35286405.922544055,-20282479.163613494,-6239618.321719438,-26029218.57103938,-47914943.42254143,-60649487.67508653,-29100633.568777226,-3499391.680518347,-6661778.015597797,-9048570.72379372
links,central heat pump,281400106.12430483,328847194.7764381,397395355.26501673,581662923.9977987,928091387.9321142,1305891227.6722999,1678864310.1580467,281400106.12430483,334173934.3192308,385783559.07066405,777577095.8401735,1290810034.7916517,1453894277.439619,1621619768.105517
links,central resistive heater,-3179309.742987126,-5914000.1511087995,-19712003.47543722,-36062572.290697806,-48649366.69771598,-52311293.98757841,-62672231.231055185,-3179309.742987126,-3161319.6475881166,-17119705.77524963,-44019300.56780974,-49512671.84998818,-56695330.324259356,-65496223.691694066
links,central water tanks charger,-22247525.70315176,-13676819.885830592,-19768584.720550694,-36282832.96302139,-54923426.98138699,-78341169.70900454,-108004621.54488511,-22247525.70315176,-11877960.929249585,-17882626.41362619,-50620311.79316676,-86002304.97917715,-92147641.94737941,-103475890.90617746
links,central water tanks discharger,-19704985.396770544,-12031821.88725454,-17229514.731297024,-31325202.732005052,-46034883.167826585,-64119025.40628226,-79486065.29842483,-19704985.396770544,-10444107.839745803,-15585946.856372366,-42538212.08814285,-63677880.32352907,-68699604.00357127,-77946018.11856234
links,coal,-327889345.1380105,-105440149.85698369,-5536043.118820733,-1444148.3495728993,-141690.36158367834,-47863.82617184075,-2027.335807617838,-327889345.1380105,-212238747.22203916,-9246003.999175746,-389030.95457009616,-2577.108828794324,-2561.1746128976565,-2407.9725624663015
links,cooling pump,46998793.14355204,46998793.14355204,46998793.14355204,46998793.14355204,46998793.14355204,46998793.14355204,46998793.14355204,46998793.14355204,46998793.14355204,46998793.14355204,46998793.14355204,46998793.14355204,46998793.14355204,46998793.14355204
links,gas boiler,-108997197.56075548,-92436974.65241756,-68963098.7587209,-47246468.65134068,-26600126.398521103,-11713972.946180884,-2243529.5755092506,-108997197.56075548,-92827773.28804156,-69747195.8320909,-36427938.48792596,-8921906.82935112,-4706578.577539355,-1794172.6190625888
links,ground heat pump,1158694907.0827372,1079635639.3964517,999063944.0014919,930072285.9283301,850153182.4872047,742090348.9894925,582951704.4274461,1158694907.0827372,1078197221.8390298,995363676.2733028,978818456.7730143,921739754.5606045,779300292.4976332,606357525.0353116
links,lignite,-1633679957.6922143,-1243408951.1126873,-557325132.508294,-95306093.19818434,-4475636.305657248,-1132931.636020779,-2225.6181307714905,-1633679957.6922143,-1491959329.5941718,-735625371.2475196,-3232087.666129797,-2791.710722989648,-2782.9660829816003,-2642.0472908482584
links,nuclear,-734408997.6525239,-705854633.3063529,-608447179.5054752,-519067792.4723071,-498286261.8549496,-475303556.5919266,-27333588.647989344,-734408997.6525239,-717813165.0243855,-614509913.2110765,-493934734.93273264,-500998048.58121806,-500876745.9736438,-25960714.06485122
links,oil,-3020398.251290556,-742541.4610118339,-379910.568257016,-493125.7950479521,-102213.44772108745,-43900.9025060927,-2884.9347846623277,-3020398.251290556,-735959.7023010504,-433825.08529793425,-278592.5375701799,-3501.5408088466233,-3565.788418958633,-3471.2427263381087
links,resistive heater,-17072899.827150807,-8485532.925340097,-10611390.22116537,-12433019.491097841,-11049154.162076991,-6758043.621056721,-6387649.261336582,-17072899.827150807,-8122134.090601436,-9820967.744286662,-16698902.460600318,-15795167.68154927,-7474172.572822988,-3397991.1019647312
links,transmission lines,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
links,water tanks charger,-18137618.276555337,-8636125.75101645,-12224400.226063266,-25471843.544819895,-26610267.473522577,-23088932.98137952,-22929032.86072975,-18137618.276555337,-7848962.351687554,-10438741.521793224,-29231745.554591917,-23050913.930023413,-22948275.40516875,-24435447.894501783
links,water tanks discharger,-15388996.58832491,-7124015.574584514,-10038687.66051477,-20558904.998880994,-21259488.876280606,-18190775.627282612,-17947705.999619592,-15388996.58832491,-6460301.064229793,-8621768.109158095,-23460743.69814322,-18116770.929109808,-17964217.672367994,-19091894.971297104
loads,cooling,-70498189.71532698,-70498189.71532698,-70498189.71532698,-70498189.71532698,-70498189.71532698,-70498189.71532698,-70498189.71532698,-70498189.71532698,-70498189.71532698,-70498189.71532698,-70498189.71532698,-70498189.71532698,-70498189.71532698,-70498189.71532698
loads,electricity,-2851391291.3077254,-2851391291.3077254,-2851391291.3077254,-2851391291.3077254,-2851391291.3077254,-2851391291.3077254,-2851391291.3077254,-2851391291.3077254,-2851391291.3077254,-2851391291.3077254,-2851391291.3077254,-2851391291.3077254,-2851391291.3077254,-2851391291.3077254
loads,heat,-2755238347.9969754,-2438743663.576817,-2122248979.1566947,-1805754294.7365522,-1489259610.3164096,-1172764925.896263,-856270241.4761208,-2755238347.9969754,-2438743663.576817,-2122248979.1566947,-1805754294.7365522,-1489259610.3164096,-1172764925.896263,-856270241.4761208
loads,urban heat,-807041984.6618124,-1123536669.0819533,-1440031353.5020974,-1756526037.9222348,-2073020722.342377,-2389515406.762526,-2706010091.1826572,-807041984.6618124,-1123536669.0819533,-1440031353.5020974,-1756526037.9222348,-2073020722.342377,-2389515406.762526,-2706010091.1826572
storage_units,PHS,-8871915.819099888,-4740598.189381094,-12037845.530131115,-19039685.00132182,-20900963.506063845,-19696525.83722108,-20681374.716176465,-8871915.819099888,-6093032.809892188,-10245288.543293074,-20719489.891500317,-18608620.169924248,-18807329.71519068,-21180445.496734988
storage_units,hydro,315438887.6610447,315898603.7845451,315907889.7568512,315801497.84142977,316010970.50750464,316072313.8915624,316121380.34800977,315438887.6610447,315931805.76839215,315899709.15400165,315865092.9099507,316125756.7335605,316115939.1996518,316107454.5398265
stores,H2 Store,-4.166603062571994e-09,-2.1468344990616117e-08,4.8308224975812664e-08,-7.4653419224191e-08,2.0355294259033485e-06,-1.3276842083520535e-06,-3.9119761741091e-06,-4.166603062571994e-09,-1.9576201770732382e-09,2.7028946192331205e-08,3.622129346542158e-06,8.342938180305737e-07,1.669946279037049e-06,1.1648007127718074e-06
stores,battery,-1.4056036168330621e-08,1.841507434041656e-08,-9.859412276186363e-09,1.4956221150441706e-08,2.183089858887044e-08,-9.844062232033934e-09,1.2356470735497282e-08,-1.4056036168330621e-08,1.3803292772673892e-08,1.62432147732261e-08,4.29537982959971e-09,7.355454911817105e-09,-1.4088902239306478e-08,-8.522233141405877e-09
stores,central water tank,-3178560.01003655,-2773703.0941125997,-5623478.839278424,-13294395.650993925,-33962353.00924712,-63880378.741157554,-177180961.7552411,-3178560.01003655,-2461039.0644871024,-5085387.260663746,-30201415.287893314,-137241986.37064484,-142332783.21249366,-151822855.13758644
stores,coal store,611733852.869422,196716697.49437234,10328438.654516296,2694306.6223374973,264347.68952178815,89298.18315641941,3782.342924660143,611733852.869422,395967811.98141605,17250007.461148776,725804.0197203286,4808.038859690902,4778.310844958315,4492.486124004296
stores,gas store,1929428303.4825075,1867861505.787026,1725734550.5859075,1477822884.2175996,835263393.2741433,381179570.7531299,-19635.637195840703,1929428303.4825075,1934126479.553651,1773109583.3165362,854085653.1024684,-23582.146068308917,-23591.65124440595,-23735.78128087849
stores,lignite store,2954213305.0492163,2248479115.9361405,1007821216.1090311,172343749.00214186,8093374.874606236,2048700.969296164,4024.6259145958234,2954213305.0492163,2697937304.8719215,1330244794.299311,5844643.157558402,5048.30148822721,5032.488395988424,4777.66237043084
