scenario,go,go,go,go,go,go,go,wait,wait,wait,wait,wait,wait,wait
line_volume_limit,opt,opt,opt,opt,opt,opt,opt,opt,opt,opt,opt,opt,opt,opt
year,2020,2025,2030,2035,2040,2045,2050,2020,2025,2030,2035,2040,2045,2050
penetration,0.07981120509166907,0.099099915456609,0.2160628521778739,0.4441357880108046,0.6090852677002851,0.6095987653325061,0.6808771920514716,0.07981120509166907,0.13584611782028996,0.238371206718083,0.3627207179894943,0.45504455194008325,0.5245700639478088,0.680433345700559
mix,0.7326973836133792,0.793675243295875,0.6894216238527375,0.7851100630157383,0.8081254503270296,0.7993141337905234,0.7736562883803036,0.7326973836133792,0.6735910765671772,0.7194180286818659,0.7502464303897148,0.780755579070399,0.7838477596024493,0.776093403013531
onwind energy,243275.44680836005,327132.52777988877,563577.5694198263,791901.0772034049,940647.870022572,911385.7585166383,909509.0582717962,243275.44680836005,419205.38057598175,590441.2004884091,704390.491771487,761575.9988331365,780358.4007371598,889276.2191074005
onwind expansion,87124.52280835988,84346.99597152871,242406.09863993764,271695.4217835781,186945.07581916725,11838.993494066657,25180.464755157558,87124.52280835988,176419.84876762153,177196.87691242757,157321.20528307758,95383.7900616499,59883.50690402287,135974.98337024087
offwind energy,15718.997133268016,15721.14923806586,53521.52388988205,240367.6863077919,302831.8461976484,299023.10995756736,339549.22445538983,15718.997133268016,15728.123720067626,82290.06007355597,177036.87412941415,250923.3342081956,290332.14638799295,354765.65274613455
offwind expansion,3.3771332680164132,2.152104797842228,37808.1246518162,187364.76241790992,63395.61324438345,1963.363759985837,49011.834966159106,3.3771332680164132,9.126586799608768,66569.68635348837,95265.41405585824,74817.91155280055,45180.91601922436,72919.22635818936
solar energy,91455.89278005277,82608.99138761734,290138.2300043674,351406.0272040923,370665.1631436286,393941.44843499846,504452.8372196954,91455.89278005277,171991.7675867749,303127.91227990953,352721.0353018744,360134.78079751396,379353.52235321596,489072.98319720826
solar expansion,3.892780052783544,14016.098607564541,230392.23861675005,84130.79719972477,42122.1359395364,23276.28529136991,110511.38878469697,3.892780052783544,103398.87480672212,153999.14469313467,72456.12302196492,30276.74549563954,19218.74155570199,109719.46084399217
heat pump uti,0.8467907245115562,0.8601606637574497,0.8442368202594369,0.7256168560266579,0.6581279455603511,0.6421424453798212,0.5976720045434015,0.8467907245115562,0.8532191370041005,0.8219514867520163,0.7846228302054227,0.7219353175518088,0.6592675144608507,0.616835065447951
heat pump energy,1052724248.6411737,1054952089.428087,1289209605.944434,2433794524.6706924,3025076293.839124,3067911772.1066732,3068583324.867947,1052724248.6411737,1102649743.2925432,1307501098.1459541,1710487793.9421222,2461779013.547061,2900206902.869354,3112045834.5441823
heat pump expansion,38236.918608838714,1930.1113738608874,10718.577129916763,61126.97103750433,47702.47087798547,7426.801769661101,10903.501985936897,38236.918608838714,3646.5549651263796,10222.545424065132,20505.714925543383,44206.18342808959,37696.565436015204,21220.020815349802
resistive heater uti,0.041218970816277144,0.04396590253521036,0.09152460165752259,0.14314312752835537,0.13193704868393646,0.11094505003958262,0.10312333130330618,0.041218970816277144,0.06024882971462779,0.10066180504230042,0.15130728920943254,0.13911225858139228,0.11867036807215917,0.11394937193787963
resistive heater energy,35402492.867486745,78680517.98775657,285776714.325517,600498856.0269548,631653094.7774801,602049828.466142,638591170.2482177,35402492.867486745,155534332.44621032,323859705.594329,568409084.227116,608785498.0504402,594025615.8796446,653023682.8223274
resistive heater expansion,127198.55437646754,22050.02357072917,92019.75567584758,172856.3224865948,65297.025648359224,31276.025398442198,41878.18391218811,127198.55437646754,49904.187051496454,83072.64447993763,107783.2413679939,56296.77766964689,44177.7030368334,57483.18315130981
gas boiler uti,0.29791853172978583,0.28457187147540114,0.24041103455212673,0.08985166737504438,0.02740393158139781,0.03156105943287032,0.032497165900026624,0.29791853172978583,0.2725354427485412,0.23694740315078894,0.17733050500015599,0.09017764657517964,0.04574405117358406,0.027364915469431563
gas boiler energy,2149190728.8649354,2085745728.2602768,1725762202.4613116,637715631.8308185,195807279.05097896,176066626.893535,155501823.66022742,2149190728.8649354,1981731931.8878505,1675697119.2948887,1185918155.6774669,604640439.2126575,302020580.89241105,141598201.786915
gas boiler expansion,671320.5134754758,77761.16935657502,28148.543914530983,20.51596932603671,21.35993388998999,22.139304285972187,1400.86626916002,671320.5134754758,61895.291692709005,34536.62694784201,16159.929897113985,45.596691556021,45.83042724298562,56.556011979004396
CHP heat uti,0.7813388406013365,0.7586599189653779,0.5368068709866957,0.15092470419867693,0.028706591113043998,0.0464551515713978,0.0614733772600598,0.7813388406013365,0.6739500392439496,0.5214845601569136,0.37643042102327456,0.15606663791458372,0.07209839227715213,0.039108285876486494
CHP heat energy,345669254.57366574,361389367.39345485,300747533.17300576,78569681.3627955,15670820.400376605,24388172.075342916,34668401.882014394,345669254.57366574,342625978.3080694,303895696.89539576,216362863.3663881,88216356.23723617,44771246.414278656,23900051.71397546
CHP heat expansion,16309.792387406877,1251.2647094805732,3176.3030584020553,2.4926983738542554,6.748433877999866,1.9337461123596382,2.2914627977304676,16309.792387406877,2447.0585098827933,2302.4185221456687,347.69487290741085,3.973202485909757,5.661189940640175,8.626024397959135
nuclear uti,0.8395945944265861,0.8129330095960473,0.8109018851826411,0.7813427818452976,0.7465915307956899,0.7960280464146385,0.7126103918627987,0.8395945944265861,0.8277635325681837,0.820367652729082,0.8122883880760122,0.7813366437289353,0.7359037145512031,0.7506323365938783
nuclear energy,371983898.3565979,362650095.4458903,313087878.808193,244455326.60150784,246067020.8637576,246018669.0901416,8002982.484198723,371983898.3565979,358104579.1131976,309810065.77816767,257794095.89111337,244650151.97522143,234677731.59024063,8250930.920068366
nuclear expansion,6.769603939526316,3.3910871931855207,2.7729871340229253,59.67103351325129,10.62686589884851,9.1640402976177,34.72771576080744,6.769603939526316,3.990797678461869,2.2801503521177997,87.32034870823965,10.057940326948486,28.46426290235791,46.27988600265764
coal uti,0.6409259741293012,0.4825728632185035,0.1522613749084116,0.04799010241631673,0.027802708077479827,0.06139427615692983,0.0686237024110457,0.6409259741293012,0.2770105050811393,0.1221558928153248,0.09863865473462022,0.04534640606594667,0.06690988605918428,0.060941581431840135
coal energy,258705038.4958624,159117544.20164022,8762055.32608723,26782.160409202188,18708.84226450417,19472.166908153526,24331.705320673624,258705038.4958624,61934219.90700923,436035.7196052623,139041.56371135145,44839.785392207596,35439.57956563507,31379.002032521385
coal expansion,8.5174171039841,2.255317928702537,96.09029982833428,14.61686095499607,11.647253390234695,225.35136319597362,15.66780518186292,8.5174171039841,5.019111510019941,95.91791465882778,30.998476616613033,7.456755837645993,245.6244487532147,12.406311781973056
lignite uti,0.9024582864642298,0.7813045963851653,0.37305693513650345,0.013693252290705584,0.007519338100654026,0.012880438236369307,0.014019457851015318,0.9024582864642298,0.6475570197507571,0.2903507513311939,0.0371341519951474,0.014044102903030401,0.01539967018499437,0.012740116540903084
lignite energy,1040107799.0999631,945782597.334306,411039427.80430484,366123.20184219425,20212.90642237749,24573.22702270337,78460.74384321012,1040107799.0999631,777862074.300707,269965002.1159379,4124400.1266813907,1035538.6706678972,91857.33948461847,47649.77899336197
lignite expansion,235605.00047060376,8.006456857311715,1.6569115941104278,7.7315771495554,9.795872251014405,7.49376546072013,9.052642944873664,235605.00047060376,3.218638793069731,4.259402404085198,15.291119615259618,7.622582511523564,15.32342546831697,7.031107504808871
oil uti,0.024465405401957706,0.022305431694607622,0.020614084874033666,0.025575281110776196,0.017446219987457066,0.016546785712146128,0.01906392395244842,0.024465405401957706,0.023304525462705106,0.018254399185312093,0.04057109695932261,0.024168297206571446,0.02017194343417437,0.018040085346322978
oil energy,124413.359382503,10963.504295615567,5592.726532105409,16923.817296298323,15644.767514259269,15671.708066404073,19440.499320828578,124413.359382503,7283.759774437505,5954.436132199974,39246.91982584223,27283.7637652762,27997.854324259253,25898.75689255966
oil expansion,20.351739303016725,2.5032959560432135,3.241572936939538,136.6715840454251,614.4069517132884,49.653862581790015,20.68265169523999,20.351739303016725,7.695382742993312,4.748012236489509,208.0540247874551,600.6316100201583,112.97815551619999,13.8462241138
battery store energy,60.40152563354,62.53648734615,72.78562863802999,460.7317458289,636.6500136652,681.7955506478,789.8063534856001,60.40152563354,71.94131291429001,78.53931652591997,715.6028801967,812.6907768730999,955.7302155078,1059.1540065598
battery expansion,60.40152563354,2.134961712609999,10.249141291880001,387.94611719087,175.91826783630006,45.14553698259999,108.01080283779999,60.40152563354,11.53978728075,6.59800361163,637.0635636707801,97.08789667639999,143.03943863470005,103.42379105199998
H2 store energy,7400.783096387001,13131.356553683,16453.384304213,13015111.093054267,27258273.966124844,27265416.722200632,27878809.03053286,7400.783096387001,15990.119822457998,16917.285926678,111835.11511633999,11586910.33039554,15488354.417113196,25470601.7223032
H2 expansion,7400.783096387001,5730.573457295998,3322.027750529999,12998657.708750056,14243162.87307058,7142.756075779986,613392.3083322281,7400.783096387001,8589.336726071,927.1661042200001,94917.829189662,11475075.215279201,3901444.086717659,9982247.30519
water tank store energy,2450316.435354564,2648072.166353577,5588599.633621664,42379811.25295455,126848646.98389651,127068143.04509059,128778853.85238114,2450316.435354564,2952318.373307183,6439901.608128579,17624739.53581254,46561343.16212096,96947870.96087739,153022430.3043683
water tank expansion,2450316.435354564,197755.73099901265,2940527.4672680865,36791211.61933289,84468835.73094195,219496.0611941106,1710710.8072905482,2450316.435354564,502001.93795261893,3487583.234821396,11184837.92768397,28936603.626308408,50386527.79875639,56074559.34349091
transmission volume,34.29746662955534,41.063743748196345,96.3250602340278,229.39334795430784,284.9864687362677,273.5099683865006,295.48725053334795,34.29746662955534,51.705951800701776,112.90975376735399,184.91727573380555,227.51029537254107,255.00401400580566,300.9589773933968
co2_price,18.6747173794,33.9695861396,67.5361799886,240.462619078,419.10767886,359.590503761,346.783848704,18.6747173794,47.9861040199,74.1208049409,120.238921555,233.185450577,340.659129368,394.727805304
