scenario,go,go,go,go,go,go,go,wait,wait,wait,wait,wait,wait,wait
line_volume_limit,opt,opt,opt,opt,opt,opt,opt,opt,opt,opt,opt,opt,opt,opt
year,2020,2025,2030,2035,2040,2045,2050,2020,2025,2030,2035,2040,2045,2050
oil,54.6313299100887,58.42445736260811,66.74897263719048,109.63472953100971,153.9387043570124,139.17844493299478,136.00239447799132,54.6313299100887,61.90055379690516,68.38195962529015,79.81925254581802,107.82999174299296,134.483464083014,147.8924957149885
nuclear,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
central water tanks,24.867814324116146,28.06705502769775,31.109466767589844,34.524769163680425,35.23188172218985,34.4171014131531,34.07313659482144,24.867814324116146,29.28035584860545,31.48039001002333,33.85702837162604,34.20107868810625,34.331929041626566,34.30697083564409
urban heat,24.939942099578875,28.173294542158494,31.35811735731642,35.49106060807979,36.3451340974124,35.46315831965056,35.10266277896641,24.939942099578875,29.362064711524457,31.776791562398664,34.4876979156493,35.06322809411386,35.41805864505331,35.37080472218366
water tanks,23.817781592281314,24.50838286656464,28.54659757271038,36.33386434202017,36.78545883081501,30.386009001494312,24.87058557054496,23.817781592281314,26.71990351551444,29.330921453368376,32.3195262473705,34.6136264676041,33.9903606700844,29.845368700410948
lignite,9.13735560471869,14.245841770596769,25.45708411620379,83.2145147719839,142.88196473897048,123.00322825601145,118.72580546699507,9.13735560471869,18.927358742599612,27.656348850199723,43.059799799504596,80.78394049278863,116.68014920898896,134.73908697199988
electricity,42.55548806570199,44.69658421751902,52.44543804494354,60.434523656762664,58.269481766970095,55.993795867691276,56.45455482184256,42.55548806570199,48.85037639518046,54.12977212823028,59.431338211134076,58.847808072412754,56.514807585399794,56.396311040684346
battery,43.05334496799075,45.229837706747915,53.00339058011807,60.54769301750137,58.45711015251553,56.127351288346034,56.55461695538636,43.05334496799075,49.561178247964314,54.64105326376643,59.52301881223647,58.97667698355831,56.67846115695132,56.463633035773825
gas,25.092172149897085,27.952312608102492,34.22926565789535,66.56650976760164,99.97313594690057,88.84342420341729,86.44857970761036,25.092172149897085,30.57340145169471,35.46059052390046,44.084678330905575,65.20567925799263,85.30325719178909,95.41409959190058
H2,42.19615766971026,44.897380488291645,49.93698304444408,50.82711818749468,52.04418178462809,49.7452791217052,50.14091118584251,42.19615766971026,48.832840337484605,50.355080022331094,50.60573473021701,49.988433392830906,47.21579895576678,49.2629840927527
coal,15.0108499523019,20.42523349340301,32.30780771599655,93.52376715360909,156.764118317028,135.69503833200278,131.1614824410058,15.0108499523019,25.38708082300465,34.638764949103255,50.96457823059109,90.9476495044055,128.9933317960176,148.13364307799526
cooling,29.17904440992523,25.462794138149274,26.443142124206695,31.13589763314229,29.980090159597257,26.01472248876885,23.670404336588202,29.17904440992523,27.65565279385338,26.55811262092237,30.185018644282845,29.407463463178868,28.630382944352082,26.042007840261455
heat,23.8766313861943,24.473225992130093,28.689181003422842,36.73298601585717,37.29025142854885,30.841427944552752,25.327732490388737,23.8766313861943,26.702877872107766,29.516306081251955,32.65317476253209,34.99301246160265,34.396016931258934,30.34808198607627
