scenario,,,go,go,go,go,go,go,go,wait,wait,wait,wait,wait,wait,wait
line_volume_limit,,,opt,opt,opt,opt,opt,opt,opt,opt,opt,opt,opt,opt,opt,opt
year,,,2020,2025,2030,2035,2040,2045,2050,2020,2025,2030,2035,2040,2045,2050
cooling,links,cooling pump,179455.95590398196,179455.95590398196,179455.95590398196,179455.95590398196,179455.95590398196,179455.95590398196,179455.95590398196,179455.95590398196,179455.95590398196,179455.95590398196,179455.95590398196,179455.95590398196,179455.95590398196,179455.95590398196
cooling,loads,cooling,-179455.955904,-179455.955904,-179455.955904,-179455.955904,-179455.955904,-179455.955904,-179455.955904,-179455.955904,-179455.955904,-179455.955904,-179455.955904,-179455.955904,-179455.955904,-179455.955904
electricity,generators,offwind,14944.113749392101,15239.062607887101,80230.883964717,176294.460037657,242305.1702936553,280130.4429728624,356854.07778615935,14944.113749392101,15147.910237357197,45623.61567100589,234255.9958286202,314310.2013129011,312742.66199427424,356663.2092523982
electricity,generators,onwind,311842.5361410194,453316.673288566,595500.4242832283,663991.2723567398,733128.5302435819,757981.8551777968,829962.4967618388,311842.5361410194,357776.72242882306,572892.7016554264,764542.9542615286,855988.3868683211,829640.749172485,830736.6617937553
electricity,generators,ror,49386.68786316461,49488.2249157809,49500.029000328504,49482.801452250606,49521.964229114805,49529.41390103939,49533.7094409652,49386.68786316461,49492.89901502531,49496.8005054477,49500.1144779683,49534.595706970606,49533.4250268786,49532.3526903133
electricity,generators,solar,62231.7745305069,102007.02609274932,202707.02968139504,244310.8421290513,255451.33692639662,263901.4536761906,348646.2077316453,62231.7745305069,61337.7308019895,199615.09486174924,247381.42438735365,264529.9362035559,284609.658098615,360538.64777222
electricity,links,CCGT,65395.9038587883,56919.8629873556,24583.9433239592,17594.820825241604,10191.553664668054,1896.6940843544999,1003.9606811378002,65395.9038587883,63880.876981048445,30085.211185471653,23220.9725265041,10119.387165972104,1737.6056495710254,830.6345355045052
electricity,links,H2 Electrolysis,-4175.2011327121,-3891.6037265049,-4887.139878757001,-6243.088396152,-25657.925989007006,-38107.69561936401,-96499.86968085999,-4175.2011327121,-3928.5693737781003,-4882.138790796001,-30350.546443051004,-104244.26520667605,-104468.75434889102,-109599.95928494599
electricity,links,H2 Fuel Cell,2254.043835207274,1871.2605700815436,1786.9335264006097,2298.4416295104656,19286.182849783236,28839.052856478538,34931.1639017908,2254.043835207274,2097.652976338914,2041.369795997898,21641.78706113898,23416.193249185315,26436.60766279574,33001.8412099954
electricity,links,OCGT,13016.771621751222,8857.877626510966,1308.8771104530415,505.5731996058508,2882.655210818839,2649.978230905005,2129.8960012461025,13016.771621751222,11521.492704034443,4488.288977753061,3383.2120515313773,2778.860913636229,1738.3609795616026,1853.9174265797756
electricity,links,battery charger,-4681.332486176999,-2823.6013186494997,-3066.6567019909,-5049.187303323,-2990.1390153154994,-1852.0324922716998,-1561.2121896093997,-4681.332486176999,-2384.7625701918,-2847.9359819452,-3878.028086407,-1131.7853464846003,-1419.7371587289003,-1746.7015407153
electricity,links,battery discharger,4496.39911828287,2558.3507140732204,2735.8056866726097,5087.8044210744,3020.618066353919,1865.3151914118005,1577.6496218961902,4496.39911828287,2321.0750855082592,2466.7808916137406,3975.4449828252,1140.3353639486702,1440.0368996593497,1770.7910413382106
electricity,links,central CHP electric,33777.91029546929,33998.04920410096,37661.991681510626,43922.915770171465,46974.20687440604,44343.32694677356,47672.33409901685,33777.91029546929,34541.151089460924,37459.78135828251,39383.88254289216,39240.457292787185,40194.64346301846,42643.93163229528
electricity,links,central heat pump,-21462.913425514398,-22272.9714231985,-26192.626002741297,-38859.64893758739,-64012.128843452905,-100627.04666782389,-127699.76869996078,-21462.913425514398,-22404.74959492572,-25008.8154661524,-54266.977642075595,-99822.5376332559,-110427.45878431627,-123386.4513360506
electricity,links,central resistive heater,-23783.731351915998,-69706.4116441202,-135733.49596684802,-208961.30687575304,-264160.09210892103,-311013.291941481,-367068.56359544216,-23783.731351915998,-49933.80300630847,-121710.2932030812,-245111.101736175,-307251.58640285005,-338796.073826428,-374865.17813776695
electricity,links,coal,41611.29497642793,37343.93911691719,26100.987650484436,2411.8045135077964,110.64998662388366,49.74862165122481,0.2613928718759023,41611.29497642793,37511.74217759384,27515.78890669883,259.11267558219566,0.3135287491776367,0.3065462871263456,0.30277983204286885
electricity,links,cooling pump,-59818.651967993996,-59818.651967993996,-59818.651967993996,-59818.651967993996,-59818.651967993996,-59818.651967993996,-59818.651967993996,-59818.651967993996,-59818.651967993996,-59818.651967993996,-59818.651967993996,-59818.651967993996,-59818.651967993996,-59818.651967993996
electricity,links,ground heat pump,-110012.8534694944,-107102.05164038463,-104746.8857051236,-124900.8463370472,-128873.33505740843,-129904.36421368331,-130037.6364492246,-110012.8534694944,-106999.9991101217,-104681.42166215005,-128260.9386929933,-142610.47930028103,-141458.706373893,-140212.77984352998
electricity,links,lignite,157780.2251557419,156704.79439454686,155675.13665037884,153608.8611111008,134783.5692282518,104737.26075997461,0.27095307465036866,157780.2251557419,156538.95407974953,156182.44193267656,136215.2507574427,0.3196350249807918,0.3131086812698895,0.31298550652714524
electricity,links,nuclear,43082.38928442952,42135.49275151634,38417.33330979469,34001.58049770441,34124.37512930464,33751.49316817089,1960.3946584595217,43082.38928442952,42157.309610817654,38426.29324770969,33991.96955698629,34050.63639741728,33653.414243805455,1854.3526329792887
electricity,links,oil,2517.906493955095,182.04091582021303,32.60759113235107,43.977853706692926,13.764936089974166,9.921057196083712,0.2842921143048362,2517.906493955095,1644.0058959126566,39.15623541306417,36.33155208825294,0.3270124559474642,0.32559394965886285,0.3337354554599841
electricity,links,resistive heater,-115780.45747656953,-113430.57057607625,-145878.74414941604,-139401.465612825,-137971.678308188,-135806.1435993597,-107117.20966301399,-115780.45747656953,-107346.05159819692,-134928.71054724403,-153795.590977302,-150354.20315536065,-151754.41563540697,-117643.0621392658
electricity,links,transmission lines,73165.05730621499,83707.89793706889,151989.42337950302,246328.87325538305,308993.40238611796,348878.8230253347,425960.8656918352,73165.05730621499,71226.7184636008,131987.6312691282,315757.85461672494,388873.3856391667,385931.0733010207,424761.26950351807
electricity,loads,electricity,-484962.96298599994,-484962.96298599994,-484962.96298599994,-484962.96298599994,-484962.96298599994,-484962.96298599994,-484962.96298599994,-484962.96298599994,-484962.96298599994,-484962.96298599994,-484962.96298599994,-484962.96298599994,-484962.96298599994,-484962.96298599994
electricity,storage_units,PHS,41897.88611911916,39153.54783036254,46691.55680034334,47268.466331704534,47419.366825330915,47447.393236335236,47456.88862650665,41897.88611911916,40930.66991995089,46739.728350729085,47331.05410198764,47456.556961536364,47454.90198587412,47453.25225263673
electricity,storage_units,hydro,115298.919163972,118051.36701243008,117868.76216185489,117578.1007831386,118255.46616605729,118264.6495736597,118267.0141646233,115298.919163972,117154.0412132986,118125.7394709259,118233.5239640916,118267.20904593659,118267.03261525987,118266.5301243997
heat,links,gas boiler,523572.90729886416,434652.251146707,354082.6732389505,285801.03202422214,212577.90679285783,182018.69384282717,112982.01382446336,523572.90729886416,455668.29010951583,355380.2314218082,269824.5005628307,204434.83165726435,183727.92554694615,134719.10244582605
heat,links,ground heat pump,369683.82010697195,353183.09220609505,357380.4174698808,428433.25254177465,453078.1781019923,466971.3656316768,477729.74061851954,369683.82010697195,353083.68480244424,349777.38760826713,450174.9950986978,527496.0412437925,523111.1568077983,507235.12678499386
heat,links,resistive heater,104202.41172891259,102087.51351846864,131290.86973447437,125461.31905154251,124174.51047736921,122225.52923942375,96405.48869671264,104202.41172891259,96611.44643837726,121435.83949251959,138416.0318795718,135318.78283982465,136578.9740718663,105878.75592533924
heat,links,water tanks charger,-136187.153338916,-141958.24703549102,-364879.03276270296,-464274.97514199506,-533174.6211285669,-464873.26810630603,-470191.2755083341,-136187.153338916,-134052.68227716096,-368389.426958274,-457119.55634055,-510471.17981795006,-506934.6113451109,-507117.76007357496
heat,links,water tanks discharger,128552.30520978151,132895.96238882252,294670.21487841906,320071.2702656759,354523.5363752477,277618.0586652153,248207.18715327597,128552.30520978151,124178.43896832963,302043.4221876615,307189.015295292,281655.470758293,263645.3940639669,241802.54425261347
heat,loads,heat,-868882.093330357,-770197.2749227943,-671512.4565152314,-572827.6381076684,-474142.8197001057,-375458.0012925428,-276773.1828849801,-868882.093330357,-770197.2749227943,-671512.4565152314,-572827.6381076684,-474142.8197001057,-375458.0012925428,-276773.1828849801
urban heat,links,central CHP heat,35572.05115519599,39148.40279301994,45319.59140265617,51147.89503637705,51601.54776666801,51706.04704307017,51746.12612751505,35572.05115519599,39043.40866928301,45124.90775627983,45324.23658262376,45585.13878116328,45592.28117193673,45598.81005335136
urban heat,links,central gas boiler,139041.09520612936,196122.0981171946,229110.49229242152,249992.26904575297,252861.00355309606,248850.42188779698,203875.9707059347,139041.09520612936,200955.1787174482,230699.45482631816,232892.26609756568,170146.54062407656,209195.62029892893,221687.99242172184
urban heat,links,central heat pump,89724.43044973249,98549.8857495548,119017.80281829505,179753.17505780674,297277.2352883287,468322.639993949,597137.151768213,89724.43044973249,99117.88929664927,112782.35343633962,251526.63507331433,467250.22623238456,517313.5999982193,577135.9107821465
urban heat,links,central resistive heater,21405.358216724402,62735.770479708204,122160.14637016319,188065.17618817775,237744.08289802884,279911.9627473328,330361.7072358977,21405.358216724402,44940.422705677614,109539.26388277308,220599.99156255746,276526.4277625651,304916.4664437853,337378.6603239904
urban heat,links,central water tanks charger,-124217.21509276998,-147997.689900273,-233069.74558510797,-353308.3941366211,-490806.59381904994,-689202.1593869099,-838884.10335202,-124217.21509276998,-132170.873437183,-219232.76384928406,-438193.279091054,-671697.1823960999,-743014.9900550501,-822545.7060224699
urban heat,links,central water tanks discharger,125975.5464775986,148890.3508525419,225144.11140453082,305020.0661950352,422165.99053813954,575112.5247346109,674349.033424221,125975.5464775986,145544.02487026833,211765.58025111898,369887.05310517893,517963.025100159,592849.0291853971,673966.8505789291
urban heat,loads,urban heat,-252253.73339864286,-350938.5518062057,-449623.37021376856,-548308.1886213315,-646993.0070288943,-745677.8254364568,-844362.6438440202,-252253.73339864286,-350938.5518062057,-449623.37021376856,-548308.1886213315,-646993.0070288943,-745677.8254364568,-844362.6438440202
