scenario,,,go,go,go,go,go,go,go,wait,wait,wait,wait,wait,wait,wait
line_volume_limit,,,opt,opt,opt,opt,opt,opt,opt,opt,opt,opt,opt,opt,opt,opt
year,,,2020,2025,2030,2035,2040,2045,2050,2020,2025,2030,2035,2040,2045,2050
cooling,links,cooling pump,70498189.71532816,70498189.71532816,70498189.71532816,70498189.71532816,70498189.71532816,70498189.71532816,70498189.71532816,70498189.71532816,70498189.71532816,70498189.71532816,70498189.71532816,70498189.71532816,70498189.71532816,70498189.71532816
cooling,loads,cooling,-70498189.71532698,-70498189.71532698,-70498189.71532698,-70498189.71532698,-70498189.71532698,-70498189.71532698,-70498189.71532698,-70498189.71532698,-70498189.71532698,-70498189.71532698,-70498189.71532698,-70498189.71532698,-70498189.71532698,-70498189.71532698
electricity,generators,offwind,51581794.109656945,52050364.25569939,285922233.97837144,621494277.1581379,851094011.5762475,998985256.5582821,1276290200.9565148,51581794.109656945,52405042.019289725,167261107.6262176,821203875.2070004,1126737553.4623094,1124091538.6633117,1279296827.3432705
electricity,generators,onwind,879083453.3705245,1291479780.5562818,1727978967.526014,1964834483.9658248,2182554200.1581736,2264814384.124384,2474430872.5986238,879083453.3705245,1016861599.8327646,1657415429.7939694,2245550803.396816,2518916283.5551662,2472579531.744617,2484916165.1732984
electricity,generators,ror,156991285.65840712,157544801.63330135,157486381.49115172,157229801.94756126,157531084.2682681,157670000.19424108,157768220.90655804,156991285.65840712,157592641.60192844,157454738.43347508,157219130.8161531,157814819.78017375,157784446.001849,157739012.59622356
electricity,generators,solar,99895785.60588086,183374534.2496369,374107847.3389038,457180561.4326272,482254561.7448943,498228617.42259854,651008750.3733326,99895785.60588086,104144249.53212991,369221430.5897255,463556686.9523156,500835214.38971406,539196763.5122839,668854922.7808534
electricity,links,CCGT,68430815.29466054,23291726.840156917,12416229.306236662,16543374.499362232,2977258.5508613056,531661.4183765659,186128.74058556772,68430815.29466054,43692705.17410828,13585491.29438383,6013462.563139292,1489697.2052989705,348421.8200937311,198489.9504131766
electricity,links,H2 Electrolysis,-14738920.693988265,-8093954.899819171,-9185147.297682984,-16502981.580738857,-82210238.23134375,-141826218.63899443,-340454011.43055236,-14738920.693988265,-7106998.164200181,-8768942.933814209,-94656728.41774413,-373128584.1452283,-364246501.93365335,-380364163.4600194
electricity,links,H2 Fuel Cell,3637417.15062063,2364809.6023616362,2976168.284181569,5586297.411370559,36195246.50971758,41034047.41265205,43528857.204704106,3637417.15062063,2109972.8683892917,2773167.742481632,41673793.528643,28272977.50367354,30527010.66528847,40416028.2983662
electricity,links,OCGT,6500712.572969345,1762959.1483706576,1193022.9305424686,2088847.9441149167,761333.7938976884,381341.2082139056,140009.63455016597,6500712.572969345,2699621.66107488,1145026.5671935284,1044148.2690087943,98049.92741005404,140743.338981094,155747.3971360468
electricity,links,battery charger,-18733854.662753485,-10055937.152851105,-9456033.666739408,-15386289.004772384,-9406750.512026345,-5848350.405607374,-4743015.377937683,-18733854.662753485,-8549504.422050435,-8935208.421278266,-12161757.033367932,-3362801.0235724603,-4332652.283226461,-5350048.463104592
electricity,links,battery discharger,15175021.724871134,8145785.908266288,7660584.731460051,12463707.496512946,7619768.029643674,4737256.385744597,3841860.725714352,15175021.724871134,6925510.506916351,7238588.460609412,9851664.185808782,2723908.1499280552,3509488.5037884484,4333555.190810266
electricity,links,central CHP electric,173338544.8125597,168959062.79239887,172980392.99680057,181539775.95054626,82416354.01972486,33254778.935038324,12916229.221606012,173338544.8125597,171888835.6029063,172688060.5967686,73061755.51595357,8806792.881145054,11222427.379206367,12421003.25697857
electricity,links,central heat pump,-125105253.65322928,-145613087.15134174,-175614250.11485493,-258106546.36734322,-417047281.88985044,-593727808.0197296,-755363049.3043225,-125105253.65322928,-147441101.48797542,-170034106.9760479,-349602054.6216475,-580885941.2933534,-654498093.1009825,-731201809.031061
electricity,links,central resistive heater,-31793097.42987166,-59140001.51108789,-197120034.75437045,-360625722.9069742,-486493666.9771686,-523112939.87578833,-626722312.3105451,-31793097.42987166,-31613196.475881238,-171197057.75249588,-440193005.67809576,-495126718.499881,-566953303.2426089,-654962236.9169456
electricity,links,coal,283844507.7314112,91276547.63738862,4792395.535695563,1250158.2727645983,122657.32793810977,41434.35698457865,1755.0071170423046,283844507.7314112,183729064.75937688,8004003.461973028,336773.0651502326,2230.9300308965767,2217.1362320606595,2084.5135615379945
electricity,links,cooling pump,-23499396.571776092,-23499396.571776092,-23499396.571776092,-23499396.571776092,-23499396.571776092,-23499396.571776092,-23499396.571776092,-23499396.571776092,-23499396.571776092,-23499396.571776092,-23499396.571776092,-23499396.571776092,-23499396.571776092,-23499396.571776092
electricity,links,ground heat pump,-504822100.05867463,-473077873.9415681,-438979009.837661,-408301478.39435714,-375047361.0954376,-331604076.45101345,-263399948.17625064,-504822100.05867463,-472367774.5651963,-437624576.503119,-430001732.3226046,-412526637.4606249,-351644967.1358991,-275711579.5735461
electricity,links,lignite,1320533347.357002,1005070164.8234539,450496083.60073686,77037655.80395749,3617738.5689489855,915769.3332753859,1799.0077838243328,1320533347.357002,1205977975.2777503,594619423.0517917,2612555.4914286043,2256.590765237561,2249.522313006825,2135.6150795825824
electricity,links,nuclear,373296881.15972894,358782822.66099787,309271039.9597971,263839888.48139945,253276727.3682028,241594718.81067592,13893543.55108961,373296881.15972894,364861292.0259692,312352700.98360926,251064865.26746628,254655116.69965446,254593459.1148066,13195717.405512633
electricity,links,oil,1955546.1495176074,480755.83884291723,245971.75177101686,319272.5493473555,66177.73468597596,28423.48383013907,1867.8408078621005,1955546.1495176074,476494.502478275,280878.51486340706,180373.75167229117,2267.060194195593,2308.6570817969387,2247.4438079915585
electricity,links,resistive heater,-170728998.27150407,-84855329.25339997,-106113902.21165217,-124330194.9109782,-110491541.62077005,-67580436.21056812,-63876492.61336578,-170728998.27150407,-81221340.90601616,-98209677.4428656,-166989024.60599887,-157951676.8154976,-74741725.72822845,-33979911.01964715
electricity,links,transmission lines,-75098934.55781227,-128088617.24611826,-179722017.616863,-301477497.0953249,-493315600.0471382,-605516169.018826,-939579717.3257929,-75098934.55781227,-87614520.32510987,-177115615.54917014,-492465130.7242232,-826219498.4356978,-816224265.8182023,-946007953.2682587
electricity,loads,electricity,-2851391291.3077254,-2851391291.3077254,-2851391291.3077254,-2851391291.3077254,-2851391291.3077254,-2851391291.3077254,-2851391291.3077254,-2851391291.3077254,-2851391291.3077254,-2851391291.3077254,-2851391291.3077254,-2851391291.3077254,-2851391291.3077254,-2851391291.3077254
electricity,storage_units,PHS,-8871915.819099886,-4740598.189381094,-12037845.530131117,-19039685.00132182,-20900963.506063852,-19696525.83722107,-20681374.71617646,-8871915.819099886,-6093032.809892189,-10245288.543293074,-20719489.891500317,-18608620.16992424,-18807329.71519068,-21180445.496734984
electricity,storage_units,hydro,315438887.6610447,315898603.78454506,315907889.7568512,315801497.8414298,316010970.50750476,316072313.89156234,316121380.3480098,315438887.6610447,315931805.76839215,315899709.1540016,315865092.9099507,316125756.73356044,316115939.1996518,316107454.5398265
heat,links,gas boiler,980974778.0467861,831932771.8717741,620667888.8284794,425218217.8620747,239401137.5866925,105425756.51562507,20191766.17958336,980974778.0467861,835449959.5923904,627724762.4888233,327851446.3913385,80297161.4641638,42359207.197853446,16147553.571564054
heat,links,ground heat pump,1663517007.1414118,1552713513.3380194,1438042953.8391523,1338373764.322687,1225200543.5826423,1073694425.440506,846351652.6036967,1663517007.1414118,1550564996.4042258,1432988252.7764215,1408820189.0956187,1334266392.0212297,1130945259.6335325,882069104.6088576
heat,links,resistive heater,153656098.4443533,76369796.3280599,95502511.99048682,111897175.41988038,99442387.45869309,60822392.589511395,57488843.3520292,153656098.4443533,73099206.81541471,88388709.6985789,150290122.14539847,142156509.13394833,67267553.15540546,30581919.917682424
heat,links,water tanks charger,-181376182.76555297,-86361257.51016581,-122244002.26063524,-254718435.44820198,-266102674.73522723,-230889329.81379378,-229290328.60729656,-181376182.76555297,-78489623.51687588,-104387415.21793152,-292317455.5459199,-230509139.30023295,-229482754.0516866,-244354478.94501466
heat,links,water tanks discharger,138500969.2949245,64116140.17126016,90348188.94463307,185030144.98993042,191335399.88652837,163716980.64554372,161529353.99657673,138500969.2949245,58142709.57806843,77595912.98242249,211146693.2832876,163050938.36198518,161677959.05131233,171827054.74167567
heat,loads,heat,-2755238347.9969754,-2438743663.576817,-2122248979.1566947,-1805754294.7365522,-1489259610.3164096,-1172764925.896263,-856270241.4761208,-2755238347.9969754,-2438743663.576817,-2122248979.1566947,-1805754294.7365522,-1489259610.3164096,-1172764925.896263,-856270241.4761208
urban heat,links,central CHP heat,182841018.8900636,203534000.491804,219710831.62795442,210922605.9495278,107405833.52649459,42900718.74994964,16249260.54967629,182841018.8900636,207052785.5814023,222934264.3077655,94680967.34922624,11141630.992810996,14092444.817804206,15531459.712488253
urban heat,links,central gas boiler,234262967.13935006,420838563.1167622,512624499.0954283,462241193.7638105,317577653.30290234,182542312.4725283,56156564.89547511,234262967.13935006,431234490.8028719,545845389.0757807,261905702.1189924,31494525.12466509,59956002.14038261,81437136.51414372
urban heat,links,central heat pump,406505359.77753407,474460281.9277799,573009605.3798716,839769470.3651419,1345138669.821965,1899619035.6920292,2434227359.462369,406505359.77753407,481615035.80720615,555817666.046712,1127179150.461821,1871695976.0850058,2108392370.540601,2352821577.1365776
urban heat,links,central resistive heater,28613787.686884537,53226001.3599791,177408031.27893323,324563150.61627644,437844300.2794527,470801645.88821,564050081.0794898,28613787.686884537,28451876.82829313,154077351.97724634,396173705.1102861,445614046.64989287,510257972.9183495,589466013.2252514
urban heat,links,central water tanks charger,-222475257.0315186,-136768198.8583062,-197685847.20550624,-362828329.6302164,-549234269.8138671,-783411697.0900465,-1080046215.4488566,-222475257.0315186,-118779609.29249725,-178826264.13626298,-506203117.9316735,-860023049.7917895,-921476419.4737966,-1034758909.0617877
urban heat,links,central water tanks discharger,177344868.57093516,108286396.98528892,155065632.58167487,281926824.5880416,414313948.510441,577071228.6565555,715374587.6858295,177344868.57093516,93996970.55771206,140273521.70735428,382843908.79328585,573100922.9117651,618296436.0321434,701514163.0670522
urban heat,loads,urban heat,-807041984.6618124,-1123536669.0819533,-1440031353.5020974,-1756526037.9222348,-2073020722.342377,-2389515406.762526,-2706010091.1826572,-807041984.6618124,-1123536669.0819533,-1440031353.5020974,-1756526037.9222348,-2073020722.342377,-2389515406.762526,-2706010091.1826572
