scenario,,,go,go,go,go,go,go,go,wait,wait,wait,wait,wait,wait,wait
line_volume_limit,,,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP
year,,,2020,2025,2030,2035,2040,2045,2050,2020,2025,2030,2035,2040,2045,2050
generators,capital,offwind,3680570209.8297663,4075836831.8860707,19613631463.955135,27516089277.12949,34869278234.08173,37809585605.90005,39229126708.80734,3680570209.8297663,3454641473.784184,15389332453.99568,37523471704.50509,45252455655.51697,43910501228.23413,43507687318.46468
generators,capital,onwind,19917980053.038136,33737006427.87007,37813577188.30295,42682952156.26294,41156601041.141975,39108698698.31136,40316766878.309975,19917980053.038136,25326270104.333336,36386334785.57864,46445073432.35639,43687139965.884445,40516151680.15929,40557836861.50666
generators,capital,ror,4394961172.33428,4394961172.33428,4394961172.33428,4394961172.33428,4394961172.33428,4394961172.33428,4394961172.33428,4394961172.33428,4394961172.33428,4394961172.33428,4394961172.33428,4394961172.33428,4394961172.33428,4394961172.33428
generators,capital,solar,7688785195.079501,14746449313.826942,25939965641.11328,43512200982.73819,50131972884.08645,55518302217.01836,59863443379.251175,7688785195.079501,10757750580.72471,23830110008.145573,49639619637.32114,62767778241.26488,60410191122.982185,54638413134.46517
generators,marginal,offwind,240128870.81433675,262386946.469191,1226639369.8763437,1546080013.3874447,1654291594.0420656,1928825213.742976,2088314933.2857952,240128870.81433675,226352086.16392833,971344636.5081778,1782519814.3791344,2474415540.728338,2392634048.744725,2355554891.5335784
generators,marginal,onwind,556514872.1286192,1076086760.2870593,1245700316.8207507,1430875044.1597197,1389686959.394811,1332957972.7727306,1380908776.9502358,556514872.1286192,781885948.402236,1209851740.708191,1543578703.1669042,1511418818.0916977,1417481137.090507,1415747641.8000941
generators,marginal,ror,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
generators,marginal,solar,1307120.2192395788,3408918.4416228463,7128766.968274428,13261021.84156426,16454363.22381727,19959092.714710437,23752005.650724184,1307120.2192395788,2446979.66473643,6525572.530276168,14824301.974908939,20414604.533387613,21571998.356971473,21747734.243959572
links,capital,CCGT,15158934014.26648,11944611322.063028,10455866970.975845,5486482772.791585,3731751096.3913784,3307433760.97758,3295707604.782941,15158934014.26648,12226891919.889738,10213115684.124407,5228205714.745232,3456421255.534313,3032017167.1879096,3021303462.805454
links,capital,H2 Electrolysis,9469468.5177519,11476015.67409481,12573087.31745052,16764242.763901701,192829823.83013445,4568436516.238461,9824591754.984388,9469468.5177519,11931898.850908596,12453236.664230006,103892206.13873659,10269773313.95669,10051255604.765154,9806109731.394741
links,capital,H2 Fuel Cell,8550989.427578116,10568666.103752399,10051433.917524572,11050556.695824193,90401301.42225766,83541359.25206065,76396582.7274398,8550989.427578116,10318133.477516394,9751632.524325958,45699154.7457627,42371145.70373236,39026677.87393548,35683695.42437894
links,capital,OCGT,194720150.84266463,601931649.3641957,544358575.428033,563470371.1843674,700817236.4154665,699517167.9098661,697888247.7558376,194720150.84266463,428987960.6010175,496034316.99737746,450922127.98277324,489023220.307506,492716533.205033,491570669.45160824
