scenario,,go,go,go,go,go,go,go,wait,wait,wait,wait,wait,wait,wait
line_volume_limit,,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP
year,,2020,2025,2030,2035,2040,2045,2050,2020,2025,2030,2035,2040,2045,2050
generators,offwind,80942526.93692547,88340765.09746689,470746405.992575,603214214.1875789,671616788.3897576,775397692.9397228,853850381.9528445,80942526.93692547,80309624.81351693,365388072.48390055,676493030.8580664,964975302.4685347,940448488.9784671,936984973.6194986
generators,onwind,371368179.6449079,750010852.0950155,897537194.243198,1063888911.9488066,1096581205.001729,1053955130.4396436,1105164167.584336,371368179.6449079,565371824.7551508,892269817.6448435,1181466975.5011084,1209291756.9865687,1148316897.4609818,1160093590.5315807
generators,ror,157830481.97670743,157825330.06759903,157586891.49432024,157412170.80017936,156808887.4711654,156259560.3410207,157305092.59629986,157830481.97670743,157832967.45864502,157689206.32665375,157195444.60501122,157638622.62317976,157580731.21004173,157600678.80287385
generators,solar,130693338.20439805,342775168.11107856,709794235.9649038,1313760346.8177736,1632310205.4260473,1996836516.171355,2353786857.131129,130693338.20439805,247886637.00987837,656186231.4130962,1485259892.1675003,2033716699.4687245,2150834563.3630486,2167765303.123979
links,CCGT,-591563008.3918086,-535201024.86853004,-390220414.3011985,-126111164.53027672,-33259790.655490354,-9833912.805254385,-6718688.227775168,-591563008.3918086,-577974586.0654604,-385195965.40828526,-43188981.76043127,-7069456.069878891,-5615692.387669491,-5492315.626660156
links,H2 Electrolysis,-101326.14293407805,-87613.09389134115,-105182.58411622714,-120075.36558421806,-799671.2860522198,-56725515.900910266,-133733611.72743618,-101326.14293407805,-96316.60461498893,-88457.36388204043,-496854.61330747907,-132712297.94370003,-132893821.95154178,-132516977.63383186
links,H2 Fuel Cell,-82681.73315053622,-76580.22725528805,-81511.12120435365,-102228.80855193565,-337936.54467578756,-260585.54843827934,-128036.81961106071,-82681.73315053622,-78171.61676515023,-78910.23716977966,-272653.49971677974,-73954.43012764586,-69990.59105780038,-73165.5820600018
links,OCGT,-894954.4308775525,-10965431.696246631,-10263172.24260098,-12044119.088477386,-10500168.457180483,-8011309.271165117,-5682133.056770037,-894954.4308775525,-6661843.227774712,-6270158.7616177555,-5427950.1124455435,-3779989.7422539853,-3936854.7032925314,-3872852.9382792567
links,Sabatier,-83512.83019744333,-67321.00379448794,-90983.42484737144,-94970.47931604252,-958171.844612749,-90513979.91740151,-213851941.76439518,-83512.83019744333,-79753.07209829286,-66459.75205946137,-535382.2778137315,-212269354.04751337,-212563564.83739555,-211957595.0428406
links,battery charger,-89475.68762423088,-121439.20833512461,-2002220.1061967977,-20170526.099842373,-30181198.03132876,-37920929.29605934,-44377286.66032178,-89475.68762423088,-120785.24359841665,-811250.1957510837,-26216400.596208617,-37216497.91284268,-39595037.613122225,-40172991.02694994
links,battery discharger,-85002.60902044267,-115976.34380104419,-1922132.3717142446,-19363705.758054543,-28973951.917103086,-36404096.5615131,-42602195.53668037,-85002.60902044267,-115351.8919301512,-778800.4565098442,-25167744.85534716,-35727838.3634166,-38011236.46664865,-38566071.760294005
