scenario,go,go,go,go,go,go,go,wait,wait,wait,wait,wait,wait,wait
line_volume_limit,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP
year,2020,2025,2030,2035,2040,2045,2050,2020,2025,2030,2035,2040,2045,2050
penetration,0.051898097970798,0.11459403601196638,0.2292804250073556,0.3686709122438221,0.4482388084400652,0.5089324342315222,0.5791064350537053,0.051898097970798,0.0821530254723783,0.207677563439817,0.43286777176427227,0.5520030275130442,0.5605367903940036,0.569272424476067
mix,0.6094147087343168,0.48565509805879675,0.5234236068481348,0.42825407575606483,0.4264010491112707,0.3853808458434348,0.36006823827435647,0.6094147087343168,0.4958548976467993,0.5199569632695544,0.45749151059367715,0.4126543641700201,0.39293227990567126,0.39286926568109787
onwind capacity,185723.90938029962,330351.312656608,385569.5022088854,442973.7011314218,446386.0448209393,426113.4893201976,442594.71364576276,185723.90938029962,256366.71152343688,377959.29116317927,492828.69340018596,478541.2838288555,447332.0948550409,451664.7046580004
onwind expansion,30185.170380299485,151182.5002763085,82418.61855227739,93833.36692253628,50452.90368951754,17948.579499258234,16573.574325565154,30185.170380299485,77197.89914313723,148793.00863974247,151298.5702370065,32753.15042866975,7011.946026185393,4424.95980295948
offwind capacity,16920.80738850614,18883.2191637502,103664.6847078942,147057.63164241053,191241.8691851438,208716.21439393962,219431.3370822666,16920.80738850614,16899.366383309145,80212.14015405846,196473.55062179198,242942.47261136747,237696.35068240436,237697.29000048482
offwind expansion,26.88738850613361,1986.9617752440647,85280.06554414399,44101.79693451634,49343.83754273334,27976.66520879576,10715.122688326977,26.88738850613361,3.108994803005327,63811.37377074931,116970.2604677335,51628.52198957555,5256.198071036857,0.9393180804091024
solar capacity,116688.2916140127,268484.654785515,580205.5885987832,1069595.0182267178,1372765.0047185163,1693117.4262479923,2014894.9029537055,116688.2916140127,197119.16975408595,538119.8148627088,1230595.3224520013,1726739.0451687793,1837512.6554547206,1853401.0482842152
solar expansion,254.2916140127103,151796.36317150225,311919.933813268,491510.4296279346,330962.9864917983,386516.4215294765,341934.4767057126,254.2916140127103,80430.87814007327,341199.6451086229,694596.5075892926,523936.72271677793,176937.61028594035,36045.392829495635
heat pump uti,0.40095539562166255,0.3920615413332429,0.4169572559683528,0.4627028663353929,0.47437107783104415,0.4694738867357584,0.4626158004978646,0.40095539562166255,0.38534101179136065,0.4059820020385905,0.474938839942856,0.45716843082545944,0.4576697329738818,0.4581769369896951
heat pump capacity,140782.45946683444,138225.31163740868,140948.5354471161,170621.95132547402,201767.49021505518,218647.4358993998,233933.65303895395,140782.45946683444,138226.25079173583,138412.9966957719,199312.69978991093,232252.56708301426,232591.07259399706,232617.17057356224
heat pump energy,1619148779.8172047,1555245997.8099794,1690026859.2764606,2266828996.4525294,2726236111.0859585,2910852254.937316,3055964106.8805065,1619148779.8172047,1529886626.23804,1615442672.9472163,2698115831.7538543,2993747502.3000813,3001939289.5380764,3006046908.7928824
