scenario,go,go,go,go,go,go,go,wait,wait,wait,wait,wait,wait,wait
line_volume_limit,opt,opt,opt,opt,opt,opt,opt,opt,opt,opt,opt,opt,opt,opt
year,2020,2025,2030,2035,2040,2045,2050,2020,2025,2030,2035,2040,2045,2050
lignite,2.9003087413102278,9.616759812580083,23.054789198598804,39.39466412699425,69.08549203920622,118.46756907901171,163.63670061901084,2.9003087413102278,4.664470258910468,17.815134231202418,75.8561428615006,187.8281099770119,141.4885253539952,120.64950045602687
water tanks,17.51198377430418,19.47171001375837,23.149738182785214,25.071755175325265,25.85835067106756,24.752114542884023,22.221271751360135,17.51198377430418,17.82065616364707,21.740051054000947,28.206214258720877,28.061760061199955,20.43424841185601,16.36975190448198
cooling,20.625574556502407,19.311936567296005,22.268627171929985,22.846463872866362,22.43946104649753,21.048887160635676,19.123997725030446,20.625574556502407,17.979243008132844,20.70022124762748,24.567786341303606,23.3356190840983,18.60981049227157,15.662701347058023
coal,8.150255035061065,13.698364138501137,24.79881769319808,38.29633414610885,62.822374890093656,103.61432710801397,140.92618529498725,8.150255035061065,9.607536636889586,20.470612646400657,68.41525557439394,160.90944387298524,122.63073558398231,105.41670655001886
central water tanks,16.516273482612053,19.094806946234048,22.32750625005356,24.61444668327255,23.99246692211259,24.320447294855082,23.037153062770667,16.516273482612053,16.804101337781056,21.138109628624274,24.8530938721133,24.88019891705136,23.355055896986276,21.68924408988641
electricity,38.8518541587637,44.398274669050934,52.990050964245334,54.89349207348941,52.85274826587626,50.83710691000999,47.27556086747642,38.8518541587637,41.86469173932819,50.07387196225948,57.84917504643052,53.907901574186525,48.89699191154762,43.66288419958284
battery,38.93053358179837,44.46322615566854,53.023792692709385,54.733360385532265,52.682339801344256,50.57261076406118,46.9238013781311,38.93053358179837,41.93361430010624,49.840602893599524,57.65105997619911,53.65137084802699,48.57719583941272,43.3016924263456
solid biomass,23.09414401574045,23.361311084231083,24.479809346809954,24.658721064124208,24.957662644079214,25.075424174043974,25.172237677855502,23.09414401574045,23.501443256206574,24.986253132192516,24.804290183924216,25.194062884896997,25.055256765938957,25.109575044785178
gas,20.100152489999456,23.41746644780316,30.054626753605096,38.12503396609534,52.78959368729419,77.17983366510437,99.48926299368729,20.100152489999456,20.971487301198557,27.466715314600147,56.133677376390764,111.43761176698216,88.55008541870937,78.25750866531278
heat,17.493387623347164,19.42678482713417,23.100395649464133,25.064667192489946,25.92876937519761,24.946674859641572,22.582384731682858,17.493387623347164,17.78117463157802,21.757951626871577,28.176787605414535,28.631031048651575,20.576116392694377,16.49089244803609
oil,50.00020218379064,54.398568192204934,63.19865785910632,73.89906343108694,93.3425354171864,125.68110928198124,155.26077429901886,50.00020218379064,51.155489100900006,59.76739333268761,97.776394923594,171.10287178301257,140.7567184819895,127.10997888797701
urban heat,16.5531476049304,19.112526058440267,22.358609958177496,24.90381596135076,24.209923629601253,24.73650005406428,23.49328266641712,16.5531476049304,16.8573464334194,21.183476890323757,25.188428148212285,25.377890123227946,23.755764896812007,22.10560351230234
H2,50.41569947998,54.874955232317014,59.27723237541771,56.06415486284416,55.29564546753547,51.53009308063428,51.186534412586745,50.41569947998,50.838817584845785,46.76003322053058,57.269162386313624,58.26863009843824,52.944587223494736,45.726637869297434
nuclear,2.5999999999997763,2.5999999999997763,2.5999999999997763,2.5999999999997763,2.5999999999997763,2.5999999999997763,2.5999999999997763,2.5999999999997763,2.5999999999997763,2.5999999999997763,2.5999999999997763,2.5999999999997763,2.5999999999997763,2.5999999999997763
