scenario,,,go,go,go,go,go,go,go,wait,wait,wait,wait,wait,wait,wait
line_volume_limit,,,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP
year,,,2020,2025,2030,2035,2040,2045,2050,2020,2025,2030,2035,2040,2045,2050
cooling,links,cooling pump,179455.95590398196,179455.95590398196,179455.95590398196,179455.95590398196,179455.95590398196,179455.95590398196,179455.95590398196,179455.95590398196,179455.95590398196,179455.95590398196,179455.95590398196,179455.95590398196,179455.95590398196,179455.95590398196
cooling,loads,cooling,-179455.955904,-179455.955904,-179455.955904,-179455.955904,-179455.955904,-179455.955904,-179455.955904,-179455.955904,-179455.955904,-179455.955904,-179455.955904,-179455.955904,-179455.955904,-179455.955904
electricity,generators,offwind,16912.010978103954,18875.24214459243,103654.95790705016,147051.0404290518,191237.5438105327,208711.03232584448,219429.78799360766,16912.010978103954,16891.921319577927,80203.57376496754,196393.98847850267,242941.9814321676,237695.84963705167,237696.69164626944
electricity,generators,onwind,172074.34598527543,311691.89375766815,357178.56353770086,418657.87028163625,427070.73413880967,414002.6649234873,430900.9247265175,172074.34598527543,240799.32235694822,350751.7345280915,469311.91079786024,464996.1893035096,436486.3471509102,440774.60208949185
electricity,generators,ror,49530.5535452221,49532.4474079707,49531.005331660104,49532.5343056366,49528.20273477339,49525.30857241259,49532.74091233861,49530.5535452221,49531.618494394796,49531.8133430224,49530.0242809031,49533.785811293696,49533.69686993119,49533.6560576749
electricity,generators,solar,87084.0374139229,201329.2042549841,417420.51801733987,750227.2130793026,962464.6157916632,1186078.2562984247,1420795.3779339825,87084.0374139229,149161.45851899884,388090.3059130527,863287.5229459797,1210814.809942458,1292400.4684623377,1306453.0929086243
electricity,links,CCGT,144599.53713584953,117180.22525861303,105886.81849091312,56466.26696798274,40026.506103601045,35086.550219275174,33619.0209152352,144599.53713584953,118462.06067182825,98584.65971894188,48880.4813133558,28631.601327904653,25089.448268601252,25321.415787393507
electricity,links,H2 Electrolysis,-92.30825524218001,-116.8259596057,-166.72162766099004,-203.79880613452997,-872.2056956322099,-56338.49813854156,-132946.97912066185,-92.30825524218001,-109.12529276597,-141.99081882503,-625.02268765008,-135885.9944731928,-136120.7697278119,-136120.86236898685
electricity,links,H2 Fuel Cell,23.802456959244996,34.93288393036022,34.96427208825459,42.3204196351334,170.25726638378742,177.58614693283278,181.29516000644057,23.802456959244996,33.642496058350396,36.4215024469287,114.7021273019338,122.42350692685878,122.55204310420339,122.43054825542166
electricity,links,OCGT,2493.1076714341643,13610.8332104016,12582.99305477925,12249.934603164056,14455.96528318344,14621.701193568224,14765.866688715398,2493.1076714341643,8824.993958731335,9446.08951131373,8509.898527631165,10200.641389104729,10322.096158361472,10438.683267541082
electricity,links,battery charger,-398.9541888745399,-2298.186188632001,-32419.912070168495,-266072.4678789177,-405555.7318678289,-518227.6208695197,-629128.1339433566,-398.9541888745399,-2014.2964328267003,-16879.129123357296,-346502.336055599,-516092.7254525107,-557367.7449021841,-573104.3067230646
