scenario,,,go,go,go,go,go,go,go,wait,wait,wait,wait,wait,wait,wait
line_volume_limit,,,opt,opt,opt,opt,opt,opt,opt,opt,opt,opt,opt,opt,opt,opt
year,,,2020,2025,2030,2035,2040,2045,2050,2020,2025,2030,2035,2040,2045,2050
cooling,links,cooling pump,70498189.71532816,70498189.71532816,70498189.71532816,70498189.71532816,70498189.71532816,70498189.71532816,70498189.71532816,70498189.71532816,70498189.71532816,70498189.71532816,70498189.71532816,70498189.71532816,70498189.71532816,70498189.71532816
cooling,loads,cooling,-70498189.71532698,-70498189.71532698,-70498189.71532698,-70498189.71532698,-70498189.71532698,-70498189.71532698,-70498189.71532698,-70498189.71532698,-70498189.71532698,-70498189.71532698,-70498189.71532698,-70498189.71532698,-70498189.71532698,-70498189.71532698
electricity,generators,offwind,80973297.05152433,80162467.9697067,377840344.7937581,567062036.1993265,739155088.4243541,842099888.9861194,886538028.8187718,80973297.05152433,80533706.6289234,351857456.8421041,869510793.5230831,1271996072.1696928,1254062937.195561,1253337149.1530495
electricity,generators,onwind,348282269.004746,643624869.0591755,954742222.9519633,1216926306.9723685,1285099042.7102892,1279933001.8631327,1385246181.7993762,348282269.004746,459071819.1737288,834775655.9643133,1345315157.441755,1393506106.1252244,1335138243.7411776,1335637943.5318332
electricity,generators,ror,157833013.66552985,157819889.87052837,157617370.53599957,157436862.51689857,156922562.9528089,156997734.4800475,157559753.21178424,157833013.66552985,157832244.76191172,157768536.91655174,157359924.17520916,157755739.80338436,157603167.79598477,157704731.9571115
electricity,generators,solar,130709016.24917527,337673875.7425831,705431585.3318255,1153203320.3367262,1405193181.0924907,1543935783.8422165,1877082883.4408267,130709016.24917527,247583612.47304857,648606279.6122518,1208138776.745806,1456926180.082683,1523451755.414664,1544379309.4153411
electricity,links,CCGT,704111665.0922205,824781479.647533,442204243.03132606,120051116.55813327,11356808.431666162,1476953.6876883605,679463.0217562828,704111665.0922205,816781665.3047684,466417296.4521183,36772325.22460218,3049529.0325220358,1342350.3206278156,1320355.5339052405
electricity,links,H2 Electrolysis,-478921.061882378,-436583.3606062989,-394492.57153197116,-433119.96019161807,-567459.424127238,-885770.3242408684,-356386103.3517172,-478921.061882378,-427674.5257458198,-182086.83115675312,-636478.5775789949,-378964893.0762714,-362590450.8029195,-357653015.5085088
electricity,links,H2 Fuel Cell,77324.31355623824,70747.3612804619,67210.03327237678,74896.3122982002,85789.54678207313,63335.01553575699,28080.212822013273,77324.31355623824,71348.15010075655,33057.35013118456,91425.20343606677,19634.04244637308,44694.65285439622,41901.130864580395
electricity,links,OCGT,270746.8608391196,606226.4795791332,1210126.0033824705,321935.145883146,133154.44243500536,62906.86940794747,4913.119558252217,270746.8608391196,745687.9020864835,400369.72399929457,182568.6362841613,1362.686120996816,25832.783362394403,39971.477960312135
electricity,links,battery charger,-1917519.3084452183,-1857267.1832108547,-36238766.2780693,-349792420.9503299,-564769558.8401685,-620309506.0849729,-789353970.5059321,-1917519.3084452183,-1811540.2596154984,-10516709.329891795,-434764406.36561984,-558555163.1072646,-586049136.5656735,-592928642.2607388
electricity,links,battery discharger,1730568.1984191663,1693929.4956848482,33397667.288933642,322368779.360824,520491797.2010652,571677303.3519824,727468628.2611388,1730568.1984191663,1652223.6975171727,9692202.48787501,400678921.2874575,514764447.42151874,540102893.2020024,546443045.5549508
electricity,links,biomass EOP,16003.214603313829,16962.236172502548,28695.376243845774,33940.945057950645,77421.9526632654,66830.79404375382,47975.336825106024,16003.214603313829,15453.17989019892,12627.20340112391,39583.15119367044,47811.007315634575,39274.3969595079,30629.072529479123
electricity,links,central biomass CHP electric,68033.85116118725,82432.64096249705,165988.35982520308,286709.38532489794,498308.7792439004,14326362.65665692,12713235.300685454,68033.85116118725,71166.4810689152,191689.22817953004,609598.7566275573,11792905.065326063,11640784.843344688,11434480.685031544
electricity,links,central gas CHP electric,80174009.12970312,316245740.37659407,472669510.68392766,244634768.12747124,135422481.8452715,63119858.90599865,32513367.662770007,80174009.12970312,371959215.0568331,498747519.4058559,114179075.10735707,27139557.65384397,35622353.71292027,36492970.49450611
electricity,links,central heat pump,-100761788.29641363,-100979489.89690873,-159631492.22492248,-335756924.59683174,-527201606.9295212,-692163180.0142157,-837804478.0533452,-100761788.29641363,-90749037.92272706,-131944809.8410351,-430847563.88892466,-618266199.488361,-723296539.4498562,-822915705.2458155
electricity,links,central resistive heater,-1516863.7588484357,-9730845.163332516,-75841880.45306668,-179107819.55410126,-219490266.1666675,-245086844.5815971,-246013140.47564662,-1516863.7588484357,-4633096.343490663,-48778031.67186788,-246272377.58597556,-277309039.3682782,-260492387.7002361,-263538253.2327077
electricity,links,coal,552237846.0515814,181351013.6959733,7165145.929376727,3370899.9744384587,117900.50033420214,10963.52717530058,1829.1237855434401,552237846.0515814,382641523.58545285,24119072.67630838,45734.42450434489,527.761451906127,5640.295871532284,5003.143575212598
electricity,links,cooling pump,-23499396.571776092,-23499396.571776092,-23499396.571776092,-23499396.571776092,-23499396.571776092,-23499396.571776092,-23499396.571776092,-23499396.571776092,-23499396.571776092,-23499396.571776092,-23499396.571776092,-23499396.571776092,-23499396.571776092,-23499396.571776092
electricity,links,decentral heat pump,-395387990.047592,-364330840.8909547,-357356111.97143525,-368748945.514345,-362100681.9235446,-319849258.5143122,-253121036.53463373,-395387990.047592,-362284552.4127551,-348307868.76921934,-436753976.6477064,-435213933.77530617,-361196953.3337456,-268764566.03821236
electricity,links,decentral resistive heater,-6113980.923145427,-10712672.572530013,-55051407.40746714,-60047485.89661223,-59228724.98662039,-39148841.97591156,-21664900.887802113,-6113980.923145427,-6481191.4119563475,-36899386.93241867,-78767421.63069041,-46998104.008387424,-10197714.428215908,-4362715.370828084
electricity,links,lignite,226521787.0144855,171763975.608617,10842751.21221925,880924.697165726,32019.779361776124,9371.87490315012,1548.0898746029745,226521787.0144855,173941350.91121218,58815956.98878055,32671.580279120288,442.645521311474,4815.523231729272,4330.355621139511
electricity,links,nuclear,784085035.8293797,334518072.2624356,98808681.4789369,86268399.82249522,55651099.188334934,19805328.351304762,229722.07688462327,784085035.8293797,335711062.32606965,100068991.32614797,73522155.78570154,55949083.37692975,22004790.84862373,220075.35493959632
electricity,links,oil,103811.11217536266,71567.97728045558,44439.29976682249,35067.72206083072,25734.97365296606,10221.66471188979,1877.0632248597778,103811.11217536266,72604.42601619239,29595.84662304006,28815.181875470207,560.8557355469123,5591.141490334046,4723.519160896019
electricity,links,transmission lines,-108008321.6965338,-194958441.78440627,-19532444.11150217,-193794711.97520655,-174994150.62460572,-124698411.9545748,-32504113.005299825,-108008321.6965338,-234213533.08310008,-51225027.915582046,-242494744.04767472,-188936427.05818585,-178250423.75980264,-150822180.19836855
electricity,loads,electricity,-2851391291.3077254,-2851391291.3077254,-2851391291.3077254,-2851391291.3077254,-2851391291.3077254,-2851391291.3077254,-2851391291.3077254,-2851391291.3077254,-2851391291.3077254,-2851391291.3077254,-2851391291.3077254,-2851391291.3077254,-2851391291.3077254,-2851391291.3077254
electricity,storage_units,PHS,-2241507.7358436384,-3662198.69410756,-18945226.253077406,-20272955.8190905,-18069706.838740747,-17338662.643652845,-17009279.52387814,-2241507.7358436384,-3525815.5277661057,-16152452.668479554,-19673262.068286605,-18891913.329845127,-18511859.983201653,-18176986.791100044
electricity,storage_units,hydro,316115332.0069822,316118044.2852843,316115889.2758237,316101917.1281781,316071686.9670309,316082524.52018017,316126925.35653365,316115332.0069822,316119577.1801346,316136008.1356965,316102612.06601954,316140789.5663074,316131407.6324934,316134748.99172515
heat,links,decentral gas boiler,1452453723.9389315,1235644614.9952633,907318174.4007087,555217091.2701688,277038868.21062815,126861527.51994775,37987254.70672526,1452453723.9389315,1245018651.262146,951183161.2664667,329028531.375053,60357347.738012396,25516944.190814972,9807651.459103454
heat,links,decentral heat pump,1298251722.0356863,1194395334.1230485,1170768844.5399044,1205677892.226072,1174678438.0912719,1028432618.3245908,803644984.5212685,1298251722.0356863,1188650565.9394882,1140391114.5237484,1416793066.1261437,1387609963.329778,1144916377.2534387,847376529.4907783
heat,links,decentral resistive heater,5502582.830830903,9641405.315276992,49546266.66672028,54042737.306950994,53305852.48795849,35233957.77832023,19498410.799021877,5502582.830830903,5833072.270760718,33209448.239176776,70890679.46762136,42298293.60754882,9177942.985394318,3926443.8337452672
heat,links,water tanks charger,-4967016.40229002,-4797217.620631761,-28182450.102334224,-48123688.87593612,-82698714.04985543,-93307042.72020645,-25454001.55806784,-4967016.40229002,-3853803.4136408735,-13223867.216159428,-57502405.44801117,-5196600.819736183,-35897099.22692961,-25341278.186688855
heat,links,water tanks discharger,3998107.787984799,3860617.2337128394,22800908.326666847,38951744.64828557,66958596.898346744,75552400.58620161,20594827.709816128,3998107.787984799,3096200.146041618,10689554.268706646,46550474.23995101,4191848.040344076,29051981.177823074,20502102.848383002
heat,loads,heat,-2755238347.9969754,-2438743663.576817,-2122248979.1566947,-1805754294.7365522,-1489259610.3164096,-1172764925.896263,-856270241.4761208,-2755238347.9969754,-2438743663.576817,-2122248979.1566947,-1805754294.7365522,-1489259610.3164096,-1172764925.896263,-856270241.4761208
urban heat,links,central biomass CHP heat,40766.96484099706,60606.06490919787,144404.56585254465,217921.29139899474,399966.2281539761,16621590.883359719,14950600.792303726,40766.96484099706,52260.823700065484,194619.08978626557,547214.1374949305,13694182.087037,13498895.014792342,13380526.59730934
urban heat,links,central biomass HOP,49838.772795499,56769.30819066719,100401.19711509642,148661.6538846961,327923.608991058,503692.6342157052,399066.9769647387,49838.772795499,48605.47213441627,106249.47103725608,235599.53036299572,564550.7898868256,529173.3373403584,497003.9904688797
urban heat,links,central gas CHP heat,103393545.1533062,416860410.91289407,528963842.9779863,317593085.84837353,175426516.5170109,80707121.6769101,42110053.46084697,103393545.1533062,466839816.343457,583704192.3261876,148438078.02104163,34742004.95923352,43662364.4973423,44930060.666796565
urban heat,links,central gas boiler,392660490.32302004,395615975.90194404,361538926.103221,256910686.5729762,143550201.63865733,65969613.29733597,25229906.59041385,392660490.32302004,389884496.88314563,417685027.3442199,117798639.23310107,17968541.604039848,30086802.192228436,43517001.41202162
urban heat,links,central heat pump,314792692.82529336,312005757.71307784,502921861.19145286,1084819642.974101,1703936156.512673,2219709314.861667,2675858643.4670315,314792692.82529336,276315345.27667797,413157025.8948425,1387847451.816176,1972623825.2124453,2307826459.83181,2626304575.7662425
urban heat,links,central resistive heater,1492790.5064446877,9410425.800701842,74410285.95227216,176223452.89474523,215590859.73708597,241252803.66721106,241485333.44166684,1492790.5064446877,4420100.5757257035,47729362.67165547,242441951.76698506,273405114.15180635,256411862.32804915,258983040.53888747
urban heat,links,central water tanks charger,-26399297.268076137,-50582477.97909924,-133829279.02800916,-354678747.2811077,-646878731.4303268,-865960811.5514749,-984605528.220699,-26399297.268076137,-68635044.50254554,-107299421.98982057,-564941886.0472164,-843346681.8218696,-924024281.5089068,-976190263.8128618
