,2020,2025,2030,2035,2040,2045,2050
AT,,,,,,,
BA,,,,,,,
BE,0.22,0.73,1.0,1.0,1.0,1.0,1.0
BG,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CH,,,,,,,
CZ,,,,,,,
DE,0.1,0.1,1.0,1.0,1.0,1.0,1.0
DK,0.01,0.01,0.01,0.01,0.0,0.0,0.0
EE,0.0,0.0,0.0,0.0,0.03,0.04,0.05
ES,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FI,0.0,0.0,0.0,0.0,0.03,0.04,0.05
FR,0.0,0.0,0.0,0.22,0.64,0.64,0.64
GB,0.04,0.04,0.13,0.21,0.26,0.32,0.36
GR,0.0,0.0,0.0,0.0,0.09,0.14,0.14
HR,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HU,,,,,,,
IE,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IT,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT,0.0,0.0,0.01,0.49,0.52,0.59,0.63
LU,,,,,,,
LV,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NL,0.01,0.01,0.07,0.16,0.19,0.22,0.25
NO,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PL,0.0,0.0,0.99,1.0,1.0,1.0,1.0
PT,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RO,0.0,0.0,0.13,0.55,1.0,1.0,1.0
RS,,,,,,,
SE,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SI,,,,,,,
SK,,,,,,,
