,2020,2025,2030,2035,2040,2045,2050
AT,0.05,0.05,0.04,0.03,0.02,0.0,0.0
BA,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BE,0.07,0.07,0.23,0.29,0.36,0.34,0.35
BG,0.01,0.01,0.01,0.01,0.0,0.0,0.0
CH,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CZ,0.0,0.0,0.0,0.0,0.06,0.1,0.1
DE,0.22,0.28,0.22,0.43,0.47,0.43,0.43
DK,0.36,0.43,0.51,0.54,0.51,0.64,0.95
EE,0.01,0.04,0.08,0.11,0.1,0.1,0.1
ES,0.08,0.07,0.05,0.02,0.01,0.0,0.0
FI,0.01,0.03,0.06,0.09,0.09,0.1,0.1
FR,0.04,0.22,0.36,0.35,0.34,0.32,0.32
GB,0.12,0.23,0.32,0.31,0.29,0.26,0.26
GR,0.06,0.06,0.05,0.03,0.01,0.0,0.0
HR,0.02,0.02,0.02,0.02,0.01,0.0,0.0
HU,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IE,0.06,0.07,0.11,0.13,0.13,0.14,0.14
IT,0.06,0.06,0.05,0.03,0.01,0.0,0.0
LT,0.01,0.01,0.01,0.01,0.0,0.0,0.0
LU,0.03,0.03,0.03,0.02,0.02,0.0,0.0
LV,0.0,0.0,0.03,0.06,0.07,0.07,0.07
NL,0.12,0.8,0.78,0.75,0.71,0.68,0.68
NO,0.01,0.03,0.03,0.04,0.04,0.04,0.04
PL,0.03,0.02,0.02,0.1,0.17,0.16,0.16
PT,0.11,0.11,0.1,0.05,0.01,0.0,0.0
RO,0.03,0.02,0.02,0.02,0.0,0.0,0.0
RS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SE,0.04,0.08,0.08,0.08,0.07,0.07,0.08
SI,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SK,0.0,0.0,0.0,0.0,0.0,0.0,0.0
