scenario,,,go,go,go,go,go,go,go,wait,wait,wait,wait,wait,wait,wait
line_volume_limit,,,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP
year,,,2020,2025,2030,2035,2040,2045,2050,2020,2025,2030,2035,2040,2045,2050
generators,capital,offwind,3682086941.5321913,3867987902.65566,18273356218.74761,26998948317.618748,33703503973.82501,36289840591.18869,37914033642.70932,3682086941.5321913,3454796152.0214386,15066596279.45502,37142897446.98096,45263099245.19025,43921350681.018616,43518516108.91595
generators,capital,onwind,19928902887.845524,33540919121.910282,39048464997.83819,44365664113.21071,42534904812.66484,40604320034.30346,41611738793.748146,19928902887.845524,26023292954.97693,36739805189.03283,47019691768.890236,44238182127.87049,41056749795.46775,41093290816.12285
generators,capital,ror,4394961172.33428,4394961172.33428,4394961172.33428,4394961172.33428,4394961172.33428,4394961172.33428,4394961172.33428,4394961172.33428,4394961172.33428,4394961172.33428,4394961172.33428,4394961172.33428,4394961172.33428,4394961172.33428
generators,capital,solar,7688285474.487864,14831810989.899168,26504232786.353962,43737439569.58245,50429121964.61243,55844646611.72857,60189619831.82736,7688285474.487864,10883966719.639528,24120806794.556286,49506142504.622505,62821610478.88471,60478599482.528046,54688849524.6217
generators,marginal,offwind,240152568.69810668,249478829.51432675,1140688250.8548334,1494406850.6374793,1577508753.450522,1835412301.3861523,1999296474.3061342,240152568.69810668,226374458.37646097,954535354.6779724,1763782008.4577324,2479810548.7712264,2398808177.095218,2362789062.6632557
generators,marginal,onwind,556840041.6362251,1068695491.6125505,1296319108.2470722,1492985376.9740496,1437423763.845381,1390625922.6049838,1430635157.4037957,556840041.6362251,805415825.4770486,1221996037.9434187,1562780620.2756395,1530151610.8741388,1435849129.6743562,1434241219.877856
generators,marginal,ror,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
generators,marginal,solar,1306831.3051409563,3428509.660712834,7283771.903339114,13332694.563644895,16561398.562941225,20046547.814711757,23935804.00294852,1306831.3051409563,2478134.006425447,6595253.6250797985,14807661.893704016,20443527.768139098,21608132.486429106,21783364.70039551
links,capital,CCGT,15158470282.60448,11942377370.943089,10122302577.237854,5176494817.044501,3411509790.1469874,2987402920.2594447,2976959536.240657,15158470282.60448,12066971365.438742,9762917486.824957,4786267825.719602,3015826707.9453707,2592940004.096092,2583759665.8460064
links,capital,H2 Electrolysis,11821824.377338303,12197551.934787938,13356588.261436291,17099414.2149352,289307544.9756424,4812625358.812543,9972147822.252457,11821824.377338303,11626671.89957481,12279634.162497839,129937130.22656351,10601193516.618305,10364500074.045958,10111729853.698746
links,capital,H2 Fuel Cell,10568897.821676845,10296358.485554254,9622994.102936625,10708952.335280841,83377519.90714295,76998817.71161066,70514708.3186412,10568897.821676845,9862084.383986825,9358026.812718581,55796361.32936234,51749112.247730784,47681105.80441457,43626742.23495479
links,capital,OCGT,195441426.25258192,626675883.1455464,569867578.0960457,522774804.06579167,535268597.4253794,534169336.53605783,532998137.2934828,195441426.25258192,407444984.65526026,443295394.70058143,395570132.02284455,384739660.7719476,383946042.8269292,383063424.3300755
