scenario,,go,go,go,go,go,go,go,wait,wait,wait,wait,wait,wait,wait
line_volume_limit,,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP
year,,2020,2025,2030,2035,2040,2045,2050,2020,2025,2030,2035,2040,2045,2050
generators,offwind,80932833.59296489,88500882.68780854,427131861.7177245,582898069.6140383,642064932.4349828,755243934.6275216,831820637.4831653,80932833.59296489,80304767.43575099,357426722.69434756,687968693.0713799,1009312556.2477545,987072672.8364152,983054154.0993357
generators,onwind,371226694.42415,749961748.5000354,960236376.479313,1151994889.6404688,1157346025.640403,1131970632.9710898,1177477495.805593,371226694.42415,565204088.0540693,905182250.3284583,1205849244.039845,1232006127.9179864,1168782360.337287,1180445448.4591408
generators,ror,157828349.2360592,157822074.97755954,157567436.5435832,157409986.62720853,156851620.67158985,157220615.13410544,157349370.59199083,157828349.2360592,157834005.92795947,157669949.89505082,157141091.69519195,157669495.74432066,157601376.14380002,157613175.40911612
generators,solar,130683130.51409557,342850966.07128334,728377190.3339113,1333269456.364489,1656139856.2941227,2004654781.471175,2393580400.2948523,130683130.51409557,247813400.64254466,659525362.5079799,1480766189.3704016,2044352776.8139095,2160813248.6429105,2178336470.039551
links,CCGT,-591452778.4630562,-535058423.7086083,-370909862.2592833,-98962705.38218087,-20348870.955298044,-6784292.466387671,-4784980.49949136,-591452778.4630562,-577654727.3526032,-381165640.83840054,-32638602.80479634,-6347926.212705494,-5066295.810415634,-4962585.036780531
links,H2 Electrolysis,-101381.15416791786,-98689.9667840345,-102799.12772920751,-130259.13918935048,-3891442.174959146,-67232393.9571455,-145720335.91265994,-101381.15416791786,-94874.37911019077,-92508.26243315535,-1443802.4727337814,-143283001.4314643,-143344347.11779115,-142956407.92356247
links,H2 Fuel Cell,-86747.60185725229,-81312.39006173883,-84972.33719037673,-113404.8963070126,-797864.2152871112,-402840.6425581758,-250508.43108972616,-86747.60185725229,-81494.64879598118,-82850.6897347192,-593826.8370366361,-156785.42353872248,-150824.69208440697,-152947.1581915544
links,OCGT,-953022.2642101872,-10961324.633007314,-9914763.709861161,-8630786.69178432,-7277143.5331023205,-5664904.02049422,-3866360.5564694465,-953022.2642101872,-6750054.7796882875,-5379062.504984561,-4677239.038665431,-2346280.8409545333,-2472332.947538821,-2408358.543426723
links,Sabatier,-79822.72821790463,-80566.89751747383,-83889.5042324943,-100571.80841151279,-5466871.896559598,-107188398.15131918,-232914073.31809834,-79822.72821790463,-74264.28526777904,-69193.95071814352,-1744637.5845999091,-229103591.08314925,-229207423.16683856,-228584700.0569118
links,battery charger,-94879.95409066734,-129929.66850192181,-2516881.735399516,-21092738.443670604,-30955123.458941758,-37621592.61574808,-44957646.00680964,-94879.95409066734,-128208.58313746573,-855878.9289648212,-26078692.434872486,-37044015.804039694,-39605116.34152062,-40100011.27223599
links,battery discharger,-90137.15245500297,-124084.96969457647,-2416207.5891013206,-20249029.445415813,-29716919.970873553,-36116729.66303428,-43159340.55092678,-90137.15245500297,-122441.20906443466,-821644.058971775,-25035545.080805343,-35562255.532704934,-38020912.05571911,-38496011.192444295
