scenario,go,go,go,go,go,go,go,wait,wait,wait,wait,wait,wait,wait
line_volume_limit,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP
year,2020,2025,2030,2035,2040,2045,2050,2020,2025,2030,2035,2040,2045,2050
penetration,0.05188631990348834,0.11461920895903628,0.23342190495706605,0.3787520295768484,0.4555067975977584,0.5159160557176283,0.5855252197200237,0.05188631990348834,0.08211594741983988,0.20813169106316276,0.4375965795471038,0.5570233092474083,0.5652960741902094,0.5743320722614568
mix,0.6093567843688259,0.48566321510129457,0.5117631613111879,0.4310104589007787,0.42385597508152767,0.38632244659643483,0.3575878971901036,0.6093567843688259,0.4958324357624704,0.518225544274351,0.4620750689775052,0.4190155500301813,0.39930618900084497,0.3992589247934906
onwind capacity,185677.90827883608,330343.58570227807,406522.20645952504,475953.90968953865,470662.6003634438,452852.8378246042,467834.976432294,185677.90827883608,256302.69329477748,382487.42098224844,504426.26245138317,489509.9196144336,457898.70735490235,462006.1381182808
onwind expansion,30139.169278835943,151220.77442344202,103379.04975724692,105860.87123001365,41749.25067390514,20411.37246116043,15074.488607689715,30139.169278835943,77179.88201594139,153385.15668747108,158368.00946913473,32124.21716305038,6609.922740468756,4199.780763378426
offwind capacity,16919.737681366154,18919.061351990298,95192.44336060254,145596.07234647672,188360.0225560034,204676.66958831018,215817.36283016982,16919.737681366154,16898.062249325572,78487.28475492848,200298.91239576126,252963.56133771644,247718.80048968518,247719.656246983
offwind expansion,25.817681366148037,2023.873670624151,76771.98200861223,51112.478985874164,47923.550209526664,26818.96703230677,11140.696550322951,25.817681366148037,2.874567959420598,62087.82250560292,122520.47764083282,57824.24894195515,5257.5591519687105,0.8557572978668211
solar capacity,116681.32162168207,268544.88695760065,594675.1859861707,1083378.5823239924,1394093.6669324168,1704281.7440727903,2049977.383269369,116681.32162168207,197065.18741146367,541198.2826408945,1226269.6447436213,1736679.242136424,1845701.947436358,1862628.5554841429
solar expansion,247.32162168207833,151863.56533591865,326329.29902856995,490824.39633782196,338508.0846084245,376352.07714037306,365852.63919657894,247.32162168207833,80383.86578978156,344332.0952294309,687192.3621027267,538202.5973928026,175186.70529993414,37083.60804778487
heat pump uti,0.40090132561919906,0.39203118421153216,0.4037556020168546,0.45351800856287694,0.47730780939504264,0.47253861086772925,0.4713928535685347,0.40090132561919906,0.3853096949298289,0.395873147870393,0.47647086870174077,0.46502999308395176,0.46580782958829403,0.46618979780723285
heat pump capacity,140779.83456486132,138223.98751697873,137464.0943741654,161832.58349514887,192181.6971136442,210065.288084994,222030.71538377024,140779.83456486132,138221.59711576917,135923.52896088758,191307.0844905293,222322.19815167354,222699.68787337394,222713.59956171972
heat pump energy,1618881535.5403976,1555109443.1952162,1593406409.5376034,2111124323.8972132,2623688411.3672547,2821342792.545265,2965520830.760336,1618881535.5403976,1529709578.017954,1544293122.4039311,2604459619.4884377,2923634599.2206297,2934280150.4136443,2937134447.752113
