scenario,go,go,go,go,go,go,go,wait,wait,wait,wait,wait,wait,wait
line_volume_limit,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP
year,2020,2025,2030,2035,2040,2045,2050,2020,2025,2030,2035,2040,2045,2050
coal,8.150048511261302,12.877438466898072,26.14363722939785,52.211618689193365,99.01652054570148,126.68605168699332,141.15784718499978,8.150048511261302,8.150159267999724,20.889599014303872,102.42501437699136,155.56329484199213,142.98923052101748,122.1517584640251
heat,17.586792528699718,20.12584586745263,25.459171441503102,30.965115991275386,33.2562606273993,32.885145469650915,31.276686724882957,17.586792528699718,18.219556938137103,23.46545766805335,35.17457674212387,35.604346660797574,32.7905456983236,29.13871637394783
battery,39.69351652985441,46.00689309444955,54.971629134306376,59.189057016893045,57.76815586748288,55.2698970376708,50.93630144712119,39.69351652985441,43.28345801872128,51.876379626736025,63.98620300281991,60.38237730861894,55.530680692924236,49.68471498145122
urban heat,12.602889236848556,12.744177444766702,15.380996196832877,17.77130024856267,16.950266189381264,16.180096801534944,16.223402246300456,12.602889236848556,10.591175786400013,14.167608920075201,17.7552216687013,16.45252748569876,15.648007176327907,14.256545650249256
electricity,39.56548814282526,46.386268973954294,55.418374326485406,59.51495787983223,58.04917949862961,55.61710300057139,51.36949080591207,39.56548814282526,43.69785050466113,52.44996683427962,64.21560339048905,60.67976840820621,55.8966640509018,50.08722271768155
nuclear,2.5999999999997763,2.5999999999997763,2.5999999999997763,2.5999999999997763,2.5999999999997763,2.5999999999997763,2.5999999999997763,2.5999999999997763,2.5999999999997763,2.5999999999997763,2.5999999999997763,2.5999999999997763,2.5999999999997763,2.5999999999997763
gas,20.100029005796312,22.92662026250036,30.858718478405198,46.445232213704095,74.43072264350423,90.9748316629916,99.6277777933196,20.100029005796312,20.100095229196814,27.71723477999524,76.46872224829877,108.24105336001817,100.72279474198272,88.26369640650223
lignite,2.900058726950205,8.622960483170006,24.682805960001698,56.24028234270737,112.90153888100619,146.39782538402454,163.91714675303317,2.900058726950205,2.9001928072602543,18.32235234600153,117.02780633801545,181.35614849999556,166.13418977402947,140.90868340597942
central water tanks,12.786391706706324,12.871806400220784,15.542792422009493,17.824489722561648,16.880330547009518,15.873545951443054,15.951268753771243,12.786391706706324,10.733380947418851,14.355030067550608,17.703613849074635,16.155951833090914,15.381909140622218,14.01695761970606
water tanks,17.595603708462498,20.12501063818448,25.45717989788286,30.98277364883277,33.20095637782039,32.503219611475046,30.946314024277417,17.595603708462498,18.20043065295836,23.466800057210225,35.17338365082199,34.971503122774344,32.2732505166172,28.696301101860154
H2,41.55348160447364,46.930518858767606,52.3364589164153,51.67752319640314,50.767997683090336,50.29716433502735,52.931460223000606,41.55348160447364,43.634068280590455,50.799035609502894,55.44386557230111,58.92385732497346,54.730988333925374,49.15212111772767
cooling,22.562729002012688,20.22596854309011,24.194371556461896,26.611490534367825,26.62313152840113,25.768949406572666,24.32172617552123,22.562729002012688,19.053408791894714,22.942362623625584,29.137687114402286,27.90223370334936,25.691990636633516,22.913299629231087
oil,50.00003845820567,53.74776419710701,64.26478839571224,84.93066237588455,122.03611317198371,143.97164525601931,155.44442854301005,50.00003845820567,50.00012626260263,60.09955251788755,124.73825963798348,166.8646133539784,156.89629152300668,140.3770005200054
solid biomass,23.410595581653116,23.354971987423614,23.874847859920273,24.63854922030743,25.05092375679679,25.488158312075505,25.146623274523527,23.410595581653116,23.099315854489543,23.483306917806598,25.156847298807705,25.6134048106308,25.48235643170819,25.286991612188917
