scenario,,,go,go,go,go,go,go,go,wait,wait,wait,wait,wait,wait,wait
line_volume_limit,,,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP
year,,,2020,2025,2030,2035,2040,2045,2050,2020,2025,2030,2035,2040,2045,2050
cooling,links,cooling pump,179455.95590398196,179455.95590398196,179455.95590398196,179455.95590398196,179455.95590398196,179455.95590398196,179455.95590398196,179455.95590398196,179455.95590398196,179455.95590398196,179455.95590398196,179455.95590398196,179455.95590398196,179455.95590398196
cooling,loads,cooling,-179455.955904,-179455.955904,-179455.955904,-179455.955904,-179455.955904,-179455.955904,-179455.955904,-179455.955904,-179455.955904,-179455.955904,-179455.955904,-179455.955904,-179455.955904,-179455.955904
electricity,generators,offwind,16910.66220308557,18910.118578254587,95182.47285995088,145556.00307523686,188355.5758157852,204675.25470105,215815.8737603681,16910.66220308557,16890.586450978342,78478.49056454723,200292.05610866402,252963.06837836574,247718.20246716472,247719.0064985388
electricity,generators,onwind,172030.92457978704,311678.49881658755,377799.6084625653,451095.54125980276,450878.2476691251,440719.64297561377,455903.6224098614,172030.92457978704,240737.19029454893,355180.8971867897,480451.7846325704,475764.3998505174,446725.8888482636,450790.7068618877
electricity,generators,ror,49530.3327191179,49532.2419233968,49530.4953099999,49532.16910943407,49528.90112732919,49532.001591285916,49532.81859240919,49530.3327191179,49531.8294816564,49531.727466630204,49530.6855504907,49533.832662232904,49533.678000203094,49533.6299076045
electricity,generators,solar,87078.34952547682,201361.9263753177,427578.01402111736,759092.2810389382,975783.0396960521,1196637.3507974318,1444717.552239512,87078.34952547682,149127.7850116883,390150.0368807833,860785.1462844624,1218797.4339716893,1299297.3496983515,1315334.1837357858
electricity,links,CCGT,144586.18020864428,117171.2387006895,102218.14934976691,52838.74797634598,34968.63043570166,29472.669662053733,28754.37071849065,144586.18020864428,118393.7864655836,98589.32864494468,48611.72559293923,28560.69364036293,25011.35471438574,25205.45422756704
electricity,links,H2 Electrolysis,-90.18985382466,-118.22803530492999,-162.43745527171,-219.19532708508999,-4046.2685807024513,-69141.43930504778,-146849.66354698638,-90.18985382466,-101.81583821355,-146.00072055932003,-1767.88716166792,-148682.5551667113,-148908.07184701445,-148908.30684698184
electricity,links,H2 Fuel Cell,24.94854867476708,36.801398348340136,37.080851201296,46.914111312462204,450.46939304772854,455.71755476425733,453.48976542814216,24.94854867476708,35.33104627449884,38.33841876495319,275.04901510155656,282.4765309248622,282.42815318384817,282.5125514802842
electricity,links,OCGT,2496.383774605497,13595.082770412153,12622.745143282918,11714.395681759132,12127.522978779229,12274.919312777361,12383.05873284586,2496.383774605497,8835.6330361566,9816.429730509171,8815.15544496013,8680.445793229595,8824.617356640216,8906.560979044889
electricity,links,battery charger,-406.1439655996601,-2369.2300624032,-39605.53058817601,-274394.7938790986,-412953.28005975374,-520453.109103084,-638195.390370282,-406.1439655996601,-2027.7187905087,-17311.084358487,-344033.26817433443,-515274.3296719314,-557850.2660273174,-573671.4961070813
