scenario,,,go,go,go,go,go,go,go,wait,wait,wait,wait,wait,wait,wait
line_volume_limit,,,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP
year,,,2020,2025,2030,2035,2040,2045,2050,2020,2025,2030,2035,2040,2045,2050
cooling,links,cooling pump,70498189.71532816,70498189.71532816,70498189.71532816,70498189.71532816,70498189.71532816,70498189.71532816,70498189.71532816,70498189.71532816,70498189.71532816,70498189.71532816,70498189.71532816,70498189.71532816,70498189.71532816,70498189.71532816
cooling,loads,cooling,-70498189.71532698,-70498189.71532698,-70498189.71532698,-70498189.71532698,-70498189.71532698,-70498189.71532698,-70498189.71532698,-70498189.71532698,-70498189.71532698,-70498189.71532698,-70498189.71532698,-70498189.71532698,-70498189.71532698,-70498189.71532698
electricity,generators,offwind,80932833.59296489,88500882.68780854,427131861.7177245,582898069.6140383,642064932.4349828,755243934.6275216,831820637.4831653,80932833.59296489,80304767.43575099,357426722.69434756,687968693.0713799,1009312556.2477545,987072672.8364152,983054154.0993357
electricity,generators,onwind,371226694.42415,749961748.5000354,960236376.479313,1151994889.6404688,1157346025.640403,1131970632.9710898,1177477495.805593,371226694.42415,565204088.0540693,905182250.3284583,1205849244.039845,1232006127.9179864,1168782360.337287,1180445448.4591408
electricity,generators,ror,157828349.2360592,157822074.97755954,157567436.5435832,157409986.62720853,156851620.67158985,157220615.13410544,157349370.59199083,157828349.2360592,157834005.92795947,157669949.89505082,157141091.69519195,157669495.74432066,157601376.14380002,157613175.40911612
electricity,generators,solar,130683130.51409557,342850966.07128334,728377190.3339113,1333269456.364489,1656139856.2941227,2004654781.471175,2393580400.2948523,130683130.51409557,247813400.64254466,659525362.5079799,1480766189.3704016,2044352776.8139095,2160813248.6429105,2178336470.039551
electricity,links,CCGT,851114973.8858615,802587635.5629137,580141066.610674,158083282.62348258,33200789.45338106,11307154.110646168,8147399.228863603,851114973.8858615,866482091.0289085,596182156.1831422,52136988.89597325,10357142.768098434,8443826.350692738,8449806.954518177
electricity,links,H2 Electrolysis,-506905.7708395885,-493449.8339201725,-513995.63864603476,-651295.6959467543,-19457210.874795843,-336161969.785728,-728601679.5633079,-506905.7708395885,-474371.89555095363,-462541.3121657778,-7219012.363669001,-716415007.1573195,-716721735.5889492,-714782039.6178089
electricity,links,H2 Fuel Cell,119794.30732668177,112288.53865668693,117342.75135813953,156606.76156682728,1101812.4877774273,556303.7444850985,345940.2143620035,119794.30732668177,112540.22928968833,114412.85725270744,820046.584479165,216513.20393442857,208281.71764037362,211212.74226452582
electricity,links,OCGT,690119.5706349623,8101848.641787987,7479558.588140895,6644941.966241007,5717755.633151811,4542130.250666532,3163385.9098386425,690119.5706349623,4989170.9241174795,4057889.258146263,3601060.1448132484,1843506.3750357188,1982321.0119905989,1970475.1718945878
electricity,links,battery charger,-1897599.0818133529,-2888166.032515254,-62922043.38498605,-527318461.09176695,-773878086.4735345,-940539815.393708,-1123941150.1702302,-1897599.0818133529,-2849908.5633321726,-21396973.2241212,-651967310.8718169,-926100395.1010064,-990127908.53799,-1002500281.8058801
