scenario,,,go,go,go,go,go,go,go,wait,wait,wait,wait,wait,wait,wait
line_volume_limit,,,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP
year,,,2020,2025,2030,2035,2040,2045,2050,2020,2025,2030,2035,2040,2045,2050
generators,capital,offwind,3682820094.9089484,3864729254.5013394,18271525538.542435,26998996654.01747,33701720867.823563,36285959063.47047,37911512816.38863,3682820094.9089484,3455985450.3495593,15071958093.117012,37151131111.71053,45285325475.395195,43943155758.799675,43540168691.14831
generators,capital,onwind,19930692865.982563,33537283820.88559,39051089997.00545,44372681490.00753,42538339520.27111,40608644261.16277,41616094001.493744,19930692865.982563,26018453767.397614,36730152195.3281,47022996610.09117,44231701143.46557,41047929692.900635,41084224566.09816
generators,capital,ror,4394961172.33428,4394961172.33428,4394961172.33428,4394961172.33428,4394961172.33428,4394961172.33428,4394961172.33428,4394961172.33428,4394961172.33428,4394961172.33428,4394961172.33428,4394961172.33428,4394961172.33428,4394961172.33428
generators,capital,solar,7688977449.739868,14832638338.56281,26503306023.21613,43722926512.45745,50425279758.49551,55840527639.567665,60179129642.40007,7688977449.739868,10883800026.996021,24118016442.681488,49501161329.12957,62809847414.44927,60461308171.248985,54677426531.52023
generators,marginal,offwind,240210447.85928345,249258027.19207296,1140572102.758166,1493910096.9597695,1576865621.3341506,1835419343.022666,1999343488.4618833,240210447.85928345,226438129.74123356,954892627.6641221,1764606605.13158,2481039828.709541,2400046705.63359,2364183558.493892
generators,marginal,onwind,556919686.6405938,1068567317.7146066,1296420782.9200265,1493169725.01,1437411740.2889347,1390717622.3752284,1430765663.6255627,556919686.6405938,805260163.7589684,1221663174.0433383,1562768150.731568,1529903513.017185,1435558702.092219,1433910973.8772144
generators,marginal,ror,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
generators,marginal,solar,1307017.5712559891,3428462.951805923,7285169.867724568,13322624.951644836,16534276.13129093,20039833.13374778,23936796.461903308,1307017.5712559891,2478137.9875033638,6598214.859616218,14802622.204162296,20441996.757984124,21592883.155569866,21778443.2583467
links,capital,CCGT,15159187970.648212,11942806974.52029,10123016989.345898,5177598122.488808,3411509601.7227316,2987450546.093299,2976932209.823398,15159187970.648212,12074027095.356632,9768213359.181034,4791055383.151772,3020589334.665022,2597604465.309305,2588401248.282032
links,capital,H2 Electrolysis,11014723.742495244,11540673.278038448,13451510.847066795,15978083.69181189,287285728.42112726,4812839747.023736,9969943007.490135,11014723.742495244,11117830.07749953,11636923.913067542,130395066.00876908,10602786202.520077,10366425052.343378,10113620994.57198
links,capital,H2 Fuel Cell,9887559.372371824,9856827.631942747,9226540.499137841,10040814.846765086,82332990.00822292,76100711.60851498,69739624.61327472,9887559.372371824,9392274.361073337,9002093.167241719,56396087.416350804,52303388.51968905,48181877.88270748,44065354.23506495
links,capital,OCGT,194659254.84232256,626535511.9322917,571253631.222193,523455916.4018918,534906773.54962367,533878140.0936516,532711239.75480133,194659254.84232256,406957406.5723339,442893189.46180356,395513996.0429205,384695043.95098174,383883871.70294553,382993531.22652596
