scenario,,go,go,go,go,go,go,go,wait,wait,wait,wait,wait,wait,wait
line_volume_limit,,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP
year,,2020,2025,2030,2035,2040,2045,2050,2020,2025,2030,2035,2040,2045,2050
generators,offwind,80952339.21201955,88422554.59697604,427088369.94621956,582704309.287199,641803169.970628,755246832.1526514,831840198.0363443,80952339.21201955,80327354.41034627,357560503.92300606,688290329.5850179,1009812887.8869997,987582308.2822287,983634343.3937768
generators,onwind,371279791.0937291,749871801.9049872,960311691.0518715,1152137133.4953694,1157336344.8381114,1132045276.6587126,1177584908.333796,371279791.0937291,565094851.7606795,904935684.4765465,1205839622.4780612,1231806371.1893597,1168545952.049019,1180173641.0512052
generators,ror,157827286.0033186,157824193.66885185,157569247.788372,157394481.6952185,156423920.35105792,157232230.8573042,157219154.7858514,157827286.0033186,157832821.82409808,157632384.52775478,157068977.1250234,157628013.45786485,157690889.44573665,157621792.2860128
generators,solar,130701757.12559888,342846295.18059236,728516986.772457,1332262495.164483,1653427613.1290932,2003983313.3747776,2393679646.19033,130701757.12559888,247813798.75033638,659821485.9616216,1480262220.4162297,2044199675.798412,2159288315.556986,2177844325.834671
links,CCGT,-591493359.1292657,-535244079.9725728,-370939743.88322735,-99056516.23603734,-20327659.031510707,-6766078.748912439,-4770720.727962195,-591493359.1292657,-577959430.5452733,-381243333.9491919,-32678574.03112468,-6378210.872024888,-5086664.552563875,-4981792.2676808145
links,H2 Electrolysis,-94724.55789716334,-96529.44703072657,-107610.29343473814,-123329.70673258827,-3862029.662667691,-67227033.13383913,-145688596.46607256,-94724.55789716334,-95416.59068835477,-86746.0209870585,-1445414.7169898287,-143303934.9413624,-143359593.28452957,-142972385.2127697
links,H2 Fuel Cell,-82247.47539354631,-79025.44946290182,-83572.60138978568,-104951.19599362799,-793187.4605657876,-402478.0549912756,-249171.69242566713,-82247.47539354631,-79670.01444124446,-80747.7145722938,-600563.0469958271,-158454.1544760714,-148551.57412059885,-154187.76363756784
links,OCGT,-884950.355871451,-10953627.662695384,-9940230.467759818,-8633556.51365138,-7315807.375083706,-5698418.225360274,-3891843.238246762,-884950.355871451,-6692553.442391744,-5377967.562232776,-4688695.904662836,-2346218.2267220234,-2469437.294599635,-2408767.008065055
links,Sabatier,-73403.51783868924,-79290.51412666198,-92931.37204922302,-97494.32201139047,-5425803.096613712,-107180214.58099373,-232864550.44150838,-73403.51783868924,-76867.3339495332,-61969.46735278852,-1740810.4800770376,-229135497.74772432,-229233977.9768185,-228609082.42881703
links,battery charger,-81467.07449913105,-131929.12218635,-2515836.0681257476,-21029388.072337385,-30707915.477053966,-37603765.7066321,-45090067.356325135,-81467.07449913105,-126054.07039349886,-850728.666304562,-26067083.117124416,-37043900.74942813,-39508781.49834456,-40089537.46923841
links,battery discharger,-77394.6330353712,-125994.48429326402,-2415203.7849214803,-20188212.95048171,-29479605.432182107,-36099615.99169963,-43286465.00364567,-77394.6330353712,-120383.61176249041,-816699.7810493179,-25024400.16488923,-35562145.087982334,-37928430.59311566,-38485956.34240667
