scenario,go,go,go,go,go,go,go,wait,wait,wait,wait,wait,wait,wait
line_volume_limit,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP
year,2020,2025,2030,2035,2040,2045,2050,2020,2025,2030,2035,2040,2045,2050
penetration,0.051892501222718594,0.1146252952629998,0.23341168983202387,0.37862563455991016,0.45538934816181875,0.5158611319936919,0.5854246515480023,0.051892501222718594,0.08210149161297099,0.20809940296319487,0.43757301787034375,0.5569952495841245,0.5652172403645628,0.5742495652000609
mix,0.6093708335137835,0.4856037409723897,0.5117702903271041,0.43106665864428767,0.42381782481146174,0.38630975208054935,0.3575924343712935,0.6093708335137835,0.4957661088953713,0.5182109670382408,0.4621485330098732,0.4191034223861916,0.39943795799892856,0.3993983799681696
onwind capacity,185694.58553388724,330307.7817229285,406549.53456201236,476029.191959938,470700.60652380966,452901.06516600517,467883.94142563676,185694.58553388724,256255.03227001475,382386.9264736937,504461.71671814367,489438.20540732855,457800.33830269205,461904.20753355697
onwind expansion,30155.846533887143,151168.29318904126,103442.18183908386,105908.82539792561,41711.97456387163,20421.59364219548,15075.22625963163,30155.846533887143,77115.54373612747,153332.32320367888,158503.95824445007,32017.0486891848,6583.267895363435,4196.219230864924
offwind capacity,16923.106630283408,18903.12268674426,95182.90669313671,145596.33300810403,188350.05724536645,204654.77756141394,215803.01357643938,16923.106630283408,16903.879332677898,78515.21635858242,200343.31372693693,253087.77789472466,247841.7823112538,247842.90884626828
offwind expansion,29.18663028340833,2004.5660564608502,76778.38400639249,51122.27631496731,47913.32423726241,26807.040316047496,11148.236015025434,29.18663028340833,5.322702394490241,62109.937025904524,122536.94736835452,57904.064167787714,5256.324416529158,1.1265350145042614
solar capacity,116691.82338923497,268559.8669390409,594654.3922116142,1083019.093167608,1393987.4506231507,1704156.0401873847,2049620.1015465036,116691.82338923497,197062.16927314343,541135.6755458888,1226146.2607756306,1736354.0567476181,1845174.246610371,1862239.503724509
solar expansion,257.8233892349795,151868.04354980588,326293.5252725737,490485.7009559933,338761.357455543,376332.58956423367,365621.0613591195,257.8233892349795,80370.34588390842,344272.50627274544,687131.5852297418,538000.7959719878,174984.189862753,37222.25711413772
heat pump uti,0.40092226446694423,0.39203028405137547,0.4038207239858495,0.453235553664581,0.4758357335482674,0.47239187947129907,0.4714196882177387,0.40092226446694423,0.38531984178594036,0.39600774390832544,0.47635810484631386,0.4650583381134511,0.46559389846553434,0.4661623649573884
heat pump capacity,140780.06115185353,138223.40901598072,137461.77624370673,161827.99196807554,192171.88420907097,210059.82107990448,222026.5810121059,140780.06115185353,138223.66942422788,135926.4756050322,191310.76615887167,222340.82920966478,222717.08706091298,222731.03085526815
heat pump energy,1618968545.4366918,1555113752.010036,1593672193.7428071,2109550902.0465019,2613711258.641504,2820176846.813834,2965623041.5401077,1618968545.4366918,1529773749.3056545,1544921797.0453436,2603714112.209192,2924116563.9304047,2932899618.8700395,2937169106.7633014
