scenario,go,go,go,go,go,go,go,wait,wait,wait,wait,wait,wait,wait
line_volume_limit,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP
year,2020,2025,2030,2035,2040,2045,2050,2020,2025,2030,2035,2040,2045,2050
lignite,2.9002555833203174,8.620933065010268,24.681171735896225,56.242411148095016,112.90629639301292,146.3920871540012,163.9202354929888,2.9002555833203174,2.9001674475802575,18.31750800129923,117.04839685000437,181.36709120101176,166.10523679100734,140.86661991198204
cooling,22.563842707871558,20.590980956744207,23.958077998531984,26.825453090793605,26.6532236151041,25.780549824448887,24.17258468646698,22.563842707871558,19.213382542189702,22.467847566342584,29.254536923665555,27.90144785961187,25.66021145096158,22.89347532668177
urban heat,12.60282616037505,12.801590462810841,15.415257024153087,17.747227741716113,17.026965627233363,16.36534676423061,16.225673869997106,12.60282616037505,10.644599732060666,14.17901871204136,17.810963892369365,16.396374396625745,15.446386404833564,14.233228592505403
solid biomass,23.156204097758483,23.199065286711363,23.878979053807527,24.579245598807894,25.11761177840491,25.45629406568279,25.15848066441045,23.156204097758483,22.841681652061872,23.113331275170655,25.13758474831714,25.618371033536956,25.492545499106235,25.29235926255797
H2,41.414779937727026,46.870255753942594,52.47196819363048,51.20618824811022,50.96157691222623,50.81126912222917,53.01674109420549,41.414779937727026,44.1584422700024,50.63941454128236,55.30072705181053,58.84275523522148,54.315396393592145,49.085774509406455
gas,20.100126234803685,22.925618903003613,30.857911320804956,46.44628364930305,74.43307242010513,90.97199750109623,99.6293033489825,20.100126234803685,20.100082703799682,27.714842115797072,76.47889208199923,108.24645805498781,100.7084946109941,88.24292087869436
nuclear,2.5999999999997763,2.5999999999997763,2.5999999999997763,2.5999999999997763,2.5999999999997763,2.5999999999997763,2.5999999999997763,2.5999999999997763,2.5999999999997763,2.5999999999997763,2.5999999999997763,2.5999999999997763,2.5999999999997763,2.5999999999997763
central water tanks,12.788321590381903,12.935633114395502,15.580569912343355,17.795463064275303,16.96534796769406,16.079561335818244,15.95487421672713,12.788321590381903,10.79201654659141,14.367240683066647,17.76374850391652,16.093155078644862,15.156721926289546,13.990680796363568
heat,17.585941136841747,20.127071045027925,25.458877700765143,30.9705284075879,33.256576371442286,32.888755603297646,31.28144077530051,17.585941136841747,18.222257601360717,23.461866623330184,35.17918867844855,35.60405775263188,32.77407648597047,29.113260496145326
electricity,39.56787869325764,46.388028402993754,55.41796429862316,59.52638898980964,58.05109558655499,55.61947822542604,51.364864885808515,39.56787869325764,43.69991005968552,52.44680359861636,64.22420364293394,60.679983324363356,55.896300550471615,50.09327341269041
battery,39.688067064527715,46.00750355675443,54.96632089590753,59.188312511913,57.76897016564203,55.274669517783806,50.93141523600065,39.688067064527715,43.28793204722451,51.870770454950225,63.99363242210313,60.38262339984458,55.52498629883553,49.69061301379012
oil,50.00016737250599,53.74643651269291,64.26371820030685,84.93205645518451,122.03922869800546,143.96788749199735,155.4464512489985,50.00016737250599,50.00010965549488,60.09638012810639,124.75174363501536,166.87177934101385,156.87733123900523,140.34945462700023
coal,8.15021112401976,12.875763722798128,26.142287282396328,52.213377184001665,99.02045047728855,126.68131163599902,141.16039863098865,8.15021112401976,8.150138319701254,20.885597354499627,102.44202312199106,155.57233403499865,142.96531397500073,122.11701201100098
water tanks,17.59542191849762,20.12227933512255,25.456725669800623,30.982102653212603,33.22369632290501,32.54533055258176,30.952776420489506,17.59542191849762,18.20362278482249,23.465474217382255,35.199599449535285,34.966650752512905,32.23694295325413,28.669715154495755
