scenario,,,go,go,go,go,go,go,go,wait,wait,wait,wait,wait,wait,wait
line_volume_limit,,,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP
year,,,2020,2025,2030,2035,2040,2045,2050,2020,2025,2030,2035,2040,2045,2050
cooling,links,cooling pump,179455.95590398196,179455.95590398196,179455.95590398196,179455.95590398196,179455.95590398196,179455.95590398196,179455.95590398196,179455.95590398196,179455.95590398196,179455.95590398196,179455.95590398196,179455.95590398196,179455.95590398196,179455.95590398196
cooling,loads,cooling,-179455.955904,-179455.955904,-179455.955904,-179455.955904,-179455.955904,-179455.955904,-179455.955904,-179455.955904,-179455.955904,-179455.955904,-179455.955904,-179455.955904,-179455.955904,-179455.955904
electricity,generators,offwind,16914.52376786691,18893.754590268833,95172.83051452214,145557.2311251078,188345.14215737797,204652.782700313,215801.37951016263,16914.52376786691,16896.331943982863,78506.69233627395,200335.56560818342,253087.29973637738,247841.38426069714,247842.22809514523
electricity,generators,onwind,172045.44977103223,311646.87839265546,377827.4681987695,451180.44542152405,450934.4256845452,440722.20259083784,455948.35863517324,172045.44977103223,240692.78368647821,355082.01095308544,480464.9130803241,475690.36312881025,446627.26336808765,450684.04967763333
electricity,generators,ror,49530.147268679786,49531.985281731795,49530.5541239662,49532.27770124,49525.1610876796,49531.30795173321,49532.42145237059,49530.147268679786,49531.68349937881,49531.5822325354,49529.7928117282,49533.803356987286,49533.9104043981,49533.61715381849
electricity,generators,solar,87087.47705534774,201341.5558036117,427670.8098166919,758233.2656908083,975169.4108830953,1196668.926046659,1444789.8896084304,87087.47705534774,149124.86242096385,389974.6395446031,860371.9488184107,1218578.0111001274,1298833.594138837,1315023.6796493651
electricity,links,CCGT,144595.67639141448,117174.94334284624,102224.2781870367,52852.966696382224,35009.897022093486,29136.857680773755,28849.20619070408,144595.67639141448,118462.676895414,98643.17153943602,48619.7046002553,28583.147326913113,24978.262482063124,25291.88058705605
electricity,links,H2 Electrolysis,-86.75270488054001,-112.79360472658999,-164.24823372323002,-206.46685473939004,-4016.70778595026,-69143.62717544998,-146817.46917534948,-86.75270488054001,-98.72382463366,-137.76886236834,-1772.05795163158,-148704.88793562408,-148936.2174650334,-148936.13783673948
electricity,links,H2 Fuel Cell,23.521548251959956,34.8244063155085,35.448381910024594,44.151093111881394,444.45806255597296,449.7573209874072,448.1938480822188,23.521548251959956,33.457939961847096,37.09223537439358,277.1959808274419,285.4760145985883,285.6855249500446,285.31351175664815
electricity,links,OCGT,2482.6405705515335,13591.126313730074,12653.983051725008,11731.744458223968,12122.459330268359,12269.950344062225,12378.674575519932,2482.6405705515335,8824.33445460709,9808.997603247608,8817.699058374823,8684.00621084493,8826.518165319136,8908.671229494383
electricity,links,battery charger,-364.40607382570994,-2381.4284306069007,-39580.268518033816,-274238.6463641383,-412975.03388571576,-520414.4839150668,-638149.7767751474,-364.40607382570994,-2021.2004012456996,-17252.9964617619,-344011.5851267665,-515014.418842723,-557665.2659613277,-573572.7740716985
