scenario,,,go,go,go,go,go,go,go,wait,wait,wait,wait,wait,wait,wait
line_volume_limit,,,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP
year,,,2020,2025,2030,2035,2040,2045,2050,2020,2025,2030,2035,2040,2045,2050
cooling,links,cooling pump,70498189.71532816,70498189.71532816,70498189.71532816,70498189.71532816,70498189.71532816,70498189.71532816,70498189.71532816,70498189.71532816,70498189.71532816,70498189.71532816,70498189.71532816,70498189.71532816,70498189.71532816,70498189.71532816
cooling,loads,cooling,-70498189.71532698,-70498189.71532698,-70498189.71532698,-70498189.71532698,-70498189.71532698,-70498189.71532698,-70498189.71532698,-70498189.71532698,-70498189.71532698,-70498189.71532698,-70498189.71532698,-70498189.71532698,-70498189.71532698,-70498189.71532698
electricity,generators,offwind,80952339.21201955,88422554.59697604,427088369.94621956,582704309.287199,641803169.970628,755246832.1526514,831840198.0363443,80952339.21201955,80327354.41034627,357560503.92300606,688290329.5850179,1009812887.8869997,987582308.2822287,983634343.3937768
electricity,generators,onwind,371279791.0937291,749871801.9049872,960311691.0518715,1152137133.4953694,1157336344.8381114,1132045276.6587126,1177584908.333796,371279791.0937291,565094851.7606795,904935684.4765465,1205839622.4780612,1231806371.1893597,1168545952.049019,1180173641.0512052
electricity,generators,ror,157827286.0033186,157824193.66885185,157569247.788372,157394481.6952185,156423920.35105792,157232230.8573042,157219154.7858514,157827286.0033186,157832821.82409808,157632384.52775478,157068977.1250234,157628013.45786485,157690889.44573665,157621792.2860128
electricity,generators,solar,130701757.12559888,342846295.18059236,728516986.772457,1332262495.164483,1653427613.1290932,2003983313.3747776,2393679646.19033,130701757.12559888,247813798.75033638,659821485.9616216,1480262220.4162297,2044199675.798412,2159288315.556986,2177844325.834671
electricity,links,CCGT,851173370.45431,802866119.9588602,580187804.5353043,158233136.32509813,33166180.525096465,11276797.914854059,8123119.0773410415,851173370.45431,866939145.8179147,596303676.1769402,52200839.03673191,10406554.580672141,8477774.25427306,8482511.158483645
electricity,links,H2 Electrolysis,-473622.78948581783,-482647.23515363457,-538051.4671736904,-616648.5336629412,-19310148.31333838,-336135165.6691925,-728442982.3303547,-473622.78948581783,-477082.95344177337,-433730.10493529355,-7227073.584949185,-716519674.70681,-716797966.4226545,-714861926.0638496
electricity,links,H2 Fuel Cell,113579.84697203989,109130.38259162605,115409.78287160891,144932.60399120074,1095354.1122098884,555803.028321284,344094.241921159,113579.84697203989,110020.49613314681,111508.74869507192,829348.9696609098,218817.64189552673,205142.6499760655,212925.95930902005
electricity,links,OCGT,640826.1197689824,8096159.576774825,7498770.352871483,6647074.483961701,5748134.366137175,4569002.000514061,3184235.3767473428,640826.1197689824,4946669.935680852,4057063.2487019473,3609880.9177492396,1843457.1781387103,1979999.2722465731,1970809.370235044
electricity,links,battery charger,-1629341.4899826157,-2932611.2641666667,-62895901.70313945,-525734701.80844754,-767697886.9263451,-940094142.6658081,-1127251683.90811,-1629341.4899826157,-2802016.572261073,-21268216.657614313,-651677077.9281211,-926097518.7357185,-987719537.4585974,-1002238436.7309381
