scenario,,,go,go,go,go,go,go,go,wait,wait,wait,wait,wait,wait,wait
line_volume_limit,,,opt,opt,opt,opt,opt,opt,opt,opt,opt,opt,opt,opt,opt,opt
year,,,2020,2025,2030,2035,2040,2045,2050,2020,2025,2030,2035,2040,2045,2050
generators,capital,offwind,3682545775.935528,3456964552.19614,16054263844.094826,23951027498.78937,32166270930.391277,38781273585.17636,38436568794.6928,3682545775.935528,3455283642.1185894,14835009193.706518,38723164336.662025,51027551254.51413,49566226861.76018,49111814046.80953
generators,capital,onwind,19475870244.37608,30692909449.117203,39317179377.2713,44591360804.31191,44855513695.437225,43901214897.626366,46418690660.1079,19475870244.37608,23429856560.283607,34290185017.14342,50117594694.016685,50097699424.71128,46690653930.25799,46309045229.085495
generators,capital,ror,4394961172.33428,4394961172.33428,4394961172.33428,4394961172.33428,4394961172.33428,4394961172.33428,4394961172.33428,4394961172.33428,4394961172.33428,4394961172.33428,4394961172.33428,4394961172.33428,4394961172.33428,4394961172.33428
generators,capital,solar,7689588815.611789,14762632281.928307,25826208995.132412,37506288247.176285,40654645569.58864,40801545464.60408,43842573872.0404,7689588815.611789,11598960996.228592,23961697556.183037,38609717517.25803,42134979628.25172,39496562923.94836,35780748169.39881
generators,marginal,offwind,240285850.0136219,225602143.58441904,1015528236.7148895,1498372442.0027921,1854195256.4887304,2051494070.0283027,2141127920.8167958,240285850.0136219,227011935.18827772,945035113.8329986,2252880087.9233203,3028494760.084495,2968867171.3685555,2940662966.9757533
generators,marginal,onwind,537856842.2697911,970923737.1792477,1322357682.5557241,1575770460.9979832,1597469025.596914,1575683728.029832,1678570111.2328224,537856842.2697911,717964799.4749444,1147982445.3690467,1754224294.628106,1792255259.197668,1698947974.6237164,1680360305.084559
generators,marginal,ror,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
generators,marginal,solar,1307150.5499659711,3424230.1138039264,7110887.753840243,11681950.174113164,14062410.151821999,15486720.476400124,18475329.72671744,1307150.5499659711,2654989.908566385,6607273.6062788805,12181272.517688317,14677629.316905975,15194839.388723169,15355896.152287945
links,capital,CCGT,15773997867.05252,12410991814.24437,7758197968.831846,2471198136.828476,664657465.9666201,239255844.25096673,238408153.21345925,15773997867.05252,12410983540.696613,7769075032.690221,2480795115.0392466,673338351.4878596,247279245.69291142,246425196.35383424
links,capital,H2 Electrolysis,10991143.903958287,11191932.15649016,10830697.14316989,12770717.741485152,13220955.667361887,23568651.895716816,4445225451.245925,10991143.903958287,10767487.38994693,10643823.759780563,15389789.002149204,5323632826.240672,5196899579.379748,5070156385.399438
links,capital,H2 Fuel Cell,9994339.168899033,10091134.084957981,9353048.671255514,12245163.447098726,11567150.822820257,10906340.296089632,9975657.977338005,9994339.168899033,9367514.986141495,8802958.713585619,9100832.326525563,8442345.112818614,7788731.95203399,7128659.1002230095
links,capital,OCGT,196779444.28786102,126787496.64757155,71981587.31823163,19574253.5628111,8577629.685047418,8679513.848563842,8659883.99783204,196779444.28786102,126694893.16832748,72048668.37645444,19142165.57950526,8006051.987706892,7992635.041973949,7980226.236938959
links,capital,Sabatier,9002037.930199683,9246017.38976149,9321118.419887273,10776645.981858555,11011272.379747134,24022331.388130836,5405289210.28933,9002037.930199683,9238297.426477766,9370653.62987876,10517668.26871241,5717597384.422019,5717621917.166231,5717639065.0752535
links,capital,battery charger,16223350.80849578,12107899.472054366,287259670.9222965,2031327300.1163728,2471361562.6837144,2276736663.3964167,2208738115.4104676,16223350.80849578,11233815.474735728,130313423.30588314,2515501551.1035647,2481585147.8496847,2101526496.6560853,1657078858.186588
links,capital,battery discharger,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
links,capital,biomass EOP,7781680.096565177,8120001.294177701,7935417.751728345,8759397.874423534,8804322.204532174,8896780.374367716,8669888.89961765,7781680.096565177,7715893.345986081,7635843.731998897,7975238.3569378685,7790814.646301586,7605390.32292756,7414421.369952888
links,capital,central biomass CHP electric,21605714.279542908,21453757.038311698,21142438.00487565,25401171.151407115,33836974.749591626,1453479600.1054583,1416066547.212907,21605714.279542908,21402217.270612366,21255200.363451835,44313221.66075082,188798289.97815305,184096474.4610554,179378772.88641712
links,capital,central biomass CHP heat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
links,capital,central biomass HOP,6554532.5771074565,6615685.092984373,6529652.664460975,6802132.305770957,8115590.344217069,16232740.596542394,15805888.28204607,6554532.5771074565,6509792.9294013595,6464342.515893266,7657619.681223704,12503199.038119067,12217322.865807865,11900893.38682719
links,capital,central gas CHP electric,1050861867.1179701,4460982705.635672,7179706787.663289,7072661601.514368,6964515626.181777,6856589676.831213,6748057272.223644,1050861867.1179701,4658316565.42598,7205448831.384975,7097750348.686756,6988634020.677157,6879911919.112539,6770991171.804658
links,capital,central gas CHP heat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
links,capital,central gas boiler,5047733119.405129,3789482667.9659696,2902726712.26762,2088908607.9815347,1775537638.749339,1740912360.180148,1705978383.5753746,5047733119.405129,3792709154.827593,3043670457.40206,2001437689.7368438,1169238170.6901836,1149041064.8263319,1128710556.1373837
links,capital,central heat pump,16136685731.918524,11635559704.362446,10525267077.400166,14235047953.9098,20413235944.741714,27362463021.75266,31562668459.835667,16136685731.918524,11603587982.792212,9345185664.549229,18430166449.336143,27693148376.069126,29767990906.599987,31260151065.712215
links,capital,central resistive heater,822458496.3256049,627817920.5454326,706129989.7471886,1137833449.6431003,1387285909.56703,1631374174.8928857,1641620041.3468947,822458496.3256049,617215266.7661362,571666909.8286371,1489489619.5932336,1769349879.9113612,1763846425.327831,1758341280.1400023
links,capital,central water tanks charger,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
links,capital,central water tanks discharger,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
links,capital,coal,22795093578.170746,15957796745.806717,12922602712.205057,9808230565.369806,7938656599.808458,6005199526.535787,3794985165.1547403,22795093578.170746,15957438757.611387,12922529460.988611,9807828505.860106,7937791452.989153,6003785645.93017,3793843580.0618334
links,capital,cooling pump,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
links,capital,decentral gas boiler,17416430127.97024,13193074541.055874,9257287127.007692,5872425178.863974,3454078528.3904,3376321871.0831437,3297936120.3543663,17416430127.97024,13190771352.255081,9248302719.081543,5324394568.486455,2439805703.75677,2384768595.83729,2329421968.525543
links,capital,decentral heat pump,39005883228.85457,37702571965.27027,37557180189.58004,39197904656.103645,40441447986.91688,39843074308.908066,38671800315.33281,39005883228.85457,37701438903.83387,37118181991.892265,44304627807.745316,48121982143.42543,46271239908.63374,44426539350.43943
links,capital,decentral resistive heater,1478074034.5583038,1293294815.487872,1410123014.886349,1197670920.6256413,1001637648.8182187,1001683688.8286552,1001685063.757153,1478074034.5583038,1294328302.2059405,1387492385.5217314,1250786570.7728364,1049616032.1397159,1049626941.5668299,1049639110.1158831
links,capital,lignite,9059460544.447496,6957869038.514603,5585211145.976198,4648904832.603748,1169991795.6755538,1069072979.1020592,1013325003.3054937,9059460544.447496,6957956038.844843,5585450095.637875,4648765041.362526,1169640682.8417819,1068517559.7294757,1012821529.335007
links,capital,nuclear,63269614023.10562,27142359433.619293,8388723800.859258,7534545283.6132,5953602121.477041,2314617729.520942,26092693.394075107,63269614023.10562,27140771700.275677,8387553942.356282,7531559645.537962,5949831499.739975,2310005606.4834495,21492967.18346665
links,capital,oil,226266588.93873605,184812050.48914787,132779091.4955396,70814527.8076262,29019779.50789016,5537610.451231531,5503420.581495691,226266588.93873605,184765067.2596485,132820542.65381168,70706487.37781478,28664089.01002102,4941281.55296064,4926358.604509385
links,capital,transmission lines,6840020700.764943,7232216459.260591,7624412217.75624,12380811536.36979,14205855151.478876,17117771686.989033,17668373278.736572,6840020700.764943,7232216459.260591,7624412217.75624,16015327668.682291,21110834815.201256,21142239386.841713,21151982041.833256
links,capital,water tanks charger,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
links,capital,water tanks discharger,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
links,marginal,CCGT,3286282258.520535,3445406276.645896,1776558365.2059312,447543156.79634696,37895173.16001332,3384002.037538249,875835.109514865,3286282258.520535,3391554054.7827854,1872305504.8229797,133119854.5483501,10113686.386251362,2511380.7605639603,2507393.9053921797
links,marginal,H2 Electrolysis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
links,marginal,H2 Fuel Cell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
links,marginal,OCGT,1508832.6236800896,2216859.087072752,5230213.971659914,1429041.6522923834,531763.0140677409,299639.440823122,32809.02656468782,1508832.6236800896,2547730.250146948,1846526.8961849306,780302.7439561419,6937.326481564621,158386.7070703748,184072.92802713875
links,marginal,Sabatier,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
links,marginal,battery charger,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
links,marginal,battery discharger,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
links,marginal,biomass EOP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
links,marginal,central biomass CHP electric,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
links,marginal,central biomass CHP heat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
links,marginal,central biomass HOP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
links,marginal,central gas CHP electric,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
links,marginal,central gas CHP heat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
links,marginal,central gas boiler,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
links,marginal,central heat pump,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
links,marginal,central resistive heater,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
links,marginal,central water tanks charger,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
