scenario,,go,go,go,go,go,go,go,wait,wait,wait,wait,wait,wait,wait
line_volume_limit,,opt,opt,opt,opt,opt,opt,opt,opt,opt,opt,opt,opt,opt,opt
year,,2020,2025,2030,2035,2040,2045,2050,2020,2025,2030,2035,2040,2045,2050
generators,offwind,80977750.18323138,80030794.12530364,380265568.6598728,584444860.9384574,754679648.8289928,844158259.2331281,890830557.1063184,80977750.18323138,80530907.90886694,353869347.9639254,878742929.8535587,1232633593.4809375,1221643181.860274,1223482447.5753853
generators,onwind,358571228.1798609,681349991.002981,979524209.300536,1215872269.288567,1286206944.9250512,1282607837.2241206,1381539186.199854,358571228.1798609,503834946.99996066,850357366.9400342,1353568128.5710688,1443039661.189749,1382945034.2887392,1383012596.7774143
generators,ror,157824122.8822409,157815379.5933466,157749750.40259108,157510302.11058268,157061067.9500738,156868068.0856757,157674391.40407464,157824122.8822409,157838781.42262727,157737503.18682212,157524349.45823798,157781497.57557678,157741865.31856146,157707901.73461488
generators,solar,130715054.99659705,342423011.38039255,711088775.3840244,1168195017.411317,1406241015.1822002,1548672047.6400132,1847532972.6717436,130715054.99659705,265498990.8566386,660727360.6278877,1218127251.7688315,1467762931.6905975,1519483938.872317,1535589615.2287953
links,CCGT,-519019925.2671102,-534171515.7590528,-270436285.10160565,-67510673.0792804,-5664896.066406405,-501333.6351908506,-128594.8375081345,-519019925.2671102,-525822334.07485014,-285011376.612398,-20080769.517529596,-1511880.7343727471,-372056.4089724409,-368149.1051567886
links,H2 Electrolysis,-93087.3234755582,-82718.38034495516,-43611.652042474605,-100989.26555695027,-126818.15887110075,-306263.66038057243,-69182013.41141929,-93087.3234755582,-78242.78471105,-54476.23775914053,-134544.41026763624,-79261722.9682268,-76566257.17707543,-75961961.2463248
links,H2 Fuel Cell,-82460.14688147041,-75482.77781968385,-48959.851178940684,-96905.32949465339,-93926.55134814758,-84014.4370847234,-30048.427899630802,-82460.14688147041,-72108.99019303091,-54079.22182467664,-97563.07515960596,-28654.269667398123,-42810.02340073195,-43663.43693317232
links,OCGT,-463028.00091769954,-666506.653629717,-1540683.1854502116,-412469.2380818373,-150397.6201403712,-83046.13715697009,-8911.09363485346,-463028.00091769954,-765984.2582141149,-543938.1554653276,-225221.48165273087,-1962.0721362000945,-43897.43941276303,-49995.11625428458
links,Sabatier,-70706.3141482032,-60851.2924469592,-23222.990867937384,-69909.1528068294,-115266.52556827321,-411054.7001023931,-110662714.28519751,-70706.3141482032,-56607.50552579162,-35755.05575155578,-122428.2413441686,-126791578.38789068,-122465300.57380515,-121497633.15728669
links,battery charger,-90935.22151426405,-71308.45556914812,-1395602.1192674818,-14428128.337415386,-22520007.285430174,-24907026.461988147,-30773488.759441122,-90935.22151426405,-67690.18302627892,-527251.9620871786,-17811380.40064382,-22472835.55893097,-23284314.222827144,-23487068.94117642
links,battery discharger,-86390.02330213235,-68102.15380200942,-1339778.2770879585,-13851005.260977803,-21619213.031779446,-23910748.892152026,-29542549.57696777,-86390.02330213235,-64645.40828829131,-506162.2072574082,-17098925.432617173,-21573922.507977664,-22352941.85573738,-22547586.448166862
links,biomass EOP,-49286.09694295031,-58400.35845660201,-31795.570236574607,-68244.73941856567,-162996.21678742202,-165009.67797937963,-107733.13891063198,-49286.09694295031,-31604.419546822675,-37825.318180481314,-56757.852471852624,-117626.50229259094,-90033.34009631567,-73970.88396006354
links,central biomass CHP electric,-124522.75561216548,-140281.01682918885,-274172.8706883568,-281860.2747110051,-482468.44520396885,-16676309.789419785,-15198397.21983036,-124522.75561216548,-86752.20406024678,-187472.6240298553,-517018.15255525766,-2044174.3627202043,-1916031.984506958,-1890338.271391177
links,central biomass CHP heat,55324.916158875385,62788.01482516831,164871.1449183913,132927.5595624488,240880.81375302724,11568077.413812242,10714721.820020614,55324.916158875385,41196.5856844989,108202.64994259787,281696.838929904,1421581.5159242905,1336407.0709109188,1332453.8124722533
links,central biomass HOP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
links,central gas CHP electric,-96423548.22289473,-373080975.4358113,-527235730.95404655,-279506905.85717815,-147654882.32636234,-68577710.9761178,-40495432.672558375,-96423548.22289473,-409219351.4112347,-567857253.8856215,-127627804.07526179,-36868472.53729372,-50557962.029640056,-52154128.39371642
links,central gas CHP heat,74189179.44361041,293969448.7417024,348233376.33536386,216916365.17498893,114295470.64268273,52298091.53960684,30922269.75592874,74189179.44361041,311382240.74710673,394379917.80554223,99171843.72769514,27452764.58635577,38040102.75358319,39348080.51641822
links,central gas boiler,-4413311.5649710605,-3836789.7950406517,-3957811.152314256,-2595705.1237144843,-2025392.925201831,-982270.0799668471,-324394.44158130523,-4413311.5649710605,-4079270.595360591,-4073504.776847835,-1771494.7062954796,-428309.5489829733,-405496.42100610817,-326815.88557899103
links,central heat pump,314169702.0513613,288618651.3117971,408635131.46171683,823475261.3612983,1226043093.8863027,1553740870.6098948,1831424913.6112175,314169702.0513613,271263861.21645075,337613795.9647743,1037432388.0080472,1415113465.3803377,1606576755.367426,1786605727.7364528
links,central resistive heater,-33635.31846270654,-342906.23856879474,-2037700.8450900577,-3214814.5234824116,-4329915.355357032,-4224603.397493808,-4759000.460998085,-33635.31846270654,-183011.03335023267,-1657124.7254916206,-4196342.814832557,-3946896.5903333873,-3545549.8077794667,-3582265.3146962235
links,central water tanks charger,-2660431.0596592333,-4976817.856066206,-13175114.447623044,-37356806.22078157,-66065087.651606165,-88531971.48032776,-97210230.56726155,-2660431.0596592333,-6493892.484294844,-11162492.932713281,-58637421.360925056,-83365424.54193468,-88369433.77481768,-92813501.51434359
links,central water tanks discharger,-2353520.8472766257,-4383546.811533941,-11562785.653419815,-32248074.08553563,-54566897.53553043,-71640691.7990761,-75968302.20293626,-2353520.8472766257,-5738546.624327805,-9800979.121260142,-48874712.84402199,-66438038.65186628,-70427132.62153494,-74158580.33073601
links,coal,-1123049784.172211,-336373647.87868476,-10890720.917613761,-7598987.43845,-80249.87432247799,-28703.241314670075,-1701.6822821172657,-1123049784.172211,-765439944.4510294,-28684273.40808744,-84625.01092130438,-1866.6325580490245,-5672.75388905015,-7214.087958808991
links,cooling pump,46998793.14355204,46998793.14355204,46998793.14355204,46998793.14355204,46998793.14355204,46998793.14355204,46998793.14355204,46998793.14355204,46998793.14355204,46998793.14355204,46998793.14355204,46998793.14355204,46998793.14355204,46998793.14355204
links,decentral gas boiler,-44718174.92671871,-31576856.33297784,-18331440.622051924,-9791001.639097301,-4079232.3082843735,-1538999.532672563,-424720.06467517396,-44718174.92671871,-31779830.852112994,-19215782.416674316,-5749813.938275721,-1130859.3035510883,-435777.7505729018,-160919.7328571693
links,decentral heat pump,707304577.581072,666099461.9535104,684170132.6167476,742610686.1412311,750941991.1173576,677676932.5278897,547010259.3658246,707304577.581072,663059283.5920628,664432476.4726646,884840340.0104151,876588527.6634673,742417298.5570463,573378273.3978975
links,decentral resistive heater,-589160.2470660841,-1069807.4933595196,-5517403.811375214,-5990945.981021482,-5952250.389833688,-3851688.491095251,-1961778.5481002457,-589160.2470660841,-696848.0948925749,-3860859.866624394,-7913085.507656559,-4691695.9525333075,-911572.8723524577,-408933.259689911
links,lignite,-459993085.65222454,-347705672.0343296,-13899880.517000016,-2019649.3127252404,-55238.232016715585,-24629.730900512626,-1441.5966116726297,-459993085.65222454,-353145780.1917854,-116885150.24018924,-61705.87598242725,-893.5972415576622,-4840.9279119530065,-6241.752884874862
links,nuclear,-1432654584.5253158,-611372982.2300581,-180348573.5583422,-157354767.89362577,-101270826.29964711,-36169395.162725516,-412028.28818323265,-1432654584.5253158,-613190386.6537149,-182528995.441228,-133243927.08086814,-102520853.21732211,-40873486.71198433,-366648.6125972743
links,oil,-186078.93267748883,-111204.23036737778,-25672.641429587533,-61474.66020205729,-38297.92122847367,-22765.86963415323,-1408.0350455042365,-186078.93267748883,-107678.92050823037,-73699.56108768184,-45579.78210166737,-930.2599871367742,-4373.9708280296,-5222.812074559699
links,transmission lines,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
links,water tanks charger,-466530.48155400757,-437816.06815531745,-1346173.5285746786,-6154726.824047743,-7590908.407577516,-8359987.6649493165,-1048302.5726471783,-466530.48155400757,-368007.2164967018,-1499455.9191443902,-6369339.8848731145,-421215.72843817336,-1495284.524651331,-1451751.2815908098
links,water tanks discharger,-417315.5136754997,-391417.9922040079,-1209375.5902201496,-5536348.79497307,-6829045.961181963,-7521235.8549123565,-941394.518757825,-417315.5136754997,-328582.18270604283,-1347058.0573724303,-5729551.725751833,-377180.86895490554,-1343365.0401209781,-1304145.162858802
loads,cooling,-70498189.71532698,-70498189.71532698,-70498189.71532698,-70498189.71532698,-70498189.71532698,-70498189.71532698,-70498189.71532698,-70498189.71532698,-70498189.71532698,-70498189.71532698,-70498189.71532698,-70498189.71532698,-70498189.71532698,-70498189.71532698
loads,electricity,-2851391291.3077254,-2851391291.3077254,-2851391291.3077254,-2851391291.3077254,-2851391291.3077254,-2851391291.3077254,-2851391291.3077254,-2851391291.3077254,-2851391291.3077254,-2851391291.3077254,-2851391291.3077254,-2851391291.3077254,-2851391291.3077254,-2851391291.3077254
loads,heat,-2469280453.3272166,-2200445418.018686,-1931610382.7101903,-1662775347.401672,-1393940312.0931556,-1125105276.784636,-856270241.4761208,-2469280453.3272166,-2200445418.018686,-1931610382.7101903,-1662775347.401672,-1393940312.0931556,-1125105276.784636,-856270241.4761208
loads,urban heat,-1092999879.3315713,-1361834914.6400864,-1630669949.9486039,-1899504985.2571142,-2168340020.5656323,-2437175055.8741536,-2706010091.1826572,-1092999879.3315713,-1361834914.6400864,-1630669949.9486039,-1899504985.2571142,-2168340020.5656323,-2437175055.8741536,-2706010091.1826572
storage_units,PHS,-2226484.492880667,-3479918.142230785,-18432212.661030572,-20187068.094876215,-17965532.724988583,-17407974.29441397,-17063118.5089257,-2226484.492880667,-2830756.8206768055,-17239808.765325334,-19402110.15804274,-18925164.597728997,-18281627.328658614,-18161832.00173237
storage_units,hydro,316111233.8316606,316111281.49422,316135661.8762308,316108484.49078375,316085843.6962464,316066710.99605995,316136889.93751216,316111233.8316606,316123913.3531491,316129541.1402906,316126170.9506748,316142279.9537984,316139299.50439864,316136105.4671502
stores,H2 Store tank,3.279453718134373e-10,-2.0327354209592752e-10,9.280765194980695e-10,-5.371571937251574e-10,-8.991095238122804e-10,-8.821588425023119e-12,-4.20901289082537e-10,3.279453718134373e-10,-5.272947529999517e-10,1.7549388938581378e-10,1.3614149581980817e-09,1.612446833606368e-09,7.052670253360205e-11,-1.4781909522375986e-09
stores,H2 Store underground,9.886069740616676e-11,1.1717782300024737e-10,-2.71730193901476e-10,-9.079722529392598e-10,1.0198180078191399e-09,-4.8940629326921226e-11,1.8770191447803342e-06,9.886069740616676e-11,5.063337110700061e-10,-1.4480072696443358e-10,1.171531760491007e-10,1.4941873349716417e-06,-1.28954677691695e-06,-2.0478293749626175e-07
