scenario,go,go,go,go,go,go,go,wait,wait,wait,wait,wait,wait,wait
line_volume_limit,opt,opt,opt,opt,opt,opt,opt,opt,opt,opt,opt,opt,opt,opt
year,2020,2025,2030,2035,2040,2045,2050,2020,2025,2030,2035,2040,2045,2050
penetration,0.05096005881203304,0.11214273562503506,0.22456787244673188,0.35346958716203064,0.43057242594433426,0.4785363652372402,0.5268179617082113,0.05096005881203304,0.08452292361075081,0.20543037883631599,0.42027396915948334,0.5039868123038547,0.5035563561072045,0.5057127630803057
mix,0.6037137736167256,0.4594048706975257,0.5090546553487969,0.4481738242620291,0.4658926345616449,0.47182751186084826,0.4342689648989968,0.6037137736167256,0.4574622318094151,0.5036906118173546,0.5241453097923634,0.5337679265993664,0.5174640494843452,0.5153075851191021
onwind capacity,181456.99586359516,302293.6171249216,409319.71367115545,478375.1790355694,496340.894837185,489622.52621253475,521878.8659283862,181456.99586359516,230760.00989961278,356985.13818267186,537660.4997500769,554347.3903917163,520732.64899746905,520646.13763763825
onwind expansion,25918.481863594985,127391.49326132654,134226.52554623384,105484.63336441405,65006.27580161554,31502.766375349678,32348.689715851484,25918.481863594985,55857.88603601765,153425.55728305908,217104.52956740506,63727.45064163943,4606.393605752571,5.838640169251855
offwind capacity,16921.846093760243,16908.66830523197,83632.39808718105,129159.68027578904,179768.8312377392,218728.48682984538,218791.780154105,16921.846093760243,16900.44665571168,77280.8648570586,208820.7499758793,285179.56805744814,279556.2083727357,279558.28417708585
offwind expansion,27.926093760238086,11.372211471730708,67222.32978194907,46236.132188607975,55768.75096195011,49461.97559210623,63.29332425967766,27.926093760238086,3.1505619514400536,60879.018201346924,132248.73511882065,81518.41808156882,4878.960891916474,2.075804378809094
solar capacity,116701.10178793217,267292.3367245537,579462.3734743779,929032.6500438259,1123882.0291124054,1245192.3914704535,1493219.015390328,116701.10178793217,210010.8794319933,537628.3503706631,956364.6486720056,1164805.2943950084,1205366.58800828,1218644.0902711642
solar expansion,267.1017879321776,150591.2349366215,312369.0367498242,351691.2765694479,222642.37906857952,187474.36235804865,268183.62391987426,267.1017879321776,93309.7776440611,327816.4709386699,420857.2983013428,236233.64572300226,106725.29361327199,33434.502262883834
heat pump uti,0.37312730092144725,0.3862721514682951,0.4218210695138599,0.49448986456015,0.4989255782079675,0.4765768027294093,0.4617578261410696,0.37312730092144725,0.37779747454269824,0.40727627270833733,0.5091645708796225,0.4714766464562706,0.4575681807874918,0.43921276420540306
heat pump capacity,145823.91762622193,131886.3101859314,135021.2085108228,164048.1875564812,203837.4764861729,242768.53156016435,268331.00168585236,145823.91762622193,131765.16280645784,128414.62075628439,196307.55709076204,256049.96731224796,270292.3976404501,282248.132984111
heat pump energy,1498113630.4249268,1400987630.219582,1591729229.5688055,2276698602.0667396,2867874726.9545956,3244930974.168273,3463833687.593544,1498113630.4249268,1370400725.4995618,1460196270.6186178,2797859720.8813963,3349223033.087085,3432406331.785176,3445934769.4090967
heat pump expansion,27294.917626221955,15694.642559709444,32767.148324891372,58659.2290456584,69421.53892969171,38931.05507399142,25562.470125687996,27294.917626221955,15573.495180235872,26281.707949826567,97525.18633447759,89374.66022148603,14242.430328201994,11955.735343661
resistive heater uti,0.0031165740645452485,0.010263998453579606,0.06004426238561673,0.09151831029378396,0.10035759864578649,0.09117948767012163,0.08219555821456243,0.0031165740645452485,0.00594589504081782,0.044878817128516046,0.10321716983782293,0.0931959666881572,0.0774122730395083,0.07729851135709678
resistive heater capacity,276090.0515783897,232016.00036095307,264076.81007764034,304829.9785972501,320305.4027399536,358253.5079202522,360608.1797408961,276090.0515783897,230609.41318776563,241328.745810278,364408.1196176061,383338.20463750174,383340.4116875204,383342.52738123434
resistive heater energy,6914791.0599099705,19448454.239728082,131346059.4660393,235176554.71214554,271308744.2725477,278072360.77117705,252929042.91443402,6914791.0599099705,11131672.12001122,89357621.59128864,317381982.6876957,304317440.51245797,255498090.24156314,255583428.17399803
resistive heater expansion,48360.05157838971,12858.448782563297,88993.30971668742,97685.66851960961,72407.92414270354,37948.10518029869,2354.671820643798,48360.05157838971,11451.8616093759,67651.83262251242,180011.87380732797,75862.58501989585,2.2070500183795962,2.115693714064868
gas boiler uti,0.20411130548984013,0.2300954725094806,0.2415442480137053,0.21780162712681905,0.17731443775416872,0.08126889533928597,0.029888201560180534,0.20411130548984013,0.2321879013583836,0.2532351829634181,0.12838981242659497,0.05574292452607152,0.03733022986223936,0.03459871265564587
gas boiler capacity,1120457.8490587468,871004.9050952032,651667.500082139,439377.1123841638,286115.33087723824,286133.63305087504,286134.2663244071,1120457.8490587468,871330.6621501548,667908.411478775,414932.53470442,212872.19458527945,212874.76579886026,212877.33087081186
gas boiler energy,1954263994.9315286,1720215492.188556,1356592005.8834817,825919451.2332821,438311015.04605997,201181705.45792088,74166743.85030502,1954263994.9315286,1736397853.9770982,1458358793.7511082,459151137.5868635,102388030.75331196,68771501.93530336,64032131.212456465
gas boiler expansion,52697.84905874701,17487.056036455975,47602.594986936034,54649.612302025,113678.21849307427,18.30217363679447,0.6332735319672302,52697.84905874701,17812.813091408,63517.74932861999,13964.123225644986,64879.65988085943,2.5712135807807313,2.565071951616498
gas CHP electric uti,0.6461855138122035,0.5743813711423391,0.4915164997577435,0.26053325140019773,0.1376184924717884,0.06391179550919325,0.03773960005722634,0.6461855138122035,0.6033300353335914,0.5274947168528085,0.118543589463372,0.034243862813001215,0.04695835507466827,0.04844025872099887
gas CHP electric capacity,32019.1760854918,139375.68635541224,230171.20700276378,230204.41297521288,230226.48200168097,230242.88998613757,230246.48645980674,32019.1760854918,145541.0413823867,230996.4603800075,231021.01366113673,231023.7654617577,231026.04614931787,231029.00053553734
gas CHP electric energy,84823722.87277247,328199053.5788709,463808876.1024314,245882014.92699122,129891888.96379246,60327760.78350196,35623801.674355865,84823722.87277247,359989955.75273913,499543599.2828393,112274083.28425294,32433167.57040119,44475801.1839689,45879947.53432172
gas CHP electric expansion,32019.1760854918,107356.5102699204,90795.52064735159,33.20597244909699,22.069026468099672,16.407984456598932,3.5964736692036183,32019.1760854918,113521.86529689489,85455.41899762081,24.55328112919714,2.7518006210021966,2.2806875602031838,2.9543862193905923
nuclear uti,0.899831377753228,0.8951039416057148,0.8543417709241212,0.8299227767772475,0.6759574680305193,0.6209788309460172,0.6275133177541043,0.899831377753228,0.8978173010755152,0.8647913994874356,0.7030356186950955,0.6847347516031274,0.7031427080278602,0.677904465635269
nuclear capacity,271269.80284978665,116373.43780455296,35966.8299981942,32304.521612888708,25526.19450387906,9923.972270961971,111.87297254959996,271269.80284978665,116366.63036439774,35961.81420522053,32291.720626750957,25510.027883756145,9904.197696287898,92.151549531924
nuclear energy,705635840.139334,301124006.1730128,88828401.90187006,77503094.63417399,49879660.714751504,17814776.721939366,202939.30612010005,705635840.139334,302019145.66526234,89902341.03821672,65627605.87565146,50495345.61450201,20131717.33575349,180588.12262253818
nuclear expansion,65.08511322502311,15.26178223702161,1.6346178836706664,22.540099542993975,3.4910728085318787,3.83837314351419,0.021913708842314472,65.08511322502311,8.454342081840228,3.426265065171424,14.754906378924552,0.1254388233664127,0.23041859235697598,0.07506536523904178
coal uti,0.9694629692247454,0.41478460743985035,0.01658365414613078,0.015245394108055997,0.00019891656011174124,9.405396228085549e-05,8.82352234892991e-06,0.9694629692247454,0.9438903180792045,0.043678721516715334,0.00016978505900516503,4.627354239938498e-06,1.859269562387366e-05,3.741757241269047e-05
coal capacity,197373.51476111467,138172.121152402,111891.60107734475,84925.50967758666,68737.62330531543,51996.598887806125,32859.24481705893,197373.51476111467,138169.02147710943,111890.96682462718,84922.02840657101,68730.13234819671,51984.356666311134,32849.36029250485
coal energy,553143923.5475065,165676572.83577064,5364086.422108268,3742784.8577440297,39526.057502116026,14137.417363941979,838.1420195502958,553143923.5475065,377007733.83408904,14128074.962192336,41680.97552840365,919.3861853077235,2794.042960278435,3553.2075020999555
coal expansion,56.39486378943643,21.448423297046276,0.9950764578976793,9.658204631955819,4.234839849977579,5.3655236524915875,0.23879447103193818,56.39486378943643,18.34874800449939,3.460499032848097,6.811186333903873,0.22515374693256535,0.6142592761898309,2.596491411945687
lignite uti,0.9991312929211498,0.9833522610050158,0.04897168717686224,0.008548676953514486,0.0009290317343354682,0.0004533419512609644,2.7994234075303713e-05,0.9991312929211498,0.9987250344776618,0.4117890169313654,0.0002611935938300225,1.5033598568570231e-05,8.914983575492734e-05,0.00012126828668334558
lignite capacity,78442.21228420745,60245.37967654039,48360.08901581961,40252.99055932043,10130.486727867308,9256.671427906542,8773.972206424838,78442.21228420745,60246.13297728495,48362.157984495454,40251.7801633851,10127.446583555478,9251.862275737147,8769.61282852604
lignite energy,226563758.60482705,171258017.56914726,6846209.806880656,994752.6465661697,27206.890396292776,12131.061488312182,710.040122167116,226563758.60482705,173937473.82580444,57570297.87949611,30392.446379404493,440.1299846478037,2384.337628275365,3074.296197027915
lignite expansion,122.64508831810595,4.506868886445699,1.587991529267593,6.540474273354373,1.872971526810046,1.9422757968119022,0.02805124556501115,122.64508831810595,5.260169631004463,2.903659460550273,3.261109662174004,0.04322315031383395,0.17326793924125927,0.4778255161733992
OCGT uti,0.009146193361506478,0.020428406974893072,0.08312163181101687,0.08243437604070317,0.06908652056001678,0.03795902220422122,0.004109776394428685,0.009146193361506478,0.023494552308319257,0.02931876704629483,0.04602785572041584,0.0009656421488170814,0.02178914486348133,0.025021401957103975
OCGT capacity,9964.024270692998,6477.360031154601,3712.1055843043714,1010.9522785070803,443.76751786450995,449.9946290106599,450.03471731082993,9964.024270692998,6472.6290750977205,3715.5649685734206,988.63621266902,414.19668940386003,414.3829831121,414.71443029910995
OCGT energy,335296.13859557564,492635.3526828333,1162269.7714799761,317564.8116205299,118169.5586817202,66586.54240513824,7290.894792152869,335296.13859557564,566162.2778104332,410339.3102633185,173400.60976803122,1541.6281070143598,35197.04601563884,40905.09511714197
OCGT expansion,350.41203349742136,23.931330990511128,3.6741245783414094,58.41097991699587,7.3390488812395285,6.227111146150005,0.04008830016999898,350.41203349742136,19.200374933631174,11.864464904271287,32.63552980988594,0.08428625864954808,0.18629370824000024,0.33144718700999976
CCGT uti,0.566551096559736,0.7511136322152621,0.6162907434941876,0.48784158904851244,0.15372591715367664,0.03817052882325504,0.009923171326305134,0.566551096559736,0.7393741052874186,0.6485962310717236,0.14454511034118547,0.040498339382266615,0.027408483792837935,0.02748442763005288
CCGT capacity,255068.59119565604,202960.2476868062,128443.04816482484,41032.57581280849,11070.242914433651,3998.1887454527396,3998.2248504960385,255068.59119565604,202960.1123872808,128623.12648232409,41191.927153414756,11214.827932060369,4132.267281531395,4132.674703319012
CCGT energy,746882331.4819405,801257273.6385808,422990086.953793,107841724.52924027,9242725.160978854,835556.0586514206,218958.77737871674,746882331.4819405,788733501.1122758,445787024.9578515,32077073.38514455,2466752.777134476,620094.0149540621,626848.4763480446
CCGT expansion,65.53982560733677,11.909266598872673,3846.5951068074455,48.29696515450785,14.884801112918598,10.962780171632556,0.03610504330016018,65.53982560733677,11.773967073423188,4026.8087238321223,27.56998826153037,0.11847813338566027,0.4562986235716344,0.4074217876149884
