scenario,go,go,go,go,go,go,go,wait,wait,wait,wait,wait,wait,wait
line_volume_limit,opt,opt,opt,opt,opt,opt,opt,opt,opt,opt,opt,opt,opt,opt
year,2020,2025,2030,2035,2040,2045,2050,2020,2025,2030,2035,2040,2045,2050
cooling,21.703545471926976,19.686913387199006,21.710650738048134,23.06519528592013,22.54039550101691,21.12794443203343,18.926037983988827,21.703545471926976,18.433541056986094,21.155520805224164,24.82541563029638,23.271906605503105,18.571739724517432,15.759811838400447
heat,17.317684984788976,19.33134077433205,23.089688847783847,25.011124235089856,25.991972749823493,25.03832520531356,22.273675911595287,17.317684984788976,17.915915126123554,21.757303551458502,28.09132581695315,28.30454616334977,20.405662171023884,16.457599798367223
gas,20.10000700849928,23.513003982804964,30.42272389589974,38.296462002697574,53.76170795469399,78.19337555870668,91.34879155609087,20.10000700849928,21.451361888998587,27.677795690195243,56.88842060561,100.49948003000735,77.39699496921439,68.3007780095898
battery,39.04756826813148,44.66639468954024,53.171928593234455,54.895373317838384,52.74835787541528,50.56422482112341,46.71281683801281,39.04756826813148,42.415218303510265,50.148012915045044,57.75312395148922,53.6152959312834,48.29051423298424,43.08074519764232
urban heat,16.529748940575747,18.846436231581396,22.143243008240102,24.698861150554098,24.274348647047994,24.687792521208582,23.365114531813198,16.529748940575747,16.99867580387433,20.975357618045752,25.042673000006573,25.374622982413708,22.930719406836303,21.102078388784395
coal,8.150011721531227,13.858147829302196,25.41444923490052,38.58304244769342,64.44820714039332,105.30944583298061,127.31148850600712,8.150011721531227,10.41011263760047,20.823638307600046,69.6775412171059,142.6157432950323,103.97752294200428,88.76437014309433
nuclear,2.5999999999997763,2.5999999999997763,2.5999999999997763,2.5999999999997763,2.5999999999997763,2.5999999999997763,2.5999999999997763,2.5999999999997763,2.5999999999997763,2.5999999999997763,2.5999999999997763,2.5999999999997763,2.5999999999997763,2.5999999999997763
solid biomass,23.401516248604633,24.029892085199894,25.061479001182782,24.497544076284477,24.99390060204397,24.99149659221809,25.187598813771242,23.401516248604633,24.0106851498665,24.78573101666503,24.74366596758231,25.18996801293163,25.127787481017055,25.12171352545174
oil,50.00000929250299,54.52523966551114,63.68671113928962,74.12635673489493,94.63144397529,127.02494597297888,144.46747185000962,50.00000929250299,51.79174605529989,60.047260948805175,98.77709519098259,156.60020262303405,125.96903948998627,113.90853150399049
lignite,2.900014189900313,9.81019136215034,23.800062777503054,39.741748555797265,71.05369824340795,120.51965236898845,147.15496907198718,2.900014189900313,5.636055773729823,18.242501382102432,77.38424542740536,165.68205218499733,118.9072480760227,100.4904515589868
electricity,38.93290605237646,44.611743381736765,53.17549208666661,55.03760934927394,52.91061812849385,50.83078919991922,47.049335966919706,38.93290605237646,42.31769866980937,50.374218722784555,57.94278072608263,53.855695287561865,48.58224885863668,43.429368096741854
water tanks,17.339765638555615,19.385285276573843,23.044880207616885,25.05317955044534,25.941601233159002,24.84775077677278,21.8618189365076,17.339765638555615,17.96784617452609,21.79385939224983,28.12999833933369,27.729606933894686,20.087134104656297,16.214040906591457
H2,40.580396853761805,45.12309785433847,43.780417732568246,50.85496544487767,49.88123884780239,49.60408993260644,47.385877712505994,40.580396853761805,42.48202395356948,45.66679204039833,50.39445451797629,52.92692477262429,47.69178922625574,42.71931248164419
central water tanks,16.497284514044626,18.82996432718323,22.07701667281117,24.41732707299383,24.05029117279155,24.30114189018617,22.903814132436562,16.497284514044626,16.94391548640422,20.967075392217954,24.701347875545917,24.850774564628875,22.510991140186455,20.698544489983185
