scenario,,,go,go,go,go,go,go,go,wait,wait,wait,wait,wait,wait,wait
line_volume_limit,,,opt,opt,opt,opt,opt,opt,opt,opt,opt,opt,opt,opt,opt,opt
year,,,2020,2025,2030,2035,2040,2045,2050,2020,2025,2030,2035,2040,2045,2050
cooling,links,cooling pump,179455.95590398196,179455.95590398196,179455.95590398196,179455.95590398196,179455.95590398196,179455.95590398196,179455.95590398196,179455.95590398196,179455.95590398196,179455.95590398196,179455.95590398196,179455.95590398196,179455.95590398196,179455.95590398196
cooling,loads,cooling,-179455.955904,-179455.955904,-179455.955904,-179455.955904,-179455.955904,-179455.955904,-179455.955904,-179455.955904,-179455.955904,-179455.955904,-179455.955904,-179455.955904,-179455.955904,-179455.955904
electricity,generators,offwind,16913.443989930653,16899.997378978933,83629.78725511197,129154.12964645459,179763.51268402877,218719.2112210364,218785.8409848532,16913.443989930653,16892.74644577132,77276.50357933843,208814.40326910932,285168.1063638376,279544.1252540007,279546.0407662089
electricity,generators,onwind,167852.1920782554,284628.4350290479,387003.1669360694,459588.23041570623,481143.75247156573,476102.7103880314,507733.12430026545,167852.1920782554,216757.6380674117,338218.4258553223,516366.4316417031,536409.6548415788,505406.4177929874,505330.5219108968
electricity,generators,ror,49530.141582694,49531.0037506874,49534.68205834779,49532.09396788309,49530.8887640164,49529.34015760511,49533.9039878053,49530.141582694,49532.1531333878,49533.7648306579,49532.2706799747,49534.852538551,49534.2145061884,49533.828443804894
electricity,generators,solar,87094.23436895454,200609.88004462683,420550.18684778974,654496.9047260522,793920.3463813693,870355.8468114969,1041857.8443815229,87094.23436895454,158571.5753103297,392658.0043735929,676251.4477987696,811144.5079133735,840659.8609813197,850744.8829593132
electricity,links,CCGT,148133.2228855862,121751.86123848973,78123.44701429589,25226.769674524163,6855.366904871949,2494.3418028996675,2457.4651185711687,148133.2228855862,121758.50607577847,78418.04763401437,25319.485381338003,6952.821824353009,2581.6836411357554,2602.582818379547
electricity,links,H2 Electrolysis,-85.78043320519,-103.19378915769,-139.35633803553998,-160.9318024806,-177.10535307543,-332.7604677155799,-65461.623304171684,-85.78043320519,-90.97206536839997,-131.58881036174,-198.32706020728006,-74664.35444695366,-74663.40111135076,-74662.9872707043
electricity,links,H2 Fuel Cell,22.55607819294488,28.038812105143077,37.400355645134475,45.528683606334994,54.717163784939196,56.80321971571498,63.743782041752404,22.55607819294488,26.363393479433235,33.632474672556384,39.39577412218159,46.00966089344939,45.165805418466,44.960319222261596
electricity,links,OCGT,583.1504902166871,1841.8797240252181,1584.1323862626482,426.18689349598856,175.15138891361758,175.5313487231315,121.3397495558745,583.1504902166871,1848.9476443797744,1576.3550774604369,399.1675402701602,32.68270429571229,167.3079086680829,169.88975645325482
electricity,links,battery charger,-386.6925798627301,-499.50391226140005,-20123.503606809023,-179491.7299973469,-287406.42200688116,-325852.084896434,-410913.54852787324,-386.6925798627301,-445.84906819078003,-9115.064739993497,-222284.40736396573,-288601.7954250413,-300779.24804745195,-308281.52418656135
electricity,links,battery discharger,406.524423634887,502.105521852725,20121.49101573453,137412.58306869812,213230.93499316933,239885.4538543373,297100.5920074884,406.524423634887,465.92379885162075,9115.049657149824,167035.57397619076,221225.2893237959,226564.611952618,234095.33270219123
electricity,links,biomass EOP,9.08254575740161,11.993513074754333,13.856052835132846,14.58422150593181,18.950411806523583,21.201784986758945,23.716067943692906,9.08254575740161,10.56556938488574,13.831449584583998,13.971874424830473,20.292423444993933,19.82504109711744,19.700067567876392
electricity,links,central biomass CHP electric,29.184136163587073,37.394688455776084,44.99324186079528,52.958868095081506,78.848901069354,3899.829170481108,3746.4932719454764,29.184136163587073,36.08882850611845,44.160531520603676,99.27341852053858,494.44438850209247,488.73891847540017,466.6347272711873
electricity,links,central gas CHP electric,13592.473341681314,59734.944087858705,105598.3917797737,97990.33173521161,91726.56577685763,91660.32325638144,91046.19946599459,13592.473341681314,61505.0318609584,105050.26658424042,92261.25033429985,96617.9490613255,91901.18308288067,91902.48136075406
electricity,links,central heat pump,-45724.448853851754,-41372.7996166597,-44096.741858658046,-65646.99681718812,-98412.43067480298,-134749.14893527498,-159135.48897905095,-45724.448853851754,-37249.86857967495,-38551.60596193564,-85087.873030217,-130605.833766323,-144847.57893526801,-156802.872556065
electricity,links,central resistive heater,-13151.472047711588,-48598.100534605794,-90317.82534418609,-162612.70116742502,-201370.23055496305,-239314.341574677,-241676.02088080495,-13151.472047711588,-37585.54974175723,-70239.136926043,-215733.80642561102,-258715.30309585299,-258714.77725812595,-258715.1735507111
electricity,links,coal,65114.20843732586,45576.407817285784,36710.019679502664,27458.04615826545,2886.5319959952553,3.38126475917241,0.17724221220090008,65114.20843732586,45586.44052436057,36911.70667846498,753.1905479710634,206.96391370715898,0.7471526572434211,1.0996605860158382
electricity,links,cooling pump,-59818.651967993996,-59818.651967993996,-59818.651967993996,-59818.651967993996,-59818.651967993996,-59818.651967993996,-59818.651967993996,-59818.651967993996,-59818.651967993996,-59818.651967993996,-59818.651967993996,-59818.651967993996,-59818.651967993996,-59818.651967993996
electricity,links,decentral heat pump,-63936.59331158227,-63548.077265116066,-65951.6413984972,-73576.5294917215,-79960.935045659,-76109.1921915317,-67908.0190232245,-63936.59331158227,-63546.35669227901,-64885.943935372394,-86684.08310314697,-99688.97873874402,-93339.45360188799,-81936.236349643
electricity,links,decentral resistive heater,-62408.46854514034,-69755.44470808253,-125247.59920200302,-111567.0442089752,-109009.75773751985,-104784.73241936162,-86573.82451199242,-62408.46854514034,-68361.9957757216,-119735.17600320415,-132482.36179130938,-116154.3766615915,-79657.92116049891,-39621.003683575924
electricity,links,lignite,25874.781153592998,19871.80510788059,15952.712396541503,12290.335163579957,11.938277806776753,2.5381814044837796,0.133216733844249,25874.781153592998,19874.36895603422,15953.55613687425,8.264726361625472,0.0875611856125083,0.537589748565804,0.7808622687127681
electricity,links,nuclear,80558.68738769842,34558.24053900208,10680.89328943537,9590.535244664035,7578.698820867389,2945.540605977209,33.0788276262477,80558.68738769842,34556.531984853136,10678.889659651937,9587.224108478786,7576.388347408806,2941.1433053920327,26.899423134303063
electricity,links,oil,1207.8877473397035,1620.5468528086153,1203.4266727782176,142.050142867239,6.64633544199661,3.0427903185290193,0.17289762462275599,1207.8877473397035,1673.1789339386376,2843.7970138268943,6.235016442356241,5.5620865414777265,0.6206690541259,0.7721731749869291
electricity,links,transmission lines,103279.8392285258,117299.85389689499,126228.737012857,192388.24813049997,221195.64724742103,266106.75529941806,277951.38448760903,103279.8392285258,113098.99842083204,126049.92539275203,240193.17405075792,325575.434367121,325629.2938755289,325768.73728746496
electricity,loads,electricity,-484962.96298599994,-484962.96298599994,-484962.96298599994,-484962.96298599994,-484962.96298599994,-484962.96298599994,-484962.96298599994,-484962.96298599994,-484962.96298599994,-484962.96298599994,-484962.96298599994,-484962.96298599994,-484962.96298599994,-484962.96298599994
electricity,storage_units,PHS,41680.6096627469,47166.82782729269,46714.34244331053,42647.15144074462,42972.06017647157,42206.14159502587,40746.79125746708,41680.6096627469,47393.469266010005,46789.9060898897,44582.71165938883,42514.333398410265,43229.84177324856,42618.79677343009
electricity,storage_units,hydro,113844.7004648416,118232.04327093269,118264.0689303292,118264.05016963958,118262.633732957,118264.71590069139,118267.90897339168,113844.7004648416,118255.63417324299,118264.59401860299,118261.95202533722,118267.9565516848,118267.76549836289,118267.68842182058
heat,links,decentral gas boiler,549626.1864415464,495713.5790607868,402644.2224167978,272914.21088072326,164296.76675956728,141211.5903492419,85911.4000858732,549626.1864415464,502979.6298944011,406478.1976085032,242183.1520560021,105845.71370217846,99902.40474197974,101099.28121197676
heat,links,decentral heat pump,217798.02919282793,214022.55238731683,217852.69593142773,240579.88783836193,254582.07381844168,235885.14485028462,203571.68990347447,217798.02919282793,214013.91209216614,213777.98593779907,285682.010089477,305897.4371931194,276279.1688354857,230416.28944841705
heat,links,decentral resistive heater,56167.62169062631,62779.9002372743,112722.83928180276,100410.3397880777,98108.78196376789,94306.25917742548,77916.4420607932,56167.62169062631,61525.796198149445,107761.65840288375,119234.12561217847,104538.93899543237,71692.12904444907,35658.903315218326
heat,links,water tanks charger,-1056.4932271356,-43618.557610503725,-57485.71350458649,-163973.85052530497,-186827.431463894,-177503.818306694,-28476.156783236802,-1056.4932271356,-4596.274553771198,-67934.2200391163,-205720.149482611,-13750.1055758863,-56849.373180842,-52668.14140505842
heat,links,water tanks discharger,833.69648848869,35273.24200073296,46509.8611637323,132812.5723530102,151315.215616647,143764.12859407923,22956.383098345494,833.69648848869,3674.9951092238757,54987.83914209425,166599.1632557394,11048.286677892298,45964.22195148723,42607.28606305978
heat,loads,heat,-767579.1097340513,-685778.121925873,-603977.1341176942,-522176.1463095157,-440375.1585013371,-358574.1706931585,-276773.1828849801,-767579.1097340513,-685778.121925873,-603977.1341176942,-522176.1463095157,-440375.1585013371,-358574.1706931585,-276773.1828849801
urban heat,links,central biomass CHP heat,24.32770758642432,31.406341700295123,48.61631371473241,47.43821219253168,77.47455888781128,3904.1233206693123,3910.076162548299,24.32770758642432,33.04417664846064,45.01843067402617,100.0976886207979,494.98267715832935,494.1612354630432,493.9962855367582
urban heat,links,central biomass HOP,29.223265984494002,36.43919446199299,48.98831965868001,41.55340995395999,61.89820890965,139.77086531077998,145.22342083952998,29.223265984494002,35.884221000404004,45.07536504508,51.47330536080001,108.91842083509,108.24762937625,108.1092628048
urban heat,links,central gas CHP heat,14944.359946569457,65210.33739204308,107715.99204750902,107721.232884291,107738.51649617859,107748.30087399088,107754.96607678979,14944.359946569457,68095.79150337157,108099.14401791502,108102.25870730895,108118.85439585897,108118.85510128776,108120.10270102907
urban heat,links,central gas boiler,257027.87651630945,253382.98023023846,221227.08907766602,160332.5630542701,117979.71169146142,103196.07358474027,68413.58592038632,257027.87651630945,261153.93054674647,237846.3941791852,161870.21523371167,36610.98778345608,83485.93426995797,94465.61424940522
urban heat,links,central heat pump,127418.50626881614,115199.76302257545,153090.72792183308,282445.1393167185,437002.90762495325,595247.5953147227,700144.0981352166,127418.50626881614,106905.19085966294,125364.15829941472,366499.904928938,559758.4418192356,625589.9557876341,680808.0132961905
urban heat,links,central resistive heater,12788.93835972086,45954.14258775247,86663.61258424164,157750.61487879016,196215.40493603668,233780.04633937922,236118.01898054837,12788.93835972086,35423.377553754544,66872.73197187326,210329.58407053602,252719.58905060965,252719.08439644313,252719.47832256005
urban heat,links,central water tanks charger,-71880.94927576311,-127861.90486412807,-206447.00369428296,-392589.998935914,-553061.131071331,-690021.2589132198,-708300.99758331,-71880.94927576311,-107604.29618623809,-179261.76733594495,-540206.416922893,-604622.9621604839,-687427.02663179,-727219.0598579801
urban heat,links,central water tanks discharger,90806.68947693771,144416.40353283158,208877.37342511406,366668.7086708235,500852.1455865864,592247.7526061431,601128.335032578,90806.68947693771,137755.95217778132,204938.95303898907,456703.3985357809,471215.1758818708,545119.5462406741,603094.540225383
