scenario,,,go,go,go,go,go,go,go,wait,wait,wait,wait,wait,wait,wait
line_volume_limit,,,opt,opt,opt,opt,opt,opt,opt,opt,opt,opt,opt,opt,opt,opt
year,,,2020,2025,2030,2035,2040,2045,2050,2020,2025,2030,2035,2040,2045,2050
cooling,links,cooling pump,70498189.71532816,70498189.71532816,70498189.71532816,70498189.71532816,70498189.71532816,70498189.71532816,70498189.71532816,70498189.71532816,70498189.71532816,70498189.71532816,70498189.71532816,70498189.71532816,70498189.71532816,70498189.71532816
cooling,loads,cooling,-70498189.71532698,-70498189.71532698,-70498189.71532698,-70498189.71532698,-70498189.71532698,-70498189.71532698,-70498189.71532698,-70498189.71532698,-70498189.71532698,-70498189.71532698,-70498189.71532698,-70498189.71532698,-70498189.71532698,-70498189.71532698
electricity,generators,offwind,80977750.18323138,80030794.12530364,380265568.6598728,584444860.9384574,754679648.8289928,844158259.2331281,890830557.1063184,80977750.18323138,80530907.90886694,353869347.9639254,878742929.8535587,1232633593.4809375,1221643181.860274,1223482447.5753853
electricity,generators,onwind,358571228.1798609,681349991.002981,979524209.300536,1215872269.288567,1286206944.9250512,1282607837.2241206,1381539186.199854,358571228.1798609,503834946.99996066,850357366.9400342,1353568128.5710688,1443039661.189749,1382945034.2887392,1383012596.7774143
electricity,generators,ror,157824122.8822409,157815379.5933466,157749750.40259108,157510302.11058268,157061067.9500738,156868068.0856757,157674391.40407464,157824122.8822409,157838781.42262727,157737503.18682212,157524349.45823798,157781497.57557678,157741865.31856146,157707901.73461488
electricity,generators,solar,130715054.99659705,342423011.38039255,711088775.3840244,1168195017.411317,1406241015.1822002,1548672047.6400132,1847532972.6717436,130715054.99659705,265498990.8566386,660727360.6278877,1218127251.7688315,1467762931.6905975,1519483938.872317,1535589615.2287953
electricity,links,CCGT,746882331.4819405,801257273.6385808,422990086.953793,107841724.52924027,9242725.160978854,835556.0586514206,218958.77737871674,746882331.4819405,788733501.1122758,445787024.9578515,32077073.38514455,2466752.777134476,620094.0149540621,626848.4763480446
electricity,links,H2 Electrolysis,-465436.6173777911,-413591.90172477596,-218058.26021237244,-504946.3277847514,-634090.7943555028,-1531318.3019028688,-345910067.0570978,-465436.6173777911,-391213.92355524923,-272381.1887957034,-672722.0513381816,-396308614.8411296,-382831285.8853739,-379809806.23162246
electricity,links,H2 Fuel Cell,113873.53616964944,104238.12175099179,67611.22305663225,133821.64549261637,129708.09471887056,116019.93692652289,41495.448051871164,113873.53616964944,99579.08169513808,74680.8301388392,134729.96093469404,39570.18192164487,59118.603743867825,60297.12719342838
electricity,links,OCGT,335296.13859557564,492635.3526828333,1162269.7714799761,317564.8116205299,118169.5586817202,66586.54240513824,7290.894792152869,335296.13859557564,566162.2778104332,410339.3102633185,173400.60976803122,1541.6281070143598,35197.04601563884,40905.09511714197
electricity,links,battery charger,-1818704.4302853032,-1585093.3938378124,-34890052.98168706,-360703208.4353831,-563000182.1357646,-622675661.5496777,-769337218.9859728,-1818704.4302853032,-1504663.9432343997,-13181299.052178858,-445284510.016074,-561820888.9732716,-582107855.5706725,-587176723.5293996
electricity,links,battery discharger,1641410.4427405482,1445719.3591743244,32154678.650110517,332424126.2634569,518861112.76271725,573857973.4116328,709021189.8472472,1641410.4427405482,1372337.187981173,12147892.97417714,410374210.3828314,517774140.19143647,536470604.5376848,541142074.7559898
electricity,links,biomass EOP,22039.65840140616,26115.355662937825,14218.279599278643,30517.54628123991,72888.32270233486,73788.69825705978,48175.889903596646,22039.65840140616,14132.80121558353,16914.650242791216,25380.863116935543,52599.984382649185,40260.929218178804,33078.152161591344
electricity,links,central biomass CHP electric,109542.5744858901,123405.10503018842,241189.66819953246,247952.27173825246,424427.1284877017,14670137.183173735,13370018.606918424,109542.5744858901,76315.84868457796,164919.52640220372,454820.4800674073,1798258.6499117536,1685531.8961452248,1662929.1560358452
electricity,links,central gas CHP electric,84823722.87277247,328199053.5788709,463808876.1024314,245882014.92699122,129891888.96379246,60327760.78350196,35623801.674355865,84823722.87277247,359989955.75273913,499543599.2828393,112274083.28425294,32433167.57040119,44475801.1839689,45879947.53432172
electricity,links,central heat pump,-164940842.86593103,-152189576.1063421,-196802791.77190545,-382334453.1878076,-554863725.9199418,-706410805.7790644,-833830145.1262888,-164940842.86593103,-143652622.96478328,-164421073.92204484,-479552492.75268334,-655835534.7760502,-740491676.9147421,-819889179.5695614
electricity,links,central resistive heater,-1645984.1547778654,-10163093.038061218,-83727126.00875272,-184472855.40643406,-222068406.11940143,-247631767.74881434,-240032036.44253004,-1645984.1547778654,-5043050.299328289,-56267007.51715963,-250360555.93361872,-266039073.52999258,-250839484.19817054,-255485294.15148482
electricity,links,coal,553143923.5475065,165676572.83577064,5364086.422108268,3742784.8577440297,39526.057502116026,14137.417363941979,838.1420195502958,553143923.5475065,377007733.83408904,14128074.962192336,41680.97552840365,919.3861853077235,2794.042960278435,3553.2075020999555
electricity,links,cooling pump,-23499396.571776092,-23499396.571776092,-23499396.571776092,-23499396.571776092,-23499396.571776092,-23499396.571776092,-23499396.571776092,-23499396.571776092,-23499396.571776092,-23499396.571776092,-23499396.571776092,-23499396.571776092,-23499396.571776092,-23499396.571776092
electricity,links,decentral heat pump,-311698507.9265624,-294079940.84793335,-302121173.7184354,-328278201.3764005,-336025916.03099316,-307102365.25142527,-251568369.49021342,-311698507.9265624,-292424957.72626495,-293728924.25913316,-396034500.1102496,-401685505.267229,-342920600.9459612,-266061588.70518538
electricity,links,decentral resistive heater,-5891602.470660899,-10698074.933595186,-55174038.11375186,-59909459.81021531,-59522503.89833706,-38516884.9109517,-19617785.481002264,-5891602.470660899,-6968480.948925738,-38608598.666245036,-79130855.07656606,-46916959.5253321,-9115728.723524513,-4089332.596899167
electricity,links,lignite,226563758.60482705,171258017.56914726,6846209.806880656,994752.6465661697,27206.890396292776,12131.061488312182,710.040122167116,226563758.60482705,173937473.82580444,57570297.87949611,30392.446379404493,440.1299846478037,2384.337628275365,3074.296197027915
electricity,links,nuclear,705635840.139334,301124006.1730128,88828401.90187006,77503094.63417399,49879660.714751504,17814776.721939366,202939.30612010005,705635840.139334,302019145.66526234,89902341.03821672,65627605.87565146,50495345.61450201,20131717.33575349,180588.12262253818
electricity,links,oil,109284.452524874,65310.42100941228,15077.583061821219,36104.16551549388,22492.429927833688,13370.431372439201,826.9412172009005,109284.452524874,63240.000933405136,43283.86921022571,26769.07837716973,546.3431670485817,2568.8400101126244,3067.365821566806
electricity,links,transmission lines,-142192412.57109654,-194207745.9741324,-21676494.224403672,-190807961.27486306,-174270014.600088,-129540882.42468761,-48028916.245566905,-142192412.57109654,-239620271.89486825,-50813218.6697179,-242928378.5326309,-182423065.829978,-179853720.7108783,-153371535.48748928
electricity,loads,electricity,-2851391291.3077254,-2851391291.3077254,-2851391291.3077254,-2851391291.3077254,-2851391291.3077254,-2851391291.3077254,-2851391291.3077254,-2851391291.3077254,-2851391291.3077254,-2851391291.3077254,-2851391291.3077254,-2851391291.3077254,-2851391291.3077254,-2851391291.3077254
electricity,storage_units,PHS,-2226484.492880667,-3479918.1422307855,-18432212.661030572,-20187068.09487622,-17965532.724988583,-17407974.294413973,-17063118.5089257,-2226484.492880667,-2830756.820676806,-17239808.765325334,-19402110.158042744,-18925164.597728994,-18281627.328658618,-18161832.00173237
electricity,storage_units,hydro,316111233.8316606,316111281.49422,316135661.87623084,316108484.4907838,316085843.6962463,316066710.9960599,316136889.93751216,316111233.8316606,316123913.35314906,316129541.1402906,316126170.9506748,316142279.9537984,316139299.50439864,316136105.4671502
heat,links,decentral gas boiler,1445887655.963837,1231497396.9861596,898240590.4805299,549694806.3094386,267869588.24398404,121580963.08112223,42047286.402852245,1445887655.963837,1239413403.2324069,941573338.4170452,322810982.5346123,74259760.93320474,34426442.29526187,15931053.552856125
heat,links,decentral heat pump,1019003085.5076345,960179402.8014436,986291306.3351829,1070888887.5176315,1086967907.1483507,984779297.7793146,798578628.8560381,1019003085.5076345,955484241.3183278,958161400.7317978,1280874840.1206644,1278274032.9306967,1085337899.5030074,839439862.1030825
heat,links,decentral resistive heater,5302442.223594814,9628267.440235663,49656634.30237663,53918513.82919382,53570253.50850337,34665196.41985644,17656006.932902012,5302442.223594814,6271632.854033161,34747738.799620636,71217769.56890947,42225263.57279878,8204155.851172056,3680399.3372092564
heat,links,water tanks charger,-4665304.815540093,-4378160.681553136,-13461735.2857471,-61547268.24047759,-75909084.07577488,-83599876.64949429,-10483025.726471955,-4665304.815540093,-3680072.164967025,-14994559.191444332,-63693398.84873079,-4212157.284381704,-14952845.246513272,-14517512.815907946
heat,links,water tanks discharger,3755839.6230794974,3522761.929836068,10884380.311980994,49827139.1547587,61461413.65063772,67691122.69421053,8472550.668820236,3755839.6230794974,2957239.6443543853,12123522.516351929,51565965.53176621,3394627.820594051,12090285.361088952,11737306.465729298
heat,loads,heat,-2469280453.3272166,-2200445418.018686,-1931610382.7101903,-1662775347.401672,-1393940312.0931556,-1125105276.784636,-856270241.4761208,-2469280453.3272166,-2200445418.018686,-1931610382.7101903,-1662775347.401672,-1393940312.0931556,-1125105276.784636,-856270241.4761208
urban heat,links,central biomass CHP heat,81421.57472438268,92405.00295024771,242640.5528987646,195629.23860133946,354503.83910822874,17024717.703346312,15768835.886068083,81421.57472438268,60628.93742247006,159241.63576457804,414572.70634967025,2092138.8347565024,1966787.7647368195,1960969.7617516147
urban heat,links,central biomass HOP,64789.48141472439,87100.62184336242,141918.37131876193,131379.21515486692,281515.42907587776,601721.0888657288,475624.7701939123,64789.48141472439,46865.334409590076,90707.46375221648,153686.42446809117,390756.55424521444,368854.5758612638,351260.9207569753
urban heat,links,central gas CHP heat,109184075.40757763,432634283.05382603,512494402.9086488,319235405.3518703,168208428.4930046,76967002.64319497,45508246.055895105,109184075.40757763,458260656.19385517,580408180.9213643,145951015.29736263,40402181.844070755,55983547.44866955,57908495.85435136
urban heat,links,central gas boiler,508376338.9676912,488718095.2023965,458351415.40295213,276224644.92384356,170441426.80207598,79600742.37679866,32119457.447452784,508376338.9676912,496984450.74469155,516785455.3340624,136340155.05225128,28128269.82010722,34345059.64004149,48101077.65960033
urban heat,links,central heat pump,479110544.9172924,440808227.4181391,605437923.2336221,1205809714.5491056,1780906819.8062444,2260151676.3889585,2665255058.737506,479110544.9172924,414916484.181234,502034869.8868192,1516984880.7607303,2070949000.1563876,2347068432.2821674,2606494907.3060145
urban heat,links,central resistive heater,1612348.836315159,9820186.799492419,81689425.16366267,181258040.8829517,217738490.7640444,243407164.35132053,235273035.98153195,1612348.836315159,4860039.265978056,54609882.79166802,246164213.1187862,262092176.93965912,247293934.39039108,251903028.83678865
urban heat,links,central water tanks charger,-26604310.59659232,-49768178.56066201,-131751144.4762287,-373568062.20781696,-660650876.516069,-885319714.8032756,-972102305.6726103,-26604310.59659232,-64938924.84294855,-111624929.32713322,-586374213.6092552,-833654245.4193505,-883694337.7481848,-928135015.1434468
