scenario,,,go,go,go,go,go,go,go,wait,wait,wait,wait,wait,wait,wait
line_volume_limit,,,opt,opt,opt,opt,opt,opt,opt,opt,opt,opt,opt,opt,opt,opt
year,,,2020,2025,2030,2035,2040,2045,2050,2020,2025,2030,2035,2040,2045,2050
generators,capital,offwind,3680776041.791963,3454385420.368791,5350975602.955217,13649749750.289783,22112766981.85736,27843017025.843258,27795986880.962437,3680776041.791963,3455335836.0609,3223154344.346552,26925857875.87139,35446382434.701126,33461597416.95553,32777657939.569702
generators,capital,onwind,23595965719.923977,39260236253.05834,51108437334.62814,59243197056.828156,59254409269.052864,60972014124.37248,64725230315.010704,23595965719.923977,30654153896.45487,48486026711.13239,66214383700.384315,72931531722.97931,69370557549.12312,68707052222.959755
generators,capital,ror,4394961172.33428,4394961172.33428,4394961172.33428,4394961172.33428,4394961172.33428,4394961172.33428,4394961172.33428,4394961172.33428,4394961172.33428,4394961172.33428,4394961172.33428,4394961172.33428,4394961172.33428,4394961172.33428
generators,capital,solar,161379346.89646292,5753328934.122268,20317198353.036232,28919236478.661366,35156588284.1146,36758991263.13965,39381173525.63105,161379346.89646292,2068138016.174359,17707562090.934753,31758410496.723053,36225008714.24824,34726971523.87845,31174274103.85064
generators,marginal,offwind,158089057.26705772,146620448.57968816,249925403.56985945,643422794.0908514,943104323.7999195,1077950049.0642862,1163964673.839553,158089057.26705772,148232540.64657116,135007287.70492715,1166811778.4417763,1518675924.5841253,1442612147.8508513,1413097543.6557279
generators,marginal,onwind,814587675.04735,1462488372.7854447,1968433005.260502,2391938795.5523643,2355493937.826703,2398255477.741953,2610957622.6249776,814587675.04735,1108057613.9585328,1864189096.5773456,2609789284.5252967,2957896969.32086,2846264061.834203,2812569381.1730404
generators,marginal,ror,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
generators,marginal,solar,32130.212117898544,1413964.0611161906,5435260.486387052,8766012.439402392,11863081.698640984,13457893.480874764,16015766.84742917,32130.212117898544,527053.8054356,4822830.570610287,9779015.851781659,12352636.558873195,12895483.105895977,12954049.5939173
links,capital,CCGT,15773273536.22558,12705900424.6158,8845455730.90999,4158645090.7465467,627105442.4017161,318552621.97425383,317464211.93710613,15773273536.22558,12706109072.602354,8724017143.028116,4036593700.4148207,504481446.1069611,195674634.0516439,195057394.3562425
links,capital,H2 Electrolysis,12016662.310763542,12536195.813716587,12065441.104577353,13673001.567929357,15752269.304906173,39772196.217339434,5158041939.896402,12016662.310763542,11821567.626324678,13000227.351527425,17484784.917542458,5702880723.973557,5567150302.381738,5431394275.9703245
links,capital,H2 Fuel Cell,9584214.919202818,9363639.993610635,8659200.374240484,8262348.648110347,8080357.122858697,8280990.453677394,7760445.865137305,9584214.919202818,9136117.71852522,9272960.413279396,9142495.925415311,9034930.868514344,9213964.175689222,8930767.599245658
links,capital,OCGT,197420158.35167715,196874466.5060591,74631686.7385036,25964956.65375852,11373436.166579904,11532995.110823976,11516824.598876074,197420158.35167715,196221901.82349187,74825580.13190877,25643579.774715036,11095691.570795242,11128835.838884164,11136462.086285045
links,capital,Sabatier,9136603.32547281,9809659.271898363,9874008.602603713,10559090.298885815,11613030.71194323,37838302.7052014,5422452169.793998,9136603.32547281,9388005.521186419,10211042.395297756,10867311.098146826,5038717700.067964,5053481338.228446,5068876557.473498
links,capital,battery charger,18546235.942769554,10865228.577028142,152180132.99234292,1367503846.6031983,1973498363.8246045,1863574153.5403419,1770724062.8284998,18546235.942769554,14075135.27942189,62522237.946250506,1901076837.7347257,1991480592.8670735,1727829103.979174,1350648013.9414215
links,capital,battery discharger,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
links,capital,central gas CHP electric,679132558.4336482,3132674014.448175,7483794537.853906,7372829529.276094,7260086717.216264,7147887039.169921,7034867743.316873,679132558.4336482,3945949547.8265643,7276641810.842222,7167593079.577243,7061046005.4792185,6951330107.754172,6841988004.376151
links,capital,central gas CHP heat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
links,capital,central gas boiler,2085874445.5932581,1693924917.847633,1590281874.4881537,1579033459.8287675,1306423644.201047,1280839984.1460612,1254958297.1523404,2085874445.5932581,1705131817.421217,1710033272.6809273,1466764312.9099004,1000575206.2944332,1012516569.4389284,1092480232.3534174
links,capital,central heat pump,6314397395.798368,5318611869.962965,6007353907.45438,12040426215.286451,19269884906.30723,26653592203.199413,31729088344.37109,6314397395.798368,4639358748.061838,5041249779.67499,15979682114.18743,24957619109.14238,28023423909.353355,31012354375.87422
links,capital,central resistive heater,320113317.5312582,334286687.33524746,648825160.302808,1096065402.9291673,1362738443.123352,1670418538.5530791,1696438064.8377872,320113317.5312582,245532991.40446645,519250569.915199,1362516122.314768,1706915663.4746687,1803887133.9289598,1863387501.6318219
links,capital,central water tanks charger,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
links,capital,central water tanks discharger,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
links,capital,coal,22793764012.711845,17097588109.67802,13033008021.600113,9552578906.614296,7770910369.273645,6648682915.839666,4549525151.421249,22793764012.711845,17098537777.062513,13036130544.754091,9555061811.94446,7773243824.470737,6650945320.481047,4552096672.954287
links,capital,cooling pump,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
links,capital,decentral gas boiler,20362154494.865097,15361280701.216413,10604240619.015627,6351716117.006328,3292873787.5647893,3218892284.8848386,3144316661.585518,20362154494.865097,15361053355.230501,10619008707.760197,5885547859.860921,2264534350.854938,2213862562.253521,2162545734.8879623
links,capital,decentral heat pump,51879382215.67044,50145609148.50528,49444311968.70441,51420053508.17759,51800929642.9659,50604197490.251625,49135769154.92595,51879382215.67044,50146969940.63496,48988713625.125496,56372422235.48558,59985986217.734024,57679169349.32093,55381334814.92181
links,capital,decentral resistive heater,1987055689.5620618,1679929115.9164479,1755431408.8846405,1425460365.075998,1108155135.994647,1108396975.6805792,1108515640.71658,1987055689.5620618,1680153239.3468008,1733962433.5950875,1429801043.5818355,1108134109.300368,1108225809.5508564,1108264561.1487875
links,capital,lignite,9061652207.486841,7060945814.478443,5664768283.392271,5175288012.29027,1175850768.5372763,1074823383.4748154,1045630825.4576337,9061652207.486841,7062844650.622993,5667433355.493565,5174130221.640311,1174285408.176718,1073226729.2399323,1044006232.5081666
links,capital,nuclear,63272328309.432724,23932910633.476433,4501905291.406293,4505673234.566727,2730672898.614382,540626019.2686716,27393378.31580413,63272328309.432724,23934104114.543972,4506061857.564461,4508294571.91898,2732891494.5945964,542319536.2074773,28445505.186247822
links,capital,oil,226945227.6902495,215317841.04189166,201917169.44565576,111666081.32151246,66598714.677413166,33311230.900923427,33137277.562784158,226945227.6902495,188396017.76798815,175771037.69760436,85186980.1777505,40399579.550783314,7230526.469421528,7230232.208849275
links,capital,transmission lines,6840020700.764943,7232216459.260591,7624412217.75624,15237962274.794012,19063933081.478165,22698416029.00001,23106266851.54211,6840020700.764943,7232216459.260591,7624412217.75624,20679678523.73219,25875664190.018105,25931351881.966915,25949056529.57956
links,capital,water tanks charger,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
links,capital,water tanks discharger,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
links,marginal,CCGT,3176928286.4577727,3490067714.7168336,2088433500.202013,757139560.9371254,58405269.751016654,4832863.191605487,2189583.837271856,3176928286.4577727,3484192748.843022,2150753968.138388,267734501.16965377,7974281.271280181,2205749.7635600804,2001076.1913628804
links,marginal,H2 Electrolysis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
links,marginal,H2 Fuel Cell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
links,marginal,OCGT,1284552.0593099734,2960189.087471868,6052716.82419175,1155282.8061332211,573282.2622377754,359779.02567895525,206235.51606706803,1284552.0593099734,3599867.3153480906,2630260.9852341595,641085.2710441442,194360.95292443715,251002.12317051654,302950.1198106505
links,marginal,Sabatier,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
links,marginal,battery charger,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
links,marginal,battery discharger,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
links,marginal,central gas CHP electric,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
links,marginal,central gas CHP heat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
links,marginal,central gas boiler,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
links,marginal,central heat pump,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
links,marginal,central resistive heater,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
links,marginal,central water tanks charger,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
links,marginal,central water tanks discharger,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
links,marginal,coal,1893947842.8289955,834406522.7409904,18839712.9030402,2302819.5780742876,119794.75614245117,83106.90128298111,61922.53770527206,1893947842.8289955,1400550994.5559933,51688691.74355778,135067.83036555463,59541.852689613865,74879.91143093035,81625.82351907002
links,marginal,cooling pump,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
links,marginal,decentral gas boiler,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
links,marginal,decentral heat pump,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
links,marginal,decentral resistive heater,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
links,marginal,lignite,792982894.5090759,590900019.5353259,27126855.0251709,249442.78219804037,104108.46644498424,73162.39018422586,53649.08087420198,792982894.5090759,618093954.4799063,232838626.78396803,111354.17227227656,50398.09050354247,65218.93839992386,71742.67292969146
links,marginal,nuclear,2740976329.169143,1023650101.497591,185609648.58188072,176171447.32930037,89661326.43722673,15209821.323812077,812931.1161852313,2740976329.169143,1036006903.3297273,188481808.23872787,148116778.34490326,86533530.66992566,16563343.386423014,872300.1183884973
