scenario,,go,go,go,go,go,go,go,wait,wait,wait,wait,wait,wait,wait
line_volume_limit,,opt,opt,opt,opt,opt,opt,opt,opt,opt,opt,opt,opt,opt,opt
year,,2020,2025,2030,2035,2040,2045,2050,2020,2025,2030,2035,2040,2045,2050
generators,offwind,53276945.710072465,52012586.17673478,93584818.49650706,250969074.76116064,383854740.9738528,443559867.0513431,484275268.54771423,53276945.710072465,52584464.645023696,50553614.538986504,455118586.325073,618119267.3421985,593612712.4469525,587928661.2544776
generators,onwind,543058450.0315666,1026307630.0248736,1458098522.415187,1845631786.691639,1896532961.2131262,1952181911.063861,2148936314.9176774,543058450.0315666,777584290.4972163,1380880812.279515,2013726299.788036,2381559556.61905,2316861263.194305,2314871918.6609383
generators,ror,157834294.88273308,157834122.79099104,157811153.5734081,157521971.27989146,156972222.7504841,157024369.38095683,156957380.88243908,157834294.88273308,157821873.25333753,157718053.8207938,157308016.19684598,157274907.76846755,157315337.5060117,157358460.86289904
generators,solar,3213021.2117898553,141396406.11161906,543526048.6387054,876601243.9402392,1186308169.864099,1345789348.0874763,1601576684.7429168,3213021.2117898553,52705380.54356001,482283057.06102854,977901585.1781666,1235263655.887319,1289548310.5895972,1295404959.3917305
links,CCGT,-501749074.5176005,-541095769.7235403,-317911422.7473788,-114212452.13470191,-8730921.520608341,-715979.7320896941,-321486.5157899182,-501749074.5176005,-540184922.301243,-327398145.0327753,-40387024.37077746,-1192064.0767452507,-326777.7427496431,-293808.80587470677
links,H2 Electrolysis,-190045.10257749137,-146300.74060535067,-56895.81943044236,-169019.5011650771,-246676.11324079413,-807014.1603224387,-117379751.37197861,-190045.10257749137,-174935.4586253902,-164146.85863105537,-254284.88942904217,-126454469.0605172,-119048456.77765967,-115214603.28095824
links,H2 Fuel Cell,-83598.93663141235,-66358.05398893903,-36243.933092891646,-83260.46603108555,-96074.68408890173,-107777.10083676453,-101384.13929283991,-83598.93663141235,-81241.81438692354,-75674.56189307022,-103189.1121705487,-97226.21752942231,-117847.55357004011,-124142.05176847712
links,OCGT,-394201.1610580871,-889991.4903510191,-1782970.8474363293,-333453.27482261555,-162140.43780462333,-99714.03707956072,-56014.58461080859,-394201.1610580871,-1082313.0490589025,-774805.5615418468,-185038.66060788825,-54970.77456448727,-69566.13151542409,-82282.74859054698
links,Sabatier,-66055.11787307804,-54614.872203392115,-14995.166540704104,-69349.1676092345,-128694.3176548204,-611780.8216964249,-105408277.43645775,-66055.11787307804,-63854.238997932036,-66383.99317089427,-121516.89808403268,-105216632.98924662,-102861541.86391547,-103444292.95378661
links,battery charger,-100180.9448543486,-62951.97937141844,-604757.5261278735,-9720454.794185549,-18988988.98816282,-22062174.640307974,-27142627.04653751,-100180.9448543486,-86463.75848060066,-211763.38663930015,-13633976.897660324,-19571107.53153016,-20119422.75015048,-20137990.1486505
links,battery discharger,-95172.40868268193,-60120.73709173499,-580567.2509639142,-9331637.762056148,-18229429.897767473,-21179687.894145243,-26056922.116820913,-95172.40868268193,-82575.19403016588,-203292.95483184647,-13088618.137922151,-18788263.600590385,-19314646.081501007,-19332470.827110324
links,central gas CHP electric,-59110402.036748484,-238887288.67711967,-540745622.9371662,-280923925.4886816,-170501623.29722607,-77087660.96064588,-39173872.77719041,-59110402.036748484,-362192367.5565312,-562124954.0529734,-128138243.49018002,-28625800.206404213,-42810961.3182314,-46295404.32449721
links,central gas CHP heat,44932617.15469835,186594247.9282094,358231737.1120114,219445870.80997568,133422791.82404587,59419911.45716741,31141756.26070201,44932617.15469835,265773156.57745144,385464772.47660434,100950786.10428505,22662031.391966667,33574041.176130205,35410316.328278914
links,central gas boiler,-666632.1547904778,-1082113.566328677,-1881263.1335101165,-2236827.122399843,-1574590.4971291912,-803696.9200904917,-321051.626417703,-666632.1547904778,-1304857.989097918,-1988334.2596575879,-1343158.4797070615,-349582.7954456167,-404855.4975168152,-402975.40883434715
links,central heat pump,236152980.63938686,283928649.3074285,347530771.4003028,745303971.4937192,1175348233.0033114,1561107682.552789,1863492932.1252203,236152980.63938686,205495109.97373176,297244041.8525451,964200008.0840657,1356935434.9683006,1570537467.9606953,1792588012.0534422
links,central resistive heater,-44443.87496915892,-405732.32944117323,-1562582.8680547527,-2998463.015762058,-3858522.459717528,-4201342.686431727,-4848556.255616658,-44443.87496915892,-209506.90547584192,-1309517.573575952,-3522678.6374635147,-4435422.353388081,-4571649.2153752595,-4885471.8742939755
links,central water tanks charger,-3146795.0696513006,-6164188.615145163,-15037345.625016857,-39647550.197807096,-71773110.82391061,-109923335.4216763,-124342818.46551616,-3146795.0696513006,-7394651.881815769,-13203534.260493724,-59157597.11150735,-100622170.1040128,-100899187.81527036,-106968333.32820699
links,central water tanks discharger,-2779967.86959893,-5414284.53323098,-13131653.61329858,-34316158.440970585,-60350507.308760986,-90228183.2580518,-99487791.83236368,-2779967.86959893,-6525035.491905025,-11573291.616748784,-49915780.45944558,-80372880.47059193,-80765727.47105557,-86144851.19396193
links,coal,-1098653727.0090282,-484028026.1787559,-10928664.62773759,-1335834.7336015308,-69491.33040298034,-48209.19814683754,-35920.43312773357,-1098653727.0090282,-812440836.6688448,-29983916.42266985,-78351.03579646887,-34539.42969873701,-43436.8317391544,-47350.04481192808
links,cooling pump,46998793.14355204,46998793.14355204,46998793.14355204,46998793.14355204,46998793.14355204,46998793.14355204,46998793.14355204,46998793.14355204,46998793.14355204,46998793.14355204,46998793.14355204,46998793.14355204,46998793.14355204,46998793.14355204
links,decentral gas boiler,-44766295.23549922,-31573810.110511042,-18014520.81893434,-8987121.060506174,-3886722.304723426,-1486174.9614872138,-363722.9751810687,-44766295.23549922,-31742134.114239916,-18889874.097836133,-5412087.878853874,-997001.734706421,-302297.62864120293,-96226.36500437897
links,decentral heat pump,902787047.0588183,828513720.6166352,812242635.4452763,866607058.9628946,854527845.0843893,756636381.9833452,602206091.5561196,902787047.0588183,827782238.5183071,791501639.815947,1009470015.2070161,982373190.487334,801733339.6610299,605538752.6365544
links,decentral resistive heater,-1202909.7116213506,-1754287.2644527394,-7947333.329501607,-7286398.520298832,-6556924.177254624,-4508760.026933129,-2759147.5537947253,-1202909.7116213506,-1185807.3594243596,-6943292.291763808,-8232013.704022783,-4706326.99912179,-1722888.699777332,-984063.9978727389
links,lignite,-459998735.34292746,-342773171.50534093,-15735924.560055848,-144698.41045254283,-60391.92425812941,-42440.52071292755,-31121.111849104167,-459998735.34292746,-358548008.2264391,-135066562.72316748,-64595.060971796804,-29235.255963093896,-37832.630933289176,-41616.96178605478
links,nuclear,-1590003584.885997,-593805686.5830188,-107669666.27693515,-102194692.39015694,-52011332.218997374,-8823013.23545809,-471570.431033857,-1590003584.885997,-600973701.4986293,-109335767.54973818,-85920555.40353695,-50196939.86913423,-9608173.219829815,-506009.59248510224
links,oil,-196327.9409999646,-105638.78825606426,-27741.310270497306,-68164.3711568534,-43542.78850309373,-39052.43710016736,-31851.26793510941,-196327.9409999646,-127893.8849942317,-93973.7478052715,-50440.75527161848,-31268.56640947805,-37391.06797920113,-38951.28408807061
links,transmission lines,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
links,water tanks charger,-583050.3913008203,-332843.50990180206,-820469.881312932,-7084991.950705668,-30159688.04618407,-41167819.06633148,-40488133.92534186,-583050.3913008203,-467120.7159365161,-2918631.951348341,-16104003.946699653,-24056606.948996156,-18328174.304330856,-23509828.32210279
links,water tanks discharger,-521829.9171303522,-296689.81085887563,-736468.4744801996,-6373309.467590948,-27140532.214624383,-37047714.52343803,-36435991.82410272,-521829.9171303522,-417423.1126148242,-2623685.5022224886,-14490344.248050045,-21647535.680178437,-16491977.8927751,-21155428.57151017
loads,cooling,-70498189.71532698,-70498189.71532698,-70498189.71532698,-70498189.71532698,-70498189.71532698,-70498189.71532698,-70498189.71532698,-70498189.71532698,-70498189.71532698,-70498189.71532698,-70498189.71532698,-70498189.71532698,-70498189.71532698,-70498189.71532698
loads,electricity,-2851391291.3077254,-2851391291.3077254,-2851391291.3077254,-2851391291.3077254,-2851391291.3077254,-2851391291.3077254,-2851391291.3077254,-2851391291.3077254,-2851391291.3077254,-2851391291.3077254,-2851391291.3077254,-2851391291.3077254,-2851391291.3077254,-2851391291.3077254
loads,heat,-2755238347.9969754,-2438743663.576817,-2122248979.1566947,-1805754294.7365522,-1489259610.3164096,-1172764925.896263,-856270241.4761208,-2755238347.9969754,-2438743663.576817,-2122248979.1566947,-1805754294.7365522,-1489259610.3164096,-1172764925.896263,-856270241.4761208
loads,urban heat,-807041984.6618124,-1123536669.0819533,-1440031353.5020974,-1756526037.9222348,-2073020722.342377,-2389515406.762526,-2706010091.1826572,-807041984.6618124,-1123536669.0819533,-1440031353.5020974,-1756526037.9222348,-2073020722.342377,-2389515406.762526,-2706010091.1826572
storage_units,PHS,-2175337.341583188,-4049577.7474397006,-15905510.088399753,-17914528.986887977,-17567467.08879483,-17947343.777721148,-18616343.048456673,-2175337.341583188,-3358469.8277658476,-14740531.301542554,-18377363.216984324,-18575779.079746984,-17999228.751143422,-17667479.926448457
storage_units,hydro,316114969.316448,316120625.8841065,316141754.83877105,316111550.051025,316094838.4217971,316098016.0631101,316096386.1364657,316114969.316448,316110229.2224449,316119107.58527905,316116082.8311837,316119379.49484396,316120691.7025819,316121038.25065887
stores,H2 Store tank,-4.0475681606279984e-10,5.284490033063971e-10,5.305313644995979e-10,7.210654399958383e-10,1.184253447042427e-09,1.2122639003742108e-10,5.32019574575604e-09,-4.0475681606279984e-10,5.234383239349771e-10,7.683585746820487e-10,-1.3492633490520822e-09,-3.023463146512029e-10,2.501380685915322e-09,-2.818361502510136e-09
stores,H2 Store underground,2.1896809365706815e-10,1.932480148125748e-10,3.5277310673348383e-10,-6.601505592174206e-10,7.511867794463001e-10,-4.7984638484877e-10,-8.560227158227462e-07,2.1896809365706815e-10,2.8033922405690248e-11,-2.6753819992730854e-10,-9.202749673420385e-12,-7.889899755753049e-07,-5.115349352990961e-07,-1.5388368943547448e-06
stores,battery,2.2659367437949385e-11,-8.092016223759657e-10,-1.7178872857570582e-07,5.5362755755350435e-06,-1.1702961974224824e-06,-2.6825650264739043e-06,-1.0112177458276861e-05,2.2659367437949385e-11,-2.932029213170706e-09,1.9882588270236923e-07,3.373739975498502e-06,7.465501212777781e-07,-5.163314881495747e-06,7.441531521767963e-06
stores,central water tank,-521497.8830743663,-1334891.341569035,-4019576.1501783505,-13666441.653931236,-42452954.37123179,-87028201.52078727,-124207457.6207989,-521497.8830743663,-1301571.4192966113,-3098898.8170272796,-33260589.64746765,-101870749.91649075,-100435431.07339849,-101266506.10193467
stores,coal store,1639781682.1030266,722429889.8190393,16311439.742891943,1993783.184479902,103718.40358653782,71954.02708483214,53612.58675781129,1639781682.1030266,1212598263.6848428,44752114.0636864,116941.84447234166,51551.387610055295,64831.092147991636,70671.7086745195
stores,gas store,3247084344.2481456,3578405033.133666,3224632628.0345016,1663272075.9939852,790843785.6992401,357990018.6919938,-249784.33908506902,3247084344.2481456,3866374846.3458405,3408545780.4844418,805723457.8334267,-238035.96698451182,-299925.0838325005,-324142.2295800103
