scenario,go,go,go,go,go,go,go,wait,wait,wait,wait,wait,wait,wait
line_volume_limit,opt,opt,opt,opt,opt,opt,opt,opt,opt,opt,opt,opt,opt,opt
year,2020,2025,2030,2035,2040,2045,2050,2020,2025,2030,2035,2040,2045,2050
penetration,0.05855712731495712,0.1090234922118273,0.2175892877872846,0.34703780873210327,0.4585426699421359,0.5236902671659844,0.5847976940983386,0.05855712731495712,0.08127890096706693,0.19352267810725401,0.4459456542172937,0.5653047412603631,0.5704186697467131,0.5711664827398817
mix,0.9947590633837432,0.7213558761727071,0.5393982166834436,0.5261519713790352,0.4994870910324456,0.49479669968089657,0.4706577300505378,0.9947590633837432,0.8318125492690891,0.5405084846567437,0.5725469040042067,0.5644031165265347,0.5440202633560886,0.542807934485286
onwind capacity,219843.99158102658,386672.98210327665,532075.0691511601,635559.7695946343,655669.3725400843,680010.1467227435,727696.7383912175,219843.99158102658,301911.91475755913,504773.9152398497,710346.5130029914,807011.1951680158,773677.6239832517,772463.8068306363
onwind expansion,64305.477581026425,171536.32452224987,168462.49404788337,138438.49844347447,65599.67294544994,70154.9291826591,49488.30666847415,64305.477581026425,86775.25717653258,225922.40748229064,240526.39576314166,142154.75216502423,12480.583815235801,587.8978473847965
offwind capacity,16913.713901894505,16896.053283028054,27875.144330940595,73608.42091977359,123582.44088546607,157036.1264558408,158222.58962058133,16913.713901894505,16900.70194616802,16790.562920888402,145201.9206514071,198100.5120451068,188725.2246588863,186579.6650108634
offwind expansion,19.79390189449863,4.1393811335513675,11181.841047912543,46590.276588832996,53549.26996569246,43540.60557037477,3336.6631647405093,19.79390189449863,8.7880442735198,92.61097472037991,129268.35773051875,56473.84139369971,711.6352994730566,4.6403520106257705
solar capacity,2449.17485710005,104169.81913374973,455856.7609446285,716330.9449859397,971890.3516152322,1121820.649629516,1341269.7285630808,2449.17485710005,37445.723259586615,397304.3801973367,786657.4284959149,1001426.4231795105,1059806.9320157834,1061753.7879669575
solar expansion,2449.17485710005,101720.64427664968,351686.94181087875,260474.18404131112,255559.40662929259,149930.29801428365,219449.07893356535,2449.17485710005,34996.54840248657,359858.65693775006,389353.0482985783,214768.99468359537,58380.508836273184,1946.855951173868
heat pump uti,0.40592230977721927,0.40551703619956614,0.4037917558088849,0.43958865368889327,0.4524336222393283,0.44313455898626175,0.4284334320252313,0.40592230977721927,0.3863824321429617,0.39361034157277747,0.46560199122716206,0.4408421272613048,0.4215041922546326,0.4010749366351786
heat pump capacity,142159.64131851817,139496.62901176285,147031.95744972292,186578.43794831008,228672.28013609178,268743.1535220728,298275.6657763203,142159.64131851817,136519.75284554684,141427.71232963083,217020.20839744,275372.038431135,293684.3200581471,312542.64692718914
heat pump energy,1644442572.557563,1607980323.6405845,1679857167.0312731,2330386646.1194663,2936177163.4351377,3360967022.969384,3585150524.162017,1644442572.557563,1495357135.5586007,1576392194.6518939,2858824583.908586,3402734039.4975414,3456663955.252418,3496219240.1441097
heat pump expansion,23630.641318518166,26969.23769324468,37167.5784379601,69178.73049858707,71726.0921877817,40070.873385981206,29532.512254247387,23630.641318518166,23992.361527028694,34540.209484083956,105224.74606780922,87984.080033695,18312.281627012002,18858.326869042005
resistive heater uti,0.006412939447258757,0.019091179281628703,0.07445316058215261,0.10264649934018544,0.10071350540023716,0.0921037823189948,0.08795112171946966,0.006412939447258757,0.00905271235857808,0.061775805060997606,0.10282699068701177,0.11111998846562897,0.0927909754251885,0.08698877352268804
resistive heater capacity,276883.7988562162,244768.45329882554,302712.3530912135,330309.2502966981,332320.86186192784,379766.4814432982,384216.67104046734,276883.7988562162,232304.73128604275,280559.22725434595,370976.9620492728,385690.8882977975,397953.84406403877,405793.9163649425
resistive heater energy,14307244.368698433,38774745.80398005,187922012.77217987,286723711.46944094,282774735.8649344,297696558.29543525,288412732.0742356,14307244.368698433,17026859.843075037,143573514.0015948,322408162.5449253,366294042.08388716,317181824.28141963,303354216.2948116
resistive heater expansion,49153.79885621627,24817.154442609208,114876.3997923881,84529.3972054844,58944.11156522991,47445.619581370316,4450.189597169102,49153.79885621627,12353.432429826507,105186.99596830319,147350.2347949267,71646.4262485247,12262.955766241399,7840.072300903703
gas boiler uti,0.1926753854958206,0.21983458747472553,0.21640797959675373,0.19614534231418998,0.17876158734074746,0.08551782501623025,0.031885771872161975,0.1926753854958206,0.2225278889370604,0.22968689812145424,0.1155220764162749,0.05471281519408113,0.03424128071276697,0.02952605688953133
gas boiler capacity,1120026.2987847123,876098.3742300422,644053.0663967091,427512.111256476,245438.07894724538,245467.88716631482,245479.93154864755,1120026.2987847123,876165.7007985212,660694.312141906,407320.210356444,187475.81635804745,188986.1923350398,193986.2211687315
gas boiler energy,1844988202.831812,1654491384.573739,1201057448.2311256,723341554.2124591,378882816.3356533,181598995.357326,67882523.16421527,1844988202.831812,1674901628.8145967,1308476557.5847988,405441967.48964584,88507623.58716227,55979939.214052126,49674996.47579668
gas boiler expansion,52266.298784711726,23012.075445330305,34894.69216666699,50399.044859767004,84865.9676907693,29.8082190694157,12.044382332748574,52266.298784711726,23079.40201380929,51468.61134338499,13565.898214537998,47095.6060016036,1510.3759769922776,5000.028833691643
CHP heat uti,0.7794915616042529,0.6843768988462396,0.5360023458488958,0.32827002584879783,0.19956879243957942,0.08886792221844671,0.046573801335430084,0.7794915616042529,0.7738768954329314,0.5931686418585137,0.15533680638786937,0.03485252195305077,0.051632887403119464,0.054450518557920075
CHP heat capacity,3103.91864825113,14681.246925931757,35987.974286745666,35996.16359537148,35999.57944631836,36003.68944537158,36004.8866347361,3103.91864825113,18492.65496561787,34991.820934942094,34994.14330051243,35012.62402907951,35013.638164728756,35017.71624462974
CHP heat energy,66127247.88804656,274610402.6113273,527208971.5988091,322958074.0222287,196358070.98633173,87448171.57847294,45831263.93084453,66127247.88804656,391137853.076249,567287778.3617948,148569081.43649507,33351668.84100755,49410853.05166336,52113295.72841043
CHP heat expansion,3103.91864825113,11577.328277680632,21306.727360813922,8.189308625801244,3.415850946880166,4.1099990532199415,1.197189364510388,3103.91864825113,15388.736317366745,16499.16596932423,2.322365570329948,18.48072856707063,1.0141356492496563,4.078079900980288
nuclear uti,0.9986173607516563,0.9859699016384852,0.9504118379400674,0.901329266568753,0.756908046789818,0.6485370795320785,0.6840940209993237,0.9986173607516563,0.9978220947749832,0.9642284319239731,0.7573552059432589,0.7299106117970905,0.7040449683358225,0.7069031601824588
nuclear capacity,271281.44040958845,102612.85846937173,19302.013766074364,19318.168901743546,11707.817572331991,2317.94544548541,117.44968654944003,271281.44040958845,102617.97554458858,19319.83513103238,19329.407940857778,11717.329849330179,2325.2064350331702,121.96070266870998
nuclear energy,783136094.0483251,292471457.5707397,53031328.16625162,50334699.236942954,25617521.839207616,4345663.235374875,232266.03319578053,783136094.0483251,296001972.37992245,53851945.21106514,42319079.527115226,24723865.905693185,4732383.824692277,249228.6052538566
nuclear expansion,76.72267302690403,2379.590341799357,29357.821963369337,16.15513566917404,7.8304887702681825,9064.67332769887,7611.625453185242,76.72267302690403,2384.7074170162177,29370.52625311047,9.572809825400626,6.103726654217452,9062.42204024844,7608.875479756753
coal uti,0.9484586054096517,0.5570693368924229,0.016500459246540762,0.0027517292063093724,0.0001759674425005032,0.00014268157090178236,0.0001553635334943108,0.9484586054096517,0.9349887127698598,0.045259864910747315,0.00016135589511129437,8.743523214977333e-05,0.00012851338375789386,0.00020468334857824094
coal capacity,197362.00259044385,148041.11453074357,112847.55608971896,82711.92515028267,67285.17640067576,57568.26183368351,39392.50201148607,197362.00259044385,148049.3373173221,112874.59275739965,82733.42362538891,67305.38084740062,57587.851082323774,39414.76777852576
coal energy,541127955.0939982,238401863.6402834,5382775.115154358,657948.4508783718,34227.073183557484,23744.82893799459,17692.153630077726,541127955.0939982,400157427.01599765,14768197.64101654,38590.808675872766,17011.957911318277,21394.260408837243,23321.663862591427
coal expansion,44.88269311862951,3937.4388207942643,2036.896104429912,343.02952723041165,428.8252366013637,8.263252957359063,400.34468840861643,44.88269311862951,3945.6616073728096,2055.7099855320753,337.49133465592547,427.5312082199634,7.648054872808677,403.0212068080446
lignite uti,0.9989019102049363,0.9552510850034904,0.05466177253967645,0.0005501775081279647,0.0010106487795973555,0.0007769931554056207,0.0005856664176681845,0.9989019102049363,0.9989442604734619,0.4689591581299856,0.00024566062550106905,0.0004898993145714442,0.0006936632061456008,0.0007844059439807807
lignite capacity,78461.18900986835,61137.8798758688,49048.94215793527,44810.73005398749,10181.217209084341,9306.461858397932,9053.69528119745,78461.18900986835,61154.32113163818,49072.017941586695,44800.70521205578,10167.66338553141,9292.63707381802,9039.628586564551
lignite energy,226566541.28830716,168828577.0100928,7750530.007191683,71269.36634229729,29745.276127138335,20903.540052635966,15328.308821200571,226566541.28830716,176598272.7085448,66525321.93827664,31815.477792079004,14399.454429583566,18633.982399978253,20497.906551340424
lignite expansion,141.62181397900758,1499.8485243721238,0.9712373468299341,229.97228137021702,3.954867167689226,1.0022250711562042,1.7788773449746718,141.62181397900758,1516.2897801414847,7.60576522890285,196.87165578706453,0.42588554646990806,0.7312640441850791,1.536967291985048
OCGT uti,0.007761385527660172,0.017567214287505014,0.09277759750612548,0.05023997162591586,0.05617192356889013,0.03430087293678437,0.019425295222916424,0.007761385527660172,0.021434425757984137,0.04021284258557884,0.028228371552746906,0.019520778327062907,0.024799281490596414,0.02950942915788178
OCGT capacity,9996.467143501899,10057.985481375601,3848.7717683030905,1341.0131837837002,588.4098197934401,597.9350856310599,598.50350235305,9996.467143501899,10024.647048924704,3858.7708913459996,1324.4150188991002,574.0405785931001,576.9812044793099,578.7369170417
OCGT energy,285456.01317999413,657819.7972159702,1345048.1831537227,256729.51247404897,127396.05827506121,79950.89459532329,45830.11468157065,285456.01317999413,799970.5145217988,584502.4411631444,142463.39356536543,43191.32287209714,55778.24959344811,67322.24884681129
OCGT expansion,382.8549063063216,128.66119501655714,3.167571742115468,58.90808214727686,14.818064581168562,9.525265837619994,0.5684167219900083,382.8549063063216,95.32276256565709,46.505127235925464,32.31079421976698,17.04698826542851,2.940625886210004,1.755712562390002
CCGT uti,0.5477237547961559,0.7431904128560085,0.6354296270880742,0.4904283296944315,0.25111493821898234,0.04094335558982685,0.018630136939193218,0.5477237547961559,0.741927188267023,0.6635004853356771,0.1786655291556636,0.04261941028691345,0.030421584261217317,0.02771088836781118
CCGT capacity,255056.87862632872,207782.9665719529,146443.45259678466,69051.492643006,10444.79289833032,5323.3120051853275,5324.03478740769,255056.87862632872,207786.37864793077,144432.94159216175,67024.9117500337,8402.421457956361,3269.9059957558597,3271.2107823337105
CCGT energy,722029156.0131291,811643654.5853094,497246071.4766701,182443267.69569293,14245187.744150382,1193299.5534828438,547395.9593179612,722029156.0131291,810277383.4518659,512084278.1281882,64514337.631241836,1944946.651531767,544629.5712494011,500269.04784072156
CCGT expansion,53.827256280037155,14.111164098729628,5347.268808899799,32.268353667409386,2059.6596882656672,2610.688598380435,0.7227822223599176,53.827256280037155,17.523240076558817,3333.345728299013,16.19846531809361,2043.8691408639795,2599.654029324924,1.3047865778500052
