scenario,go,go,go,go,go,go,go,wait,wait,wait,wait,wait,wait,wait
line_volume_limit,opt,opt,opt,opt,opt,opt,opt,opt,opt,opt,opt,opt,opt,opt
year,2020,2025,2030,2035,2040,2045,2050,2020,2025,2030,2035,2040,2045,2050
water tanks,17.44411926446441,19.0742389614885,23.12300160477451,25.439107858361066,26.813625470276968,25.61006863202821,23.209860571111854,17.44411926446441,17.23659016531593,21.622802894959783,28.859105655398213,29.15905020524597,21.80753312582821,17.253026526861976
urban heat,16.607304022191492,18.70589253888751,22.045617287062562,24.580680127145556,24.468999474896215,25.25096796331342,24.115651964349194,16.607304022191492,16.552275142191398,20.572816633946463,25.401058417052734,25.81152719547258,24.499372282777685,22.44259298700309
electricity,38.172830303942085,42.95842414137923,52.89312604371968,55.147033162834205,54.96963704251118,52.62820939992131,49.34189786615837,38.172830303942085,39.83873254080511,49.3709431591442,59.40137285362241,56.12481059438267,51.60431098990386,44.88754150225756
nuclear,2.5999999999997763,2.5999999999997763,2.5999999999997763,2.5999999999997763,2.5999999999997763,2.5999999999997763,2.5999999999997763,2.5999999999997763,2.5999999999997763,2.5999999999997763,2.5999999999997763,2.5999999999997763,2.5999999999997763,2.5999999999997763
heat,17.42288967431167,19.01984096211958,23.254894537757124,25.39589854393718,26.823066832488667,25.564643030690863,23.196555150933012,17.42288967431167,17.1859404443115,21.56479100196984,28.81632210493345,29.212310331745456,21.801756701737027,17.221383296701234
lignite,2.9001623556203286,8.620153771679462,25.184655052201844,43.41419836120454,77.69092001250164,121.01508245500601,163.5090047120208,2.9001623556203286,2.9005446874398477,18.284038334200595,84.52436791619644,185.77717852598462,145.0493979109691,124.94256997099409
coal,8.150134113491282,12.875119989301087,26.558188528498054,41.616661241506634,69.93086905940373,105.7186947279905,140.82070238199506,8.150134113491282,8.150449937820582,20.857949812198548,75.57562312960859,159.21527662102838,125.5721862460223,108.96298684098898
oil,50.00010632089441,53.74592618109129,64.59343159810372,76.53131408810485,98.9779255188851,127.34938559600401,155.17715077101647,50.00010632089441,50.000356696491984,60.07446202810319,103.45290861101422,169.7597893890152,143.0886078459876,129.92135811597788
central water tanks,16.558918469899623,18.669353105436414,21.84893607358891,24.30700423868129,24.19495342709443,24.88148018046606,23.667220078567695,16.558918469899623,16.510543787380506,20.51905208001576,25.034177788533103,25.30581487733894,24.061975520757652,22.020137145911626
gas,20.100080188897966,22.92523400319802,31.106586136504266,40.11031709799726,57.03988986679157,78.43807281379334,99.42619286800847,20.100080188897966,20.100269025898836,27.698311154295915,60.41498958389365,110.42463877701462,90.30883153458898,80.37789326610896
H2,49.733468580634,50.724462188560224,41.650680927210324,58.57768221688149,55.68169182858826,53.50758515066057,55.94375166616035,49.733468580634,49.15582369427565,57.309901667840286,59.485974712140596,64.04023605022816,54.15558559654388,47.50766666663805
battery,38.30889473614936,42.95648337393291,52.92769890012924,55.04476944807438,54.7787566722034,52.31775944517407,48.9654239745209,38.30889473614936,39.89608669830435,49.22537388472312,59.166524868731116,55.892079200656234,51.33341020357438,44.59625486530495
cooling,20.63506171424986,19.54278064469679,21.77449985947421,23.251485992220246,23.325173913766207,21.960086889341984,19.9116154740313,20.63506171424986,18.272090426049886,21.67836478619332,25.07728402654063,24.103262482439064,19.738048804669567,16.293015363074442
