scenario,,,go,go,go,go,go,go,go,wait,wait,wait,wait,wait,wait,wait
line_volume_limit,,,opt,opt,opt,opt,opt,opt,opt,opt,opt,opt,opt,opt,opt,opt
year,,,2020,2025,2030,2035,2040,2045,2050,2020,2025,2030,2035,2040,2045,2050
cooling,links,cooling pump,179455.95590398196,179455.95590398196,179455.95590398196,179455.95590398196,179455.95590398196,179455.95590398196,179455.95590398196,179455.95590398196,179455.95590398196,179455.95590398196,179455.95590398196,179455.95590398196,179455.95590398196,179455.95590398196
cooling,loads,cooling,-179455.955904,-179455.955904,-179455.955904,-179455.955904,-179455.955904,-179455.955904,-179455.955904,-179455.955904,-179455.955904,-179455.955904,-179455.955904,-179455.955904,-179455.955904,-179455.955904
electricity,generators,offwind,14797.756913563124,14783.628208248283,25777.387112188968,71372.4102589843,121418.84036614072,155330.85493797538,157028.88876706533,14797.756913563124,14784.851376594013,14685.66074723164,142318.062253131,195064.22544420842,186503.58155647444,184871.6207998533
electricity,generators,onwind,209671.3236036871,373896.39350239123,516730.52263930143,624244.8695968942,647670.7265694541,673808.5020832475,721527.5432994138,209671.3236036871,290058.6886321347,489838.6319099624,696526.0076006817,798572.3621994945,767281.881636424,766191.6691241834
electricity,generators,ror,49531.334914735206,49532.3145024857,49535.8119856114,49531.819462050684,49532.8079598786,49531.5887246259,49531.105589330786,49531.334914735206,49530.62419403579,49532.4879302083,49531.71670677219,49532.547182747294,49531.606264236,49531.5656654747
electricity,generators,solar,1678.63785946917,71892.65558182675,302277.7395837415,471925.98008775525,624163.2990872591,701346.2045362681,834180.298881054,1678.63785946917,26333.86998508044,265223.06021251326,516578.6994474628,650683.7159852821,679967.0102109709,684790.0539264884
electricity,links,CCGT,150437.02141457878,124556.58440378023,89228.76514481359,42454.464094847426,6471.079115454665,3316.7125897713117,3340.716362285916,150437.02141457878,124650.5931367394,88070.23259604338,41204.9171237226,5199.432623613106,2029.6141720573505,2048.113020264041
electricity,links,H2 Electrolysis,-94.90688935342,-113.53060346911002,-158.79273734064998,-170.18428718816998,-210.59515455201,-556.8138217692998,-75947.52311660763,-94.90688935342,-101.00313638025,-155.57338671971002,-229.15731642929,-79971.55511992513,-79967.66774838217,-79966.26029505598
electricity,links,H2 Fuel Cell,17.531549929229,20.754898722100002,34.556348608732506,21.886359913489994,37.192249961005004,41.19687060669,42.30554833236,17.531549929229,21.252206129298504,24.257616146516,38.947501447389996,43.928176944955005,44.94677737745,43.82007669787
electricity,links,OCGT,131.23783689889316,4113.702176955349,1645.7285656339498,563.2679481888981,240.780417106504,212.0992229566702,49.65089743096199,131.23783689889316,4090.786450554764,1628.8759176393814,531.1080157267279,35.746627511183604,64.71499444176541,161.336871074808
electricity,links,battery charger,-472.66803205068,-450.42367856940007,-10660.792449200157,-120823.5204876687,-229509.6175873227,-266716.5935127561,-329419.3399256931,-472.66803205068,-524.1882216175,-4327.366626959701,-167987.63882149087,-231599.34359824203,-247285.677126877,-251265.22852009404
electricity,links,battery discharger,476.6577637160335,489.2994590020507,10658.382113440657,108316.05460002969,175895.69808918427,195440.9069319062,231505.71993043198,476.6577637160335,552.1251836617033,4314.075526688352,140856.1956573654,186094.32991206335,192124.1467839062,195380.71156672222
electricity,links,central gas CHP electric,9024.998798407643,42105.30999956331,111381.2789853966,96832.29733037668,95467.28063852809,95464.92114037844,88281.00215571116,9024.998798407643,55534.167592926846,106877.89635575065,92333.39222352977,83476.55736496513,92727.2301986696,92836.30229825183
electricity,links,central heat pump,-22783.87802676953,-22277.44259572963,-27330.38730361641,-57495.8331505829,-93635.33592824599,-131548.030917131,-159529.80076459,-22783.87802676953,-19293.36204564336,-22823.153495768627,-75508.13556991199,-118998.02203356999,-137307.63577386102,-156160.70737492602
electricity,links,central resistive heater,-10039.107304212972,-43833.14481682741,-94283.8100936202,-161040.23092314304,-200741.14634326968,-248151.26703905105,-252590.81142368598,-10039.107304212972,-28671.858440702214,-74646.80202752759,-201199.56165347047,-254111.12050392898,-266358.41176083003,-274193.25021574396
electricity,links,coal,65110.3811044005,48842.45491640212,36953.25086137232,21843.265841662178,131.30198974464992,5.033380992195271,3.1930240887659402,65110.3811044005,48845.14472294232,36638.00532265695,564.5987895562222,3.1873803453894607,3.9630480367965304,4.75522565435775
electricity,links,cooling pump,-59818.651967993996,-59818.651967993996,-59818.651967993996,-59818.651967993996,-59818.651967993996,-59818.651967993996,-59818.651967993996,-59818.651967993996,-59818.651967993996,-59818.651967993996,-59818.651967993996,-59818.651967993996,-59818.651967993996,-59818.651967993996
electricity,links,decentral heat pump,-92563.33861922735,-89215.14425960452,-87767.04023200378,-91968.89914351457,-93071.07113275102,-84266.40660105628,-72852.32855601869,-92563.33861922735,-89212.85841786917,-86600.77892916532,-104638.14661763399,-114704.93860300403,-101446.29711392801,-84501.95917968702
electricity,links,decentral resistive heater,-72930.74567517673,-75936.64712932086,-134539.32307521038,-138413.8045292969,-118656.29059563823,-109347.43849566045,-89753.7721783909,-72930.74567517673,-71324.56595283595,-144485.2445227427,-140940.1420604172,-122338.34569216041,-93503.54420248982,-46619.0221590405
electricity,links,lignite,25878.87717837734,20168.177901118113,16181.297725542787,593.1336196254412,9.939127394121751,4.057659815245079,2.57188389708624,25878.87717837734,20172.904500969864,16180.425796012982,6.982887823114169,2.46041351799639,3.1985056104209995,3.8158012557347103
electricity,links,nuclear,89515.87867804077,33857.48018470245,6368.957484321773,6370.011165656247,3861.3228893416835,761.9206079920049,35.6682898994367,89515.87867804077,33857.94712023692,6370.745242373084,6375.411734035535,3864.4164131993402,764.0465570880186,36.72567101071439
electricity,links,oil,632.1042906446304,1675.1872380854506,1384.9194479941725,8.163091156901421,6.895552746109799,4.807855101746041,3.50860392267943,632.1042906446304,1310.3427613137121,674.311384845787,6.19158128476543,3.63044103690983,4.15809884328709,4.63763839457401
electricity,links,transmission lines,105835.62129492301,117742.84286833208,126230.76794413597,218427.95533466197,263478.26536715694,319770.570055145,330897.586461746,105835.62129492301,118114.65878669298,126197.75670499801,279125.73073325196,365819.6500499749,367675.5610472699,366509.47461497295
electricity,loads,electricity,-484962.96298599994,-484962.96298599994,-484962.96298599994,-484962.96298599994,-484962.96298599994,-484962.96298599994,-484962.96298599994,-484962.96298599994,-484962.96298599994,-484962.96298599994,-484962.96298599994,-484962.96298599994,-484962.96298599994,-484962.96298599994
electricity,storage_units,PHS,38094.08881504306,47215.54796654624,47457.56124810078,45738.08498799336,42674.64857941318,42749.325153984064,42465.387110777614,38094.08881504306,46108.65387220504,47265.4333903701,46343.528268724964,43190.209415432975,43320.480046826415,43228.71378857568
electricity,storage_units,hydro,118251.2284895973,118256.52922766011,118266.70599578548,118262.58739829637,118266.900362301,118267.0517305617,118267.22460540148,118251.2284895973,118254.04375352908,118259.4589013491,118260.5049223126,118267.51416247911,118267.05766251209,118266.82648414499
heat,links,decentral gas boiler,574000.9820234777,512570.3810546111,399170.0527894112,294082.62585740816,155591.91943379966,128200.34977382759,79911.57693973221,574000.9820234777,517646.5297900561,435411.33993013675,217311.1482266203,95587.14336450605,77993.18695484448,40385.955483242185
heat,links,decentral heat pump,302663.7067121087,288463.97024811216,279160.5257347427,293558.419603707,294401.8216467762,263674.13595269737,222637.75981245298,302663.7067121087,288435.55150479724,274776.0093444902,337351.54493410233,351892.9376973356,303131.48488997377,246138.35371621858
heat,links,decentral resistive heater,65637.67110765906,68342.98241638875,121085.39076768934,124572.42407636721,106790.6615360744,98412.69464609439,80778.39496055181,65637.67110765906,64192.10935755238,130036.72007046841,126846.12785437547,110104.51112294436,84153.18978224082,41957.119943136466
heat,links,water tanks charger,-2197.6554713,-4420.267686536801,-32351.616313918497,-189273.729107305,-430854.17884496617,-418427.774040575,-446309.0905957809,-2197.6554713,-1912.5967399129001,-133738.92135811498,-314154.896426751,-413039.3628611751,-301381.6386250651,-378876.2951186551
heat,links,water tanks discharger,1703.27540242512,3512.5479474415197,26163.514805559484,153305.2173993651,348987.8598445053,338922.56052740704,361502.2804731354,1703.27540242512,1491.0785463242703,108303.0142322178,254458.1088073621,334551.5980441686,244107.49077442262,306881.5402101817
heat,loads,heat,-868882.093330357,-770197.2749227943,-671512.4565152314,-572827.6381076684,-474142.8197001057,-375458.0012925428,-276773.1828849801,-868882.093330357,-770197.2749227943,-671512.4565152314,-572827.6381076684,-474142.8197001057,-375458.0012925428,-276773.1828849801
urban heat,links,central gas CHP heat,9637.056319854506,45786.696547390166,112279.82293113587,112289.32322270761,112309.16824762734,112315.25912903465,112316.61644235639,9637.056319854506,57670.73599223179,109152.43634885777,109161.85435917696,109219.72124748523,109222.60120913915,109237.3632631239
urban heat,links,central gas boiler,168250.10709531445,178412.9597459932,152377.8117606024,126106.22333354483,85338.28925127858,60828.66803934982,51099.653768872384,168250.10709531445,178458.9634805145,168280.391211238,124600.86006483351,32971.83767453976,34542.50752310258,44715.55262418736
urban heat,links,central heat pump,85680.52317230182,88590.87538975067,116586.28718389725,261796.89531310997,422647.143729788,583651.4634578218,692942.1636703264,85680.52317230182,72124.87599036259,95044.7805800363,340424.4253747311,520072.3696353479,600393.4913531699,682324.5679590944
urban heat,links,central resistive heater,9861.970293806602,42686.17795624574,92097.30029310133,157739.7169514961,196582.40171331182,243429.0577859566,247697.69638953928,9861.970293806602,27695.09739015993,72650.02085261581,197410.15552555543,249726.45953471307,260767.3156575489,267849.74160770344
urban heat,links,central water tanks charger,-78406.633515127,-108850.1205285459,-211517.310262698,-412059.598090767,-606230.98905814,-844746.44379065,-931167.2717724202,-78406.633515127,-98738.98493902331,-203453.11875810698,-539610.549000835,-847613.0047953802,-820456.4016039498,-889126.5959818801
urban heat,links,central water tanks discharger,84402.19231455022,141135.8478172991,210968.3842681743,361269.92287549167,542874.9980081862,692628.6483873451,768863.7779774037,84402.19231455022,147447.3118442954,217533.29238116188,461465.1470031463,666613.7944796791,656399.1026482023,727109.7461501219
urban heat,loads,urban heat,-252253.73339864286,-350938.5518062057,-449623.37021376856,-548308.1886213315,-646993.0070288943,-745677.8254364568,-844362.6438440202,-252253.73339864286,-350938.5518062057,-449623.37021376856,-548308.1886213315,-646993.0070288943,-745677.8254364568,-844362.6438440202
