scenario,,,go,go,go,go,go,go,go,wait,wait,wait,wait,wait,wait,wait
line_volume_limit,,,opt,opt,opt,opt,opt,opt,opt,opt,opt,opt,opt,opt,opt,opt
year,,,2020,2025,2030,2035,2040,2045,2050,2020,2025,2030,2035,2040,2045,2050
cooling,links,cooling pump,70498189.71532816,70498189.71532816,70498189.71532816,70498189.71532816,70498189.71532816,70498189.71532816,70498189.71532816,70498189.71532816,70498189.71532816,70498189.71532816,70498189.71532816,70498189.71532816,70498189.71532816,70498189.71532816
cooling,loads,cooling,-70498189.71532698,-70498189.71532698,-70498189.71532698,-70498189.71532698,-70498189.71532698,-70498189.71532698,-70498189.71532698,-70498189.71532698,-70498189.71532698,-70498189.71532698,-70498189.71532698,-70498189.71532698,-70498189.71532698,-70498189.71532698
electricity,generators,offwind,53276945.710072465,52012586.17673478,93584818.49650706,250969074.76116064,383854740.9738528,443559867.0513431,484275268.54771423,53276945.710072465,52584464.645023696,50553614.538986504,455118586.325073,618119267.3421985,593612712.4469525,587928661.2544776
electricity,generators,onwind,543058450.0315666,1026307630.0248736,1458098522.415187,1845631786.691639,1896532961.2131262,1952181911.063861,2148936314.9176774,543058450.0315666,777584290.4972163,1380880812.279515,2013726299.788036,2381559556.61905,2316861263.194305,2314871918.6609383
electricity,generators,ror,157834294.88273308,157834122.79099104,157811153.5734081,157521971.27989146,156972222.7504841,157024369.38095683,156957380.88243908,157834294.88273308,157821873.25333753,157718053.8207938,157308016.19684598,157274907.76846755,157315337.5060117,157358460.86289904
electricity,generators,solar,3213021.2117898553,141396406.11161906,543526048.6387054,876601243.9402392,1186308169.864099,1345789348.0874763,1601576684.7429168,3213021.2117898553,52705380.54356001,482283057.06102854,977901585.1781666,1235263655.887319,1289548310.5895972,1295404959.3917305
electricity,links,CCGT,722029156.0131291,811643654.5853094,497246071.4766701,182443267.69569293,14245187.744150382,1193299.5534828438,547395.9593179612,722029156.0131291,810277383.4518659,512084278.1281882,64514337.631241836,1944946.651531767,544629.5712494011,500269.04784072156
electricity,links,H2 Electrolysis,-522101.9301579441,-415037.56200099434,-166849.91035320365,-507947.41146529414,-760172.9221596129,-2551823.4318496054,-381103088.8700607,-522101.9301579441,-496270.80461103667,-481369.0868945903,-764192.0042946433,-389690197.41299736,-376437807.99260265,-374073387.2758361
electricity,links,H2 Fuel Cell,83598.93663141235,66358.05398893903,36243.933092891646,83260.46603108555,96074.68408890173,107777.10083676453,101384.13929283991,83598.93663141235,81241.81438692354,75674.56189307022,103189.1121705487,97226.21752942231,117847.55357004011,124142.05176847712
electricity,links,OCGT,285456.01317999413,657819.7972159702,1345048.1831537227,256729.51247404897,127396.05827506121,79950.89459532329,45830.11468157065,285456.01317999413,799970.5145217988,584502.4411631444,142463.39356536543,43191.32287209714,55778.24959344811,67322.24884681129
electricity,links,battery charger,-2003618.8970869759,-1399339.893624379,-15118938.15319561,-243011369.85464853,-474724724.70405334,-551554366.0076786,-678565676.1634569,-2003618.8970869759,-1921975.8902377049,-5294084.665982675,-340849422.44152176,-489277688.28820103,-502985568.7538001,-503449753.7162793
electricity,links,battery discharger,1808275.764970956,1276284.3559110104,13933614.023131756,223959306.28935942,437506317.5464094,508312509.45952666,625366130.8036705,1808275.764970956,1752963.0111854188,4879030.915964128,314126835.3101348,450918326.414163,463551505.95601964,463979299.85065377
electricity,links,central gas CHP electric,51999376.22781633,210148968.23475912,475693517.92216915,247128566.0313977,149990149.8178601,67813957.38643317,34461226.42805479,51999376.22781633,318620353.4143907,494500899.43006074,112723116.45376793,25182094.91841576,37660770.482955396,40726032.375685416
electricity,links,central heat pump,-110185874.87185241,-131814967.2512515,-162738369.37641498,-335974691.5040815,-528476109.3503744,-706831532.4871573,-849270341.7124983,-110185874.87185241,-98816429.47545514,-139419146.03784844,-436180505.2560968,-618626257.0628297,-717894339.8255491,-821043614.7142185
electricity,links,central resistive heater,-3525500.8390752897,-23391892.753346287,-117958595.67471969,-224144587.80251268,-227620940.72936103,-261319060.73946804,-268428960.3457,-3525500.8390752897,-6564100.513731536,-82393400.94929598,-251842717.84618452,-328372521.445179,-306247475.19879895,-299383112.1882506
electricity,links,coal,541127955.0939982,238401863.6402834,5382775.115154358,657948.4508783718,34227.073183557484,23744.82893799459,17692.153630077726,541127955.0939982,400157427.01599765,14768197.64101654,38590.808675872766,17011.957911318277,21394.260408837243,23321.663862591427
electricity,links,cooling pump,-23499396.571776092,-23499396.571776092,-23499396.571776092,-23499396.571776092,-23499396.571776092,-23499396.571776092,-23499396.571776092,-23499396.571776092,-23499396.571776092,-23499396.571776092,-23499396.571776092,-23499396.571776092,-23499396.571776092,-23499396.571776092
electricity,links,decentral heat pump,-395316669.9875053,-363722986.4652694,-357345390.809279,-382500924.15877014,-377824975.9970634,-336391425.9460918,-270181158.76818043,-395316669.9875053,-363263357.5911063,-348227366.9455527,-448974055.36140716,-444799156.9790768,-366498807.8051426,-277048860.7398947
electricity,links,decentral resistive heater,-12029097.11621365,-17542872.6445277,-79473333.29501654,-72863985.20298913,-65569241.77254542,-45087600.26933197,-27591475.537947018,-12029097.11621365,-11858073.594243698,-69432922.91763857,-82320137.04022698,-47063269.99121807,-17228886.997773364,-9840639.978727588
electricity,links,lignite,226566541.28830716,168828577.0100928,7750530.007191683,71269.36634229729,29745.276127138335,20903.540052635966,15328.308821200571,226566541.28830716,176598272.7085448,66525321.93827664,31815.477792079004,14399.454429583566,18633.982399978253,20497.906551340424
electricity,links,nuclear,783136094.0483251,292471457.5707397,53031328.16625162,50334699.236942954,25617521.839207616,4345663.235374875,232266.03319578053,783136094.0483251,296001972.37992245,53851945.21106514,42319079.527115226,24723865.905693185,4732383.824692277,249228.6052538566
electricity,links,oil,115303.71138093167,62041.828023402806,16292.515555688928,40033.043377834474,25572.748803404284,22935.558296923682,18706.300215857922,115303.71138093167,75112.28166327895,55190.93125071506,29623.93563571245,18364.078684931563,21959.83357508639,22876.15097235895
electricity,links,transmission lines,-110519105.376228,-177369076.72366852,-11440149.999342242,-245483606.8201926,-376916862.4205506,-440198881.8311204,-327946909.6487666,-110519105.376228,-181686712.43957654,-31288913.567800473,-476314288.8108344,-439372373.95113695,-414309413.74284697,-414771401.7097709
electricity,loads,electricity,-2851391291.3077254,-2851391291.3077254,-2851391291.3077254,-2851391291.3077254,-2851391291.3077254,-2851391291.3077254,-2851391291.3077254,-2851391291.3077254,-2851391291.3077254,-2851391291.3077254,-2851391291.3077254,-2851391291.3077254,-2851391291.3077254,-2851391291.3077254
electricity,storage_units,PHS,-2175337.341583188,-4049577.7474397006,-15905510.088399753,-17914528.98688798,-17567467.088794835,-17947343.77772115,-18616343.048456673,-2175337.341583188,-3358469.8277658476,-14740531.301542552,-18377363.216984317,-18575779.079746984,-17999228.751143422,-17667479.92644846
electricity,storage_units,hydro,316114969.31644803,316120625.88410664,316141754.83877105,316111550.0510249,316094838.42179716,316098016.0631101,316096386.1364657,316114969.31644803,316110229.22244483,316119107.585279,316116082.8311837,316119379.49484396,316120691.702582,316121038.25065875
heat,links,decentral gas boiler,1447443545.947835,1231378594.3101208,882711520.1278127,504562653.8255429,255228098.01013842,117407821.95751646,36008574.54293651,1447443545.947835,1237943230.4555762,925603830.7939292,303850076.6270718,65469780.5790559,23881512.662654825,9526410.135435201
heat,links,decentral heat pump,1298103717.0463235,1192236707.081905,1169588026.2545552,1249107983.1216648,1232352821.0814526,1093027807.929437,872387250.3243004,1298103717.0463235,1191045596.1094134,1139729006.7615,1458444070.5684235,1427172347.4664106,1168232147.4661722,882587613.3764491
heat,links,decentral resistive heater,10826187.4045923,15788585.380074957,71525999.96551496,65577586.68269028,59012317.59529079,40578840.242398836,24832327.98415229,10826187.4045923,10672266.23481934,62489630.62587477,74088123.33620422,42356942.992096275,15505998.29799603,8856575.98085485
heat,links,water tanks charger,-5830503.913008179,-3328435.0990180187,-8204698.813129266,-70849919.50705771,-301596880.461842,-411678190.66331196,-404881339.25341547,-5830503.913008179,-4671207.159365179,-29186319.51348372,-161040039.46699676,-240566069.48995653,-183281743.0433126,-235098283.2210307
heat,links,water tanks discharger,4696469.254173123,2670208.297729884,6628216.2703217445,57359785.20831833,244264789.93162116,333429430.71094865,327923926.4169318,4696469.254173123,3756808.013533395,23613169.520002123,130413098.23244749,194827821.12160987,148427801.0349745,190398857.1435927
heat,loads,heat,-2755238347.9969754,-2438743663.576817,-2122248979.1566947,-1805754294.7365522,-1489259610.3164096,-1172764925.896263,-856270241.4761208,-2755238347.9969754,-2438743663.576817,-2122248979.1566947,-1805754294.7365522,-1489259610.3164096,-1172764925.896263,-856270241.4761208
urban heat,links,central gas CHP heat,66127247.88804656,274610402.6113273,527208971.5988091,322958074.0222287,196358070.98633173,87448171.57847294,45831263.93084453,66127247.88804656,391137853.076249,567287778.3617948,148569081.43649507,33351668.84100755,49410853.05166336,52113295.72841043
urban heat,links,central gas boiler,397544656.8839772,423112790.2636173,318345928.1033132,218778900.38691625,123654718.32551491,64191173.3998095,31873948.621278726,397544656.8839772,436958398.35902005,382872726.7908701,101591890.86257388,23037843.008106366,32098426.5513973,40148586.34036148
urban heat,links,central heat pump,346338855.51123923,415743616.55867976,510269140.77671784,1081278662.997801,1703824342.3536863,2267939215.0399475,2712763273.8377185,346338855.51123923,304311539.4491869,436663187.8903935,1400380513.340163,1975561692.0311303,2288431807.7862444,2613631626.767661
urban heat,links,central resistive heater,3481056.9641061313,22986160.42390511,116396012.80666496,221146124.78675064,223762418.26964352,257117718.05303627,263580404.09008342,3481056.9641061313,6354593.608255697,81083883.37572002,248320039.20872104,323937099.09179085,301675825.9834237,294497640.31395674
urban heat,links,central water tanks charger,-31467950.696513034,-61641886.151451476,-150373456.25016996,-396475501.9780655,-717731108.2391059,-1099233354.2167492,-1243428184.655161,-31467950.696513034,-73946518.8181571,-132035342.60493757,-591575971.1150756,-1006221701.0401294,-1008991878.1527072,-1069683333.282067
urban heat,links,central water tanks discharger,25019710.82639,48728560.799078725,118184882.51968947,308845425.9687388,543154565.7788486,812053649.322483,895390126.4912754,25019710.82639,58725319.42714697,104159624.55074035,449242024.1350097,723355924.2353184,726891547.2395012,775303660.7456692
urban heat,loads,urban heat,-807041984.6618124,-1123536669.0819533,-1440031353.5020974,-1756526037.9222348,-2073020722.342377,-2389515406.762526,-2706010091.1826572,-807041984.6618124,-1123536669.0819533,-1440031353.5020974,-1756526037.9222348,-2073020722.342377,-2389515406.762526,-2706010091.1826572
