scenario,,,go,go,go,go,go,go,go,wait,wait,wait,wait,wait,wait,wait
line_volume_limit,,,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP
year,,,2020,2025,2030,2035,2040,2045,2050,2020,2025,2030,2035,2040,2045,2050
generators,capital,offwind,3680570209.8297663,3453289467.0967007,16317972044.24713,24590220584.534927,30768390761.329433,33247702370.380505,34664516732.02878,3680570209.8297663,3456077936.945513,14814735936.5989,36115957995.50522,41806726226.3843,40496549919.99775,40125198806.04557
generators,capital,onwind,19917980053.038136,30295711852.28565,39026145743.50773,43678394403.84584,44163532045.95263,41976255110.50345,42770284402.78807,19917980053.038136,21661590680.132915,33876883866.85544,46038935656.247444,44316027020.4031,41230883846.04282,41131376733.8845
generators,capital,ror,4394961172.33428,4394961172.33428,4394961172.33428,4394961172.33428,4394961172.33428,4394961172.33428,4394961172.33428,4394961172.33428,4394961172.33428,4394961172.33428,4394961172.33428,4394961172.33428,4394961172.33428,4394961172.33428
generators,capital,solar,7688785195.079501,14697709870.444944,25478228025.198112,40861249617.616646,46884334564.657326,49115609981.13871,51370317172.224396,7688785195.079501,10602994592.367502,23595678423.86745,46742029186.2959,56008443763.28213,51159196478.027,45818464365.64822
generators,marginal,offwind,240128870.81433675,226180901.32856733,1026601442.0082479,1470651537.058705,1658090482.7213483,1671585945.8154855,1864318397.2089224,240128870.81433675,227294194.4504337,944593470.4063399,2006638930.5395525,2379897188.4298944,2340199278.1058764,2324444807.2696867
generators,marginal,onwind,556514872.1286192,956497638.7452406,1313907284.853334,1495139820.6466584,1503035988.384437,1439218030.377876,1484395084.3462262,556514872.1286192,648751684.1946074,1130238428.0632036,1541581783.9750886,1532501502.5265598,1453958076.4714386,1449138078.5356665
generators,marginal,ror,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
generators,marginal,solar,1307120.2192395788,3401664.165265261,7009227.3816769915,12524712.073624244,15547730.839934258,17817040.150855865,20698636.931954693,1307120.2192395788,2409293.2944134437,6474028.789659412,14122506.549237585,18510360.767050836,18685526.78499002,18680342.65749269
links,capital,CCGT,15158934014.26648,11941711365.86868,8167208325.139246,3120317351.0271225,1357148556.762636,940698673.063027,937408346.5497802,15158934014.26648,11943090602.812403,8181579558.012089,3161017060.954611,1395694235.471747,978754083.7559341,975297739.2494435
links,capital,H2 Electrolysis,9469468.5177519,9202556.983412916,12322175.070199387,12962340.267824722,15031108.868223954,753912541.0544072,4782911051.390593,9469468.5177519,9691413.740217939,10300911.956278626,16970274.00530626,6220706644.194969,6072688273.65834,5924588088.932153
links,capital,H2 Fuel Cell,8550989.427578116,8057843.187359569,9089103.806786666,8832059.6787067,9161770.277316347,9672195.08399367,8887756.750733353,8550989.427578116,8337077.171712363,7995193.404412177,9867440.43728655,9274044.025031235,8688190.208995707,7949785.158996668
links,capital,OCGT,194720150.84266463,125292200.51836325,72311802.71633993,135790737.7742741,125907894.6545735,125775895.66914798,125500784.88882086,194720150.84266463,126340282.12105864,71932480.57479367,19523329.237180606,9302183.70750168,9347483.66736323,9333277.846282758
