scenario,,go,go,go,go,go,go,go,wait,wait,wait,wait,wait,wait,wait
line_volume_limit,,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP
year,,2020,2025,2030,2035,2040,2045,2050,2020,2025,2030,2035,2040,2045,2050
generators,offwind,80947524.35560471,80293251.75280917,379627099.55413425,550210020.7126591,664793582.5455594,691296287.8806641,772857568.0697274,80947524.35560471,80623251.67932291,347157250.1642627,747388933.977826,927246058.364592,916456312.6971647,919157205.9904351
generators,onwind,359236160.2498751,598964254.4761938,934265468.2313151,1132998182.0481145,1196986057.9684362,1161492953.3644607,1209513809.723902,359236160.2498751,411198872.83890843,813283945.5262876,1212446015.2641332,1252420400.0096729,1200404989.3489084,1211492280.3418941
generators,ror,157833846.79094365,157833815.9969147,157611269.21548632,157631472.465462,156637055.3367242,156430772.04572847,157555501.60253552,157833846.79094365,157824048.77376246,157637234.33026063,157333973.0435192,157671107.8315391,157548447.45383188,157527751.22447693
generators,solar,130722315.45119828,339361913.86095655,697185606.2979455,1242346845.1044295,1552679583.1679208,1755805223.137273,2059059299.3610666,130722315.45119828,216158599.7623742,641074096.2575899,1405555026.046536,1829152306.5483656,1874764156.9859438,1877427146.5487819
links,CCGT,-554815581.8519375,-531949184.46454674,-289347879.6275107,-83472865.17643543,-16159657.14918941,-2498046.076872346,-779972.2838601789,-554815581.8519375,-561927425.3946605,-302490314.1158983,-30030338.187928762,-2789024.809228852,-1094905.444761308,-917264.1160931897
links,H2 Electrolysis,-74475.26579163288,-49084.00531223037,-74062.03580056972,-56788.54699301188,-141963.2509312312,-8005247.044942311,-71666940.18779758,-74475.26579163288,-84784.29966801807,-74502.65782949721,-120154.30064317212,-83889897.45370513,-80511460.58784664,-79386876.66708846
links,H2 Fuel Cell,-65495.48671726459,-44857.40302142996,-62435.848728022684,-57305.026631405824,-92205.07210031265,-104013.11469559566,-43449.62661417984,-65495.48671726459,-70504.88828023148,-65236.07061944758,-81358.83603517458,-29640.826906424303,-49149.87635150892,-60068.88459901631
links,OCGT,-510586.9420374825,-612092.7740458212,-1419697.6659870897,-337984.2361818905,-151151.60241563147,-92077.77568621564,-11140.756647899714,-510586.9420374825,-1208743.1660268472,-664837.2329954867,-214366.99515432896,-7161.308802462578,-40962.89650541877,-59361.24019932418
links,Sabatier,-57001.33273634708,-35916.22025804352,-59103.93339906816,-36342.474431419825,-140265.93641149238,-12710026.35388987,-114625795.63316546,-57001.33273634708,-68713.0139999613,-57153.404532122055,-114830.52224575014,-134195714.58300906,-128771621.66950138,-126961905.08594404
links,battery charger,-70486.48230302252,-36180.12898926466,-1350044.822246918,-16729641.785931833,-26151545.494518984,-29881481.586274132,-35578365.299559474,-70486.48230302252,-76021.30678418545,-415217.1718895106,-22911887.879271895,-31383079.081782434,-32089222.057658046,-32120001.63994737
links,battery discharger,-66963.29132061386,-34552.931645789824,-1296043.2539875715,-16060456.304550242,-25105486.805035107,-28686224.626785766,-34155230.927339874,-66963.29132061386,-72602.21008477558,-398608.74749075616,-21995412.591595087,-30127756.278571,-30805653.489143748,-30835201.943952292
