scenario,go,go,go,go,go,go,go,wait,wait,wait,wait,wait,wait,wait
line_volume_limit,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP
year,2020,2025,2030,2035,2040,2045,2050,2020,2025,2030,2035,2040,2045,2050
penetration,0.051898097970798,0.10980182434535657,0.22092875709874518,0.35156766926302385,0.43165880726935496,0.4721795535948209,0.532504827695786,0.051898097970798,0.07735596724493167,0.20121053130638525,0.4177116740198601,0.5132883516220678,0.5103832976934894,0.5137177992622798
mix,0.6094147087343168,0.4599590666998799,0.5121406774723849,0.42960041935670035,0.42792480783877496,0.4098967352948777,0.38681476417515787,0.6094147087343168,0.4616746493113665,0.5075933378352007,0.46576552383711084,0.4323017580575612,0.42171871128707245,0.42230669142978394
onwind capacity,185723.90938029962,298477.6207359262,401467.6837601707,461627.4832237431,483213.0001903901,463597.46160902653,475737.1465356019,185723.90938029962,213711.45925279186,351290.83260954305,495282.0688758247,492881.95172124734,462857.9657228677,465757.10112471477
onwind expansion,30185.170380299485,119308.80835562656,130190.4920242447,96588.9674635722,68626.07696664706,18605.596418636236,12232.034926575538,30185.170380299485,34542.646872492194,164779.8023567514,180420.40426628146,44640.44284542276,8197.149001620235,2991.4854018468527
offwind capacity,16920.80738850614,16912.82706001849,82956.3596860397,129729.32101476316,168409.39157140686,187777.82569703207,197258.57264001336,16920.80738850614,16905.025745686537,76534.47988433532,187979.584620943,228118.50000864692,222872.17306017302,222872.9747076595
offwind expansion,26.88738850613361,16.569671512354567,66542.1326260212,47481.8113287235,43839.67055664365,29870.754125625284,9480.746942981194,26.88738850613361,8.768357180405445,60128.05413864878,112153.9547366077,45298.5153877039,5255.993051526079,0.8016474865705153
solar capacity,116688.2916140127,266519.6450526542,568078.5748291226,1007870.7065892265,1296712.3235052999,1482379.6761822798,1739398.555251064,116688.2916140127,192807.40418475235,526832.3733778726,1162532.752712237,1533753.5285636203,1561172.929391741,1563826.422767527
solar expansion,254.2916140127103,149831.35343864153,301757.9297764683,441913.1317601037,316634.61691607366,251831.35267697988,277175.8790687842,254.2916140127103,76119.11257073958,334223.9691931205,637821.3793343644,399013.77585138276,93583.40082812084,22810.493375786587
heat pump uti,0.40095539562166255,0.38718611723563917,0.403884610055208,0.43492268108698634,0.444896842531523,0.43419008986347307,0.41859025439924324,0.40095539562166255,0.3760107417082343,0.39079857427595477,0.45461607228197226,0.43589654989907567,0.41965449890155887,0.3993101002194583
heat pump capacity,140782.45946683444,138324.84805304767,149136.09084311343,186985.66864427153,226680.65942170215,256025.82598978182,282202.8497820913,140782.45946683444,138296.8097845921,143451.24954836283,214715.77557071988,258311.54751161922,274691.92549410067,289891.23967769154
heat pump energy,1619148779.8172047,1534111719.2658358,1722846893.166686,2330984679.1066346,2891734973.818875,3189584458.310621,3382345896.1301765,1619148779.8172047,1490530899.4836082,1604373576.414063,2794549447.883377,3210127761.564565,3285412175.493044,3303935139.963428
