scenario,go,go,go,go,go,go,go,wait,wait,wait,wait,wait,wait,wait
line_volume_limit,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP
year,2020,2025,2030,2035,2040,2045,2050,2020,2025,2030,2035,2040,2045,2050
heat,17.413064695084017,19.023938897484843,22.745678559905073,25.688846089087722,27.065508813914576,25.98202951537079,23.726244927374857,17.413064695084017,16.94389859413317,21.417034257200893,29.31760644712407,30.18838197618795,22.32797714198939,17.996549642671525
battery,39.336936825825504,44.54099156953311,52.8352892315454,57.08825528925342,55.65362627700524,53.58496897583245,49.974871269739346,39.336936825825504,41.10459938353259,49.807922236005524,61.426456036447036,58.56280448375627,52.47045020694944,46.62309867145116
nuclear,2.5999999999997763,2.5999999999997763,2.5999999999997763,2.5999999999997763,2.5999999999997763,2.5999999999997763,2.5999999999997763,2.5999999999997763,2.5999999999997763,2.5999999999997763,2.5999999999997763,2.5999999999997763,2.5999999999997763,2.5999999999997763
solid biomass,23.56578067566036,24.507016282233213,23.953129604968204,25.015702386406968,24.96297543811272,25.240682906309928,25.292782882474917,23.56578067566036,23.31734371399043,23.869387028695893,24.876202385747572,25.87928289443924,25.304224219305937,25.16445834075146
gas,20.10003599990142,23.165650247501695,30.02873048759704,39.98599536829604,57.52011687790519,76.60605763421655,93.1708587099192,20.10003599990142,20.100071557001495,27.455073328696166,60.4394096211065,104.81516477500507,82.13473685948297,70.97725069270444
coal,8.15006020868927,13.277209020001232,24.755506957203476,41.40873683959945,70.73403447739314,102.6547037319979,130.35884172298344,8.15006020868927,8.150119677010993,20.45114177060081,75.61646491680565,149.8335978980131,111.90125559001855,93.24069124131223
H2,41.163886438469795,44.00704979059625,51.21006947110795,46.724146242553836,49.76298672512477,48.54904429725214,48.07218077798167,41.163886438469795,42.601394277657704,48.72736577111718,53.55613897039116,56.480199298862175,52.71821054072466,47.40926871122635
water tanks,17.43001610835261,19.08219647084541,22.792766567218717,25.555787455922108,27.031952271589933,25.976427082844054,23.400589843900185,17.43001610835261,17.002104243787926,21.457689245539935,29.28420364220477,29.60788589628003,22.18501666599731,17.95975068277404
oil,50.00004773160663,54.064689690010304,63.16432247288906,76.3664781765092,99.61464974481366,124.92035011900545,146.8833174219835,50.00004773160663,50.000094876203924,59.75195743620587,103.4852866920137,162.32229023000806,132.2507249599911,117.45721776701383
urban heat,14.97912063644684,16.143046872276766,19.19673381982146,20.939217196286325,21.24253488912869,21.20567515323202,20.05781555055303,14.97912063644684,13.834233798805984,18.233901706877695,21.766305072635898,21.347490908599113,20.376213817944112,18.987419851473437
central water tanks,15.119650588451028,16.21097573664916,19.32248709788315,20.81226219187895,21.17044021871927,21.102737028425487,19.862348874619407,15.119650588451028,13.945851014095876,18.371113983636953,21.599650016889672,21.105927291475282,20.254702844717034,18.8804085641922
electricity,39.20169220862842,44.497223118179186,52.84592062429359,57.247827212336844,55.90085394741777,53.881749989516344,50.33588685465769,39.20169220862842,41.0377948287063,49.986839514986784,61.59737714929701,58.84302471196076,52.74361271688872,46.925958799535195
lignite,2.9000728876705417,9.106916243549906,23.00235792260313,43.16248844599361,78.66321906649485,117.3058645540095,150.84404554900306,2.9000728876705417,2.9001448790502686,17.791563104100597,84.57381032259268,174.41987012901308,128.49959055600732,105.90941342097723
cooling,20.648421930404297,18.547828930517543,22.434358250941397,23.583110493267863,23.476801525743507,22.417641892429668,20.273237797591698,20.648421930404297,17.69473319878152,20.96549486636058,25.81215422860942,24.97296549288565,20.21198198087168,17.106000578558643
