scenario,,,go,go,go,go,go,go,go,wait,wait,wait,wait,wait,wait,wait
line_volume_limit,,,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP
year,,,2020,2025,2030,2035,2040,2045,2050,2020,2025,2030,2035,2040,2045,2050
cooling,links,cooling pump,179455.95590398196,179455.95590398196,179455.95590398196,179455.95590398196,179455.95590398196,179455.95590398196,179455.95590398196,179455.95590398196,179455.95590398196,179455.95590398196,179455.95590398196,179455.95590398196,179455.95590398196,179455.95590398196
cooling,loads,cooling,-179455.955904,-179455.955904,-179455.955904,-179455.955904,-179455.955904,-179455.955904,-179455.955904,-179455.955904,-179455.955904,-179455.955904,-179455.955904,-179455.955904,-179455.955904,-179455.955904
electricity,generators,offwind,16912.010978103954,16903.586234909613,82953.10596907996,129721.78144110543,168403.40283155406,187773.19046479376,197257.62251151996,16912.010978103954,16897.236214315868,76531.77781971841,187971.76822248125,228117.47830739443,222871.45431192257,222872.1819695388
electricity,generators,onwind,172074.34598527543,281062.90584575845,379974.0753194726,441673.7013337499,468858.0969779381,451768.4948642411,464046.4973547175,172074.34598527543,199849.08064087882,332485.60182881117,476517.12426447374,478878.1026360764,451687.9901904838,454561.58079910796
electricity,generators,ror,49530.5535452221,49530.68549818789,49534.53358409891,49531.86540203689,49528.176381613484,49526.91696892649,49533.30764246229,49530.5535452221,49530.72587189608,49534.710305953,49530.917775307105,49532.7710513124,49533.152429299385,49533.290855904794
electricity,generators,solar,87084.0374139229,199705.41016990432,407766.2209320823,705855.3460473651,910028.5048543302,1033374.128905912,1219948.6481959955,87084.0374139229,146035.5000128533,379689.65120878775,815906.7488751269,1069989.5748208342,1091293.1733903221,1096068.568449176
electricity,links,CCGT,144599.53713584953,117172.09292098557,82920.34789584471,32373.878140465353,14530.121835998232,10096.26057388813,8534.059628138295,144599.53713584953,117176.99535954562,82469.28339506961,32036.730292034354,12288.484072874691,8950.903513511006,8205.195341117565
electricity,links,H2 Electrolysis,-92.30825524218001,-102.21223965451001,-139.13234089447997,-167.03539679529004,-195.97267785458993,-8253.66780023986,-66812.29180650653,-92.30825524218001,-94.58863808986,-141.065535859058,-245.81553454944998,-82850.95648330293,-82851.37077835352,-82851.40848820716
electricity,links,H2 Fuel Cell,23.802456959244996,27.256080864153397,35.99133278747749,35.598523017055804,42.31561444614538,49.437675668563,56.5708711133966,23.802456959244996,28.366339911238722,36.21466548941915,44.80513145783521,50.692592066923204,51.739238922101,51.672137472566384
electricity,links,OCGT,2493.1076714341643,2720.3804598003467,1572.4162688880347,790.2071717180884,565.8368885666287,531.459471779501,497.2720626421254,2493.1076714341643,2729.3868138689472,1582.1032859914703,380.72611782283593,65.49883399723004,149.27775240247178,152.9719212804849
electricity,links,battery charger,-398.9541888745399,-1518.6143280507397,-19509.49955091245,-221298.31003526843,-351684.0517652258,-406247.05026941124,-497209.47027807834,-398.9541888745399,-1315.5555987988996,-7937.93101540751,-303140.57544623525,-427050.90414709673,-436541.3362091985,-443074.7076531961
