scenario,,,go,go,go,go,go,go,go,wait,wait,wait,wait,wait,wait,wait
line_volume_limit,,,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP
year,,,2020,2025,2030,2035,2040,2045,2050,2020,2025,2030,2035,2040,2045,2050
cooling,links,cooling pump,70498189.71532816,70498189.71532816,70498189.71532816,70498189.71532816,70498189.71532816,70498189.71532816,70498189.71532816,70498189.71532816,70498189.71532816,70498189.71532816,70498189.71532816,70498189.71532816,70498189.71532816,70498189.71532816
cooling,loads,cooling,-70498189.71532698,-70498189.71532698,-70498189.71532698,-70498189.71532698,-70498189.71532698,-70498189.71532698,-70498189.71532698,-70498189.71532698,-70498189.71532698,-70498189.71532698,-70498189.71532698,-70498189.71532698,-70498189.71532698,-70498189.71532698
electricity,generators,offwind,80947524.35560471,80293251.75280917,379627099.55413425,550210020.7126591,664793582.5455594,691296287.8806641,772857568.0697274,80947524.35560471,80623251.67932291,347157250.1642627,747388933.977826,927246058.364592,916456312.6971647,919157205.9904351
electricity,generators,onwind,359236160.2498751,598964254.4761938,934265468.2313151,1132998182.0481145,1196986057.9684362,1161492953.3644607,1209513809.723902,359236160.2498751,411198872.83890843,813283945.5262876,1212446015.2641332,1252420400.0096729,1200404989.3489084,1211492280.3418941
electricity,generators,ror,157833846.79094365,157833815.9969147,157611269.21548632,157631472.465462,156637055.3367242,156430772.04572847,157555501.60253552,157833846.79094365,157824048.77376246,157637234.33026063,157333973.0435192,157671107.8315391,157548447.45383188,157527751.22447693
electricity,generators,solar,130722315.45119828,339361913.86095655,697185606.2979455,1242346845.1044295,1552679583.1679208,1755805223.137273,2059059299.3610666,130722315.45119828,216158599.7623742,641074096.2575899,1405555026.046536,1829152306.5483656,1874764156.9859438,1877427146.5487819
electricity,links,CCGT,798393154.3722986,797923776.6968236,452569760.4430299,133339771.6454745,26365756.40130896,4163410.1281206044,1328060.9157619441,798393154.3722986,842891138.0919976,473125875.9248651,47970540.222275846,4550514.162426009,1824842.4079355008,1561828.089564083
electricity,links,H2 Electrolysis,-372376.32895816443,-245420.0265611517,-370310.1790028491,-283942.73496505985,-709816.2546561565,-40026235.2247113,-358334700.93898904,-372376.32895816443,-423921.49834009126,-372513.28914748796,-600771.5032158609,-419449487.2685298,-402557302.9392323,-396934383.3354465
electricity,links,H2 Fuel Cell,90446.14832384158,61945.9375057842,86220.93395774554,79135.5129671795,127330.81385281277,143637.15838915578,60001.865324343424,90446.14832384158,97363.89333936712,90087.90704590378,112352.678334289,40932.570489824,67873.63877113123,82952.26920816569
electricity,links,OCGT,369735.37182024587,452416.3982077809,1070999.993639389,260217.95175065973,118761.97332656747,73828.12645110975,9115.164530099766,369735.37182024587,893418.861845928,501543.8775229115,165043.61573828955,5626.742630506333,32844.12422506548,48568.28743581052
electricity,links,battery charger,-1409729.6460604912,-804236.7905931089,-33751120.55617006,-418241044.6482923,-653788637.3629576,-747037039.6568574,-889459132.4890308,-1409729.6460604912,-1689853.8919789311,-10380429.297237126,-572797196.9818265,-784576977.0445623,-802230551.4414381,-803000040.9986516
