,2020,2025,2030,2035,2040,2045,2050
AT,,,,,,,
BA,,,,,,,
BE,0.22,0.23,1.0,1.0,1.0,1.0,1.0
BG,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CH,,,,,,,
CZ,,,,,,,
DE,0.1,0.1,1.0,1.0,1.0,1.0,1.0
DK,0.01,0.01,0.01,0.01,0.0,0.0,0.0
EE,0.0,0.0,0.0,0.0,0.03,0.04,0.04
ES,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FI,0.0,0.0,0.0,0.0,0.01,0.01,0.03
FR,0.0,0.0,0.0,0.22,0.62,0.78,0.78
GB,0.04,0.04,0.04,0.15,0.18,0.2,0.23
GR,0.0,0.0,0.0,0.0,0.07,0.14,0.14
HR,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HU,,,,,,,
IE,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IT,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT,0.0,0.0,0.0,0.47,0.51,0.57,0.59
LU,,,,,,,
LV,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NL,0.01,0.01,0.03,0.12,0.15,0.18,0.19
NO,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PL,0.0,0.0,0.97,1.0,1.0,1.0,1.0
PT,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RO,0.0,0.0,0.0,0.39,0.87,1.0,1.0
RS,,,,,,,
SE,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SI,,,,,,,
SK,,,,,,,
