,2020,2025,2030,2035,2040,2045,2050
AT,0.0,0.0,0.05,0.06,0.1,0.12,0.14
BA,0.0,0.0,0.01,0.01,0.02,0.03,0.03
BE,0.01,0.01,0.04,0.07,0.11,0.12,0.14
BG,0.0,0.0,0.02,0.02,0.04,0.05,0.07
CH,0.01,0.01,0.06,0.09,0.12,0.13,0.13
CZ,0.0,0.0,0.02,0.03,0.04,0.05,0.06
DE,0.02,0.02,0.02,0.03,0.05,0.07,0.09
DK,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EE,0.0,0.0,0.0,0.0,0.0,0.01,0.01
ES,0.0,0.02,0.03,0.06,0.07,0.07,0.07
FI,0.0,0.0,0.0,0.0,0.01,0.01,0.02
FR,0.0,0.0,0.02,0.02,0.03,0.03,0.04
GB,0.01,0.01,0.01,0.01,0.02,0.03,0.04
GR,0.01,0.02,0.04,0.08,0.08,0.08,0.1
HR,0.0,0.04,0.05,0.1,0.12,0.12,0.15
HU,0.0,0.0,0.01,0.02,0.03,0.03,0.03
IE,0.0,0.0,0.0,0.01,0.02,0.03,0.03
IT,0.01,0.04,0.06,0.13,0.14,0.16,0.19
LT,0.0,0.0,0.0,0.01,0.01,0.01,0.01
LU,0.01,0.01,0.26,0.36,0.52,0.57,0.66
LV,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NL,0.01,0.01,0.02,0.04,0.07,0.08,0.11
NO,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PL,0.0,0.0,0.01,0.02,0.02,0.02,0.02
PT,0.0,0.02,0.02,0.04,0.04,0.05,0.05
RO,0.0,0.0,0.01,0.01,0.01,0.01,0.02
RS,0.0,0.0,0.02,0.03,0.04,0.04,0.05
SE,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SI,0.0,0.0,0.01,0.03,0.03,0.03,0.07
SK,0.0,0.0,0.03,0.04,0.06,0.07,0.08
