scenario,,,go,go,go,go,go,go,go,wait,wait,wait,wait,wait,wait,wait
line_volume_limit,,,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP
year,,,2020,2025,2030,2035,2040,2045,2050,2020,2025,2030,2035,2040,2045,2050
generators,capital,offwind,3680440426.077041,3452852537.178301,9155448103.368874,24050827118.031612,35856988091.88044,38695717821.27103,41162041902.65897,3680440426.077041,3455070715.487155,4438225675.58446,41919816852.16534,51001765059.09432,49607574291.25315,49152474606.72107
generators,capital,onwind,19922878055.51344,31053098859.195892,42625120434.40309,44512357850.3286,48000116478.37645,46090369113.45857,47591840122.918976,19922878055.51344,28946909044.49726,40941634018.37726,49246418738.652176,47981727682.614746,44781152643.97368,44785870736.48266
generators,capital,ror,4394961172.33428,4394961172.33428,4394961172.33428,4394961172.33428,4394961172.33428,4394961172.33428,4394961172.33428,4394961172.33428,4394961172.33428,4394961172.33428,4394961172.33428,4394961172.33428,4394961172.33428,4394961172.33428
generators,capital,solar,7689324982.047462,15295613610.90196,44198524789.80954,64625414173.98188,74544794081.39627,82487238922.10869,88320067478.43295,7689324982.047462,12517822855.829533,36950583928.01526,76352437665.11145,94183656490.60406,89332929753.76897,80456679281.50337
generators,marginal,offwind,240130473.54674217,227421976.9000391,586686395.0514166,1419537628.0357912,1658548138.9228206,1895288042.7087817,2143484997.0818799,240130473.54674217,227374598.2205035,288081496.07466173,2044646877.8622134,2772992662.777609,2683305939.837046,2644812280.5884867
generators,marginal,onwind,556733630.7973444,986203873.3945299,1450783564.9279141,1522159891.983579,1603116020.687753,1549818516.8815634,1603255553.80232,556733630.7973444,907944553.5218905,1385273698.8496945,1634893161.1208487,1634335331.7445805,1536370090.503704,1533309438.305831
generators,marginal,ror,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
generators,marginal,solar,1307293.8906873898,3569926.1301227505,12138477.909262177,19276223.083211105,24148138.089777116,29369155.10180457,34626803.61416576,1307293.8906873898,2897584.4023558563,10339058.182320809,22383818.128746346,30400914.60928874,31644028.467331566,31801867.15567208
links,capital,BEV charger,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
links,capital,CCGT,15158867294.850178,12325373076.726736,9260022365.280264,4633065845.333279,2889236509.0066104,2467871990.2064347,2459161844.238851,15158867294.850178,12065055728.410578,9526834386.852184,4593175172.65384,2823321404.777934,2401087227.711,2392576798.392671
links,capital,H2 Electrolysis,8604660.890499074,8277624.855507894,9945003.154824002,13561785.486767324,31023071.851348877,5088316964.8275175,12128173515.41529,8604660.890499074,10596544.765885247,10540345.895815281,29374134.46781624,11888291706.302296,11605256698.790426,11322207415.3314
links,capital,H2 Fuel Cell,7590833.700138071,7035692.644735617,7780536.684030138,10414436.944325473,14988889.508155702,14747449.889930686,13511665.768930677,7590833.700138071,8689168.175985565,8289218.352804879,14660408.906427769,14816385.6427875,13820220.187171271,12643890.57387781
