scenario,,go,go,go,go,go,go,go,wait,wait,wait,wait,wait,wait,wait
line_volume_limit,,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP
year,,2020,2025,2030,2035,2040,2045,2050,2020,2025,2030,2035,2040,2045,2050
generators,offwind,80925387.39649782,80676367.35927542,219685310.1405907,553695094.9961078,675048931.695863,779881881.3336052,891811234.4128691,80925387.39649782,80659560.10165103,107872405.67489377,797520914.4951729,1128641183.6223464,1104139126.8225808,1100391795.5819652
generators,onwind,371155753.8648961,692072893.6101964,1074654492.5391953,1174506089.4935024,1290753639.8452113,1261553534.2951279,1319551896.133596,371155753.8648961,637154072.6469408,1026128665.8145884,1261491636.6673212,1315889961.147006,1250606504.2765198,1261983076.7949228
generators,ror,157837652.28328687,157861508.90642607,157616142.65703857,157276562.9695623,156089969.47403744,155979184.25891826,157633071.33736676,157837652.28328687,157831671.3971165,157600047.03292772,156812375.90583453,157571950.49240172,157632588.95433912,157558845.5084963
generators,solar,130729389.06873892,356992613.01227516,1213847790.926218,1927622308.3211105,2414813808.9777117,2936915510.180458,3462680361.416576,130729389.06873892,289758440.2355857,1033905818.2320809,2238381812.874635,3040091460.928874,3164402846.7331567,3180186715.5672073
links,BEV charger,-97.52588044013206,-29070290.898466766,-76724388.03226931,-110278700.96017703,-128411184.4705498,-139010179.96394926,-143127830.07504252,-97.52588044013206,-13221363.526447045,-65725795.97148448,-128281874.10451321,-141831535.27533144,-142100947.70403725,-141812227.99671692
links,CCGT,-590686156.299209,-599512110.4301212,-340663720.65970886,-121615998.60134183,-38035172.14364942,-10458644.441447364,-6086941.523853378,-590686156.299209,-583838953.719398,-385594838.41776896,-58112237.93314568,-7883344.015512238,-6239235.762972553,-6201240.534951854
links,H2 Electrolysis,-76120.22362645481,-24803.137039063164,-85617.59498240809,-110754.55025859359,-349985.7110402341,-72330602.93182898,-177857159.30019537,-76120.22362645481,-97890.55891339848,-89556.17979784156,-291168.43786343496,-164786102.74628344,-165091383.70905742,-164577737.88145933
links,H2 Fuel Cell,-63088.91457860975,-22864.28955217554,-70992.15914198729,-104893.89870984503,-166616.08482126208,-158745.2501220175,-54321.60106919281,-63088.91457860975,-74506.6953968316,-76802.14452026872,-159826.8298127443,-54383.583000544444,-54491.80019971349,-56256.83635268719
links,OCGT,-870920.6660127405,-11612548.765914558,-24204047.114890084,-23945463.29026184,-26344898.267691147,-17987753.250196468,-11380127.21651456,-870920.6660127405,-6857676.995835916,-22580534.722875606,-15948033.115910754,-9882188.270275256,-9880517.513438128,-10466249.82394894
links,Sabatier,-61807.96186776353,-17948.260187411837,-69548.07129777473,-77887.63073516259,-401887.96513763885,-115579514.10885662,-284519836.3766215,-61807.96186776353,-85877.46559833485,-70736.48401620598,-313864.7577866097,-263606091.82808703,-264094429.9958778,-263270918.47910732
links,V2G,-72.1252805518732,-1131434.4736026386,-11890687.011538696,-21303668.747994814,-26469489.933862165,-30495274.2293206,-29638365.225330457,-72.1252805518732,-1633002.9860740216,-9533191.850538172,-26543217.682742584,-28471700.009083997,-28714171.021831363,-28454323.343527354
