scenario,go,go,go,go,go,go,go,wait,wait,wait,wait,wait,wait,wait
line_volume_limit,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP
year,2020,2025,2030,2035,2040,2045,2050,2020,2025,2030,2035,2040,2045,2050
penetration,0.05189206471769368,0.10298690422800358,0.2616987660164228,0.3913895608713173,0.5060064384273235,0.5738087140912088,0.6572012775428013,0.05189206471769368,0.09176052894899038,0.22795641968407104,0.48828634290925,0.6260855297009179,0.6342186313428133,0.6407397932325399
mix,0.6094007510692999,0.44071720410269266,0.3324126473226887,0.32889727291424775,0.34769452155104397,0.3172955777738145,0.295374049283069,0.6094007510692999,0.4768595532209343,0.2987489656397931,0.3877520278871851,0.34697414567474066,0.33224814606364184,0.33204140739608823
onwind capacity,185715.5109347711,308702.69911554473,441763.78551561193,470050.6266862224,528818.9477877942,508457.3181899437,527292.4507031078,185715.5109347711,286302.4960731835,432530.47698825935,526045.6436235795,526754.6182913578,495422.6715600851,499614.75518870226
onwind expansion,30176.771934770957,129542.2851807736,160261.51540006732,64716.00917061032,105808.88110157193,17859.505402149458,18927.48251316401,30176.771934770957,107142.08213841238,173428.40991507587,129944.33463532009,47749.53466777822,6889.188268727397,4284.433628617099
offwind capacity,16919.194580640487,16898.335045190965,48347.02266013942,126087.08304036042,192347.3820366724,213112.77967784437,227148.3743431065,16919.194580640487,16902.668090411462,19553.740706088858,221006.18217758165,277348.92547614983,272102.4397759797,272102.77231492253
offwind expansion,25.274580640488864,3.6904645504794082,31947.28761494845,78448.91038022099,71419.89899631201,31267.71764117191,14035.594665262191,25.274580640488864,8.02350977096929,3149.6726156774107,202161.29147149273,61502.343298568165,5255.83429982991,0.3341373715934412
solar capacity,116693.69522937336,282564.3241124228,987364.0715403222,1597608.4866858851,2055219.2410449376,2491416.8819874395,2978346.816389062,116693.69522937336,231299.58724970854,831721.1096026698,1882375.6052223383,2587811.0988724395,2708898.843023904,2725234.4600333865
solar expansion,259.69522937336933,165870.62888304944,704998.7474278997,612365.4151455626,485403.75435905333,502361.6409425014,507086.9344016219,259.69522937336933,114605.89202033517,600620.5223529612,1052775.4956196689,733228.4936501015,187251.74415146356,36492.61700948227
heat pump uti,0.4009829519692976,0.38317206807530496,0.39475428317396843,0.4363195857893979,0.47527292200322946,0.4711882610294974,0.46243331857363185,0.4009829519692976,0.38315583376154827,0.38895300511139264,0.4715440197394333,0.4583901238019917,0.45882374622977834,0.45916018454169416
heat pump capacity,140779.34291229173,138222.6872246642,136388.14578329594,149844.94735448633,190393.90703639132,209038.90560198593,227174.08484681233,140779.34291229173,138223.47909612613,135665.55407162575,189430.75501030142,225424.6728062548,225633.5262085487,225711.49325338413
heat pump energy,1619229361.262983,1521470106.9346359,1547797082.3502488,1885802602.6415994,2589930697.163219,2800748152.6056376,2967464020.1663094,1619229361.262983,1521978954.61528,1518141438.6621454,2555421872.9292874,2916977313.2365193,2922448228.9296155,2926030059.786841
