scenario,go,go,go,go,go,go,go,wait,wait,wait,wait,wait,wait,wait
line_volume_limit,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP
year,2020,2025,2030,2035,2040,2045,2050,2020,2025,2030,2035,2040,2045,2050
water tanks,18.60847928563904,19.20534031526772,23.138012946810537,28.19102132484365,32.84935808551276,32.619366578274125,31.051340827107712,18.60847928563904,19.464489277689463,21.68330204488014,34.362438557699996,35.4225065854043,32.6522210374939,28.95079236734349
lignite,2.9000059217797243,2.9000018843104884,12.750835564201754,34.68727717100293,92.76390165989778,135.12629157500712,158.3667323160089,2.9000059217797243,2.900013574740129,8.242809710938424,95.3900187505922,171.33278159098825,155.04332617600417,130.1347660990214
heat,18.653501045669195,19.215906731293604,23.159807116588315,28.19679760540394,32.90735927295602,32.61376921311213,31.387946345109548,18.653501045669195,19.470083762320467,21.730025727143065,34.36367497092703,35.8987841788507,33.07214166890904,29.30655868968795
coal,8.150004891670422,8.150001556530576,16.28726027189987,34.407807877293514,82.38187120420693,117.37522686701324,136.57293998599786,8.150004891670422,8.150011213379914,12.563415787702349,84.55116924309246,147.2835154459823,133.82764791697903,113.25198862200918
solid biomass,23.042206624447946,24.70317505705487,23.374354697343772,24.76437390072889,24.932072656102157,25.244903886545952,25.3351173877356,23.042206624447946,23.467389116976847,24.10036706099628,24.924407084103336,25.75100678815158,25.591413835984486,25.39960531830737
H2,41.31445082027235,41.87195295374233,47.65338742939103,50.48615311789887,50.75057681497696,50.95389471010261,50.507034716129056,41.31445082027235,45.76506261499192,45.60454500919541,54.05567197859992,58.093954421642515,53.115541011842105,47.640847723982795
oil,50.000003878009984,50.00000123400219,56.45096343889669,70.81636238020404,108.84868753599116,136.59031683697904,151.8096586420001,50.000003878009984,50.000008889593865,53.49881691568764,110.56843863998708,160.30066524600838,149.6332776280133,133.32154352901088
electricity,39.83449622425035,44.37671844096116,49.13952300110619,55.37385803890172,57.44406397770206,55.44114413227063,51.81808364414043,39.83449622425035,44.35063601465517,47.06620480928479,62.65606660622727,61.194461423285624,56.44427059652385,50.53606650461783
gas,20.100002924797426,20.10000093069839,24.965413886798427,35.800014355603125,64.48456740159217,85.40772248090614,96.88637953289269,20.100002924797426,20.10000670470276,22.738860469495645,65.78162961300808,103.29042473201748,95.24492015840768,82.94236436909294
central water tanks,12.653094913542352,10.07078590937817,13.143870328161825,16.113847011109108,16.893331655484484,16.374247418232176,15.281787185442404,12.653094913542352,10.535116380319717,11.767089976147941,17.6134415380876,15.674709830123264,14.698540875416333,13.380148021820792
battery,39.713821313425875,44.47161203874705,49.143102520791544,55.379310477835375,57.32346278384094,55.18453299260652,51.437801220225495,39.713821313425875,44.31347023795731,47.11223371956922,62.598162147754465,60.88959921291969,56.111481944356306,50.169874607404616
EV battery,-2670.9711135345406,47.97537554033099,50.64840340870733,56.772716252007626,59.60380372759885,57.68584486588106,53.91226060286979,-2670.9711135345406,46.4622330456136,48.79934447962748,64.72369829399193,63.63797559291306,58.78606739918449,52.668485426421206
cooling,22.769165587714472,18.314677099598658,21.94558105249491,24.53890671612427,26.351377998250126,25.888802695007705,24.26253759073183,22.769165587714472,20.246234730764847,20.482928801952777,28.240334991836,28.058201782589272,25.83704018784619,22.978981795072944
urban heat,12.465867929707061,9.941274204918454,12.97126734200666,15.93125842031909,16.823823590741405,16.54463653769623,15.614257651418146,12.465867929707061,10.358670229548778,11.62094516714499,17.580494425799596,15.890998067027194,14.900208488687323,13.558100395719979
nuclear,2.5999999999997763,2.5999999999997763,2.5999999999997763,2.5999999999997763,2.5999999999997763,2.5999999999997763,2.5999999999997763,2.5999999999997763,2.5999999999997763,2.5999999999997763,2.5999999999997763,2.5999999999997763,2.5999999999997763,2.5999999999997763
