scenario,,,go,go,go,go,go,go,go,wait,wait,wait,wait,wait,wait,wait
line_volume_limit,,,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP
year,,,2020,2025,2030,2035,2040,2045,2050,2020,2025,2030,2035,2040,2045,2050
cooling,links,cooling pump,179455.95590398196,179455.95590398196,179455.95590398196,179455.95590398196,179455.95590398196,179455.95590398196,179455.95590398196,179455.95590398196,179455.95590398196,179455.95590398196,179455.95590398196,179455.95590398196,179455.95590398196,179455.95590398196
cooling,loads,cooling,-179455.955904,-179455.955904,-179455.955904,-179455.955904,-179455.955904,-179455.955904,-179455.955904,-179455.955904,-179455.955904,-179455.955904,-179455.955904,-179455.955904,-179455.955904,-179455.955904
electricity,generators,offwind,16905.71632973187,16886.54285330291,47685.34088011961,129689.7167905241,200390.87197637692,218239.783742408,234305.34303007487,16905.71632973187,16890.193841262742,23110.633244897934,226051.3706467327,285034.9946426184,279789.0030330682,279789.29484278103
electricity,generators,onwind,171986.14061437364,288440.9877688812,422833.2830673338,453239.74321118527,512080.8963463643,500599.842280006,521274.0826600335,171986.14061437364,268284.71572492906,406012.2648292548,509759.6717426562,515901.6538976921,486983.07118809107,490556.8280900983
electricity,generators,ror,49531.63074667009,49535.487845149495,49530.723551162606,49531.168649501895,49527.24763129049,49525.12132188439,49533.8675155802,49531.63074667009,49531.41413109009,49528.865765021896,49529.805794132095,49533.7518478995,49533.83201307489,49533.81135693839
electricity,generators,solar,87094.81611744055,209244.71854391752,734020.9998756803,1157895.2689581001,1488582.149864613,1813852.341111912,2169271.4545759195,87094.81611744055,171428.66688682098,612947.3133804111,1369336.0443131858,1875090.7255798373,1965635.3885274464,1979535.4229465285
electricity,links,BEV charger,-0.18035803293689,-255752.47789989694,-583576.3167484801,-824276.9967469801,-999985.82941537,-1100907.2227130402,-1201106.1876174898,-0.18035803293689,-149211.13231294497,-492163.33941501816,-964844.9296089,-1147863.6579523403,-1160983.5366367397,-1161026.5111627702
electricity,links,CCGT,144602.3308182274,120934.52587828714,93512.48497319873,47308.995530836335,29832.914395433032,25763.020221658953,25331.60260799988,144602.3308182274,118373.44876050616,96208.50721246454,46896.34319256814,28553.95482984278,24774.262964017827,25011.557244152234
electricity,links,H2 Electrolysis,-68.23155299903001,-68.19395378008998,-116.06763125976998,-168.72079218124003,-419.6956558652899,-73087.8030726257,-178603.86424122303,-68.23155299903001,-99.06176999773,-120.77781662708003,-385.1739555308399,-166734.31385970925,-166734.63759598215,-166734.6628089499
electricity,links,H2 Fuel Cell,19.2974102203222,25.016724919459676,29.78919199511874,47.118677535692605,73.90292380992899,78.79619131526019,87.43371293738738,19.2974102203222,26.787987944923454,32.48355898138574,66.4462885548736,80.7234714766718,81.74794791695881,81.7148830753624
electricity,links,OCGT,2490.586877777872,6965.447023165887,25114.50114642651,32116.847811573643,47569.014561075266,48058.329969499246,48604.942456334495,2490.586877777872,7942.74751823472,21657.406266536196,27336.273344305388,28378.845677502795,28702.160888802293,31086.29599881194
