scenario,,,go,go,go,go,go,go,go,wait,wait,wait,wait,wait,wait,wait
line_volume_limit,,,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP
year,,,2020,2025,2030,2035,2040,2045,2050,2020,2025,2030,2035,2040,2045,2050
cooling,links,cooling pump,70498189.71532816,70498189.71532816,70498189.71532816,70498189.71532816,70498189.71532816,70498189.71532816,70498189.71532816,70498189.71532816,70498189.71532816,70498189.71532816,70498189.71532816,70498189.71532816,70498189.71532816,70498189.71532816
cooling,loads,cooling,-70498189.71532698,-70498189.71532698,-70498189.71532698,-70498189.71532698,-70498189.71532698,-70498189.71532698,-70498189.71532698,-70498189.71532698,-70498189.71532698,-70498189.71532698,-70498189.71532698,-70498189.71532698,-70498189.71532698,-70498189.71532698
electricity,generators,offwind,80925387.39649782,80676367.35927542,219685310.1405907,553695094.9961078,675048931.695863,779881881.3336052,891811234.4128691,80925387.39649782,80659560.10165103,107872405.67489377,797520914.4951729,1128641183.6223464,1104139126.8225808,1100391795.5819652
electricity,generators,onwind,371155753.8648961,692072893.6101964,1074654492.5391953,1174506089.4935024,1290753639.8452113,1261553534.2951279,1319551896.133596,371155753.8648961,637154072.6469408,1026128665.8145884,1261491636.6673212,1315889961.147006,1250606504.2765198,1261983076.7949228
electricity,generators,ror,157837652.28328687,157861508.90642607,157616142.65703857,157276562.9695623,156089969.47403744,155979184.25891826,157633071.33736676,157837652.28328687,157831671.3971165,157600047.03292772,156812375.90583453,157571950.49240172,157632588.95433912,157558845.5084963
electricity,generators,solar,130729389.06873892,356992613.01227516,1213847790.926218,1927622308.3211105,2414813808.9777117,2936915510.180458,3462680361.416576,130729389.06873892,289758440.2355857,1033905818.2320809,2238381812.874635,3040091460.928874,3164402846.7331567,3180186715.5672073
electricity,links,BEV charger,-975.2588044013313,-290702908.9846663,-767243880.3226982,-1102787009.6017647,-1284111844.7055047,-1390101799.6394916,-1431278300.750426,-975.2588044013313,-132213635.26447015,-657257959.7148434,-1282818741.0451455,-1418315352.7533371,-1421009477.0403762,-1418122279.9671564
electricity,links,CCGT,850011785.8939825,899268165.6451792,532832998.98057145,194269712.0514953,62057386.129112005,17431074.06907894,10364251.783858504,850011785.8939825,875758430.5790952,603109875.4739476,92828639.81528416,12862298.130572513,10398726.271620927,10558869.018972103
electricity,links,H2 Electrolysis,-380601.1181322724,-124015.68519531605,-428087.9749120412,-553772.7512929684,-1749928.5552011826,-361653014.65914565,-889285796.5009727,-380601.1181322724,-489452.7945669923,-447780.89898920566,-1455842.1893171805,-823930513.731416,-825456918.5452875,-822888689.4072967
electricity,links,H2 Fuel Cell,87122.78679903224,31574.495095861475,98036.7911960778,144853.47917073875,230088.87903888608,219219.63112088147,75015.544333647,87122.78679903224,102890.1984051484,106060.10433751396,220713.24116997918,75101.13842932324,75250.58122817567,77688.01210609199
electricity,links,OCGT,630666.6891816395,8583188.218284706,18259193.437548608,18435887.66595392,20699562.92461437,14422612.966373768,9311013.177148277,630666.6891816395,5068717.779530909,17034438.47515174,12278574.168887014,7764576.498073392,7922216.745008882,8563295.310503608
