,2020,2025,2030,2035,2040,2045,2050
AT,,,,,,,
BA,,,,,,,
BE,0.22,0.23,1.0,1.0,1.0,1.0,1.0
BG,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CH,,,,,,,
CZ,,,,,,,
DE,0.1,0.1,0.58,1.0,1.0,1.0,1.0
DK,0.01,0.01,0.01,0.01,0.0,0.0,0.0
EE,0.0,0.0,0.0,0.0,0.05,0.06,0.07
ES,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FI,0.0,0.0,0.0,0.0,0.05,0.06,0.07
FR,0.0,0.0,0.0,0.16,0.62,0.73,0.73
GB,0.04,0.04,0.04,0.15,0.25,0.31,0.36
GR,0.0,0.0,0.0,0.05,0.12,0.14,0.14
HR,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HU,,,,,,,
IE,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IT,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT,0.0,0.0,0.0,0.36,0.6,0.75,0.8
LU,,,,,,,
LV,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NL,0.01,0.01,0.01,0.11,0.19,0.22,0.25
NO,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PL,0.0,0.0,0.24,1.0,1.0,1.0,1.0
PT,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RO,0.0,0.0,0.0,0.25,1.0,1.0,1.0
RS,,,,,,,
SE,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SI,,,,,,,
SK,,,,,,,
