,2020,2025,2030,2035,2040,2045,2050
AT,0.05,0.05,0.04,0.03,0.02,0.0,0.0
BA,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BE,0.07,0.07,0.14,0.33,0.57,0.68,0.68
BG,0.01,0.01,0.01,0.01,0.0,0.0,0.0
CH,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CZ,0.0,0.0,0.0,0.0,0.11,0.13,0.13
DE,0.22,0.22,0.32,0.35,0.47,0.43,0.43
DK,0.36,0.4,0.53,0.54,0.58,0.63,0.93
EE,0.01,0.01,0.08,0.11,0.11,0.11,0.11
ES,0.08,0.07,0.05,0.02,0.01,0.0,0.0
FI,0.01,0.02,0.06,0.1,0.11,0.12,0.12
FR,0.04,0.23,0.31,0.36,0.35,0.33,0.33
GB,0.12,0.25,0.45,0.44,0.42,0.39,0.39
GR,0.06,0.06,0.05,0.03,0.01,0.0,0.0
HR,0.02,0.02,0.02,0.02,0.01,0.0,0.0
HU,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IE,0.06,0.06,0.12,0.14,0.17,0.17,0.18
IT,0.06,0.06,0.05,0.03,0.01,0.0,0.0
LT,0.01,0.01,0.01,0.01,0.0,0.0,0.0
LU,0.03,0.03,0.03,0.02,0.02,0.01,0.01
LV,0.0,0.0,0.02,0.05,0.08,0.08,0.08
NL,0.12,0.71,1.0,0.97,0.94,0.91,0.91
NO,0.01,0.01,0.06,0.06,0.06,0.05,0.05
PL,0.03,0.02,0.02,0.04,0.22,0.22,0.22
PT,0.11,0.11,0.1,0.05,0.01,0.0,0.0
RO,0.03,0.02,0.02,0.02,0.0,0.0,0.0
RS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SE,0.04,0.08,0.09,0.09,0.08,0.08,0.1
SI,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SK,0.0,0.0,0.0,0.0,0.0,0.0,0.0
