,2020,2025,2030,2035,2040,2045,2050
AT,0.0,0.0,0.08,0.1,0.16,0.19,0.22
BA,0.0,0.0,0.02,0.03,0.04,0.06,0.06
BE,0.01,0.01,0.08,0.12,0.18,0.21,0.26
BG,0.0,0.0,0.03,0.04,0.06,0.07,0.08
CH,0.01,0.01,0.09,0.13,0.18,0.19,0.19
CZ,0.0,0.0,0.03,0.05,0.06,0.08,0.1
DE,0.02,0.02,0.04,0.07,0.11,0.13,0.17
DK,0.0,0.0,0.0,0.0,0.0,0.0,0.01
EE,0.0,0.0,0.0,0.01,0.01,0.02,0.02
ES,0.0,0.02,0.04,0.08,0.09,0.1,0.1
FI,0.0,0.0,0.0,0.0,0.03,0.04,0.06
FR,0.0,0.01,0.04,0.05,0.05,0.07,0.09
GB,0.01,0.01,0.01,0.04,0.06,0.08,0.11
GR,0.01,0.02,0.06,0.1,0.1,0.12,0.14
HR,0.0,0.03,0.08,0.09,0.14,0.16,0.22
HU,0.0,0.0,0.02,0.02,0.04,0.05,0.06
IE,0.0,0.0,0.01,0.02,0.04,0.04,0.05
IT,0.01,0.04,0.11,0.17,0.2,0.25,0.27
LT,0.0,0.0,0.0,0.01,0.01,0.01,0.01
LU,0.01,0.01,0.33,0.39,0.67,0.71,0.82
LV,0.0,0.0,0.0,0.0,0.0,0.0,0.01
NL,0.01,0.01,0.05,0.09,0.12,0.15,0.21
NO,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PL,0.0,0.0,0.02,0.03,0.03,0.04,0.05
PT,0.0,0.02,0.05,0.07,0.08,0.1,0.1
RO,0.0,0.0,0.01,0.01,0.02,0.02,0.02
RS,0.0,0.0,0.03,0.04,0.06,0.06,0.07
SE,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SI,0.0,0.0,0.03,0.07,0.09,0.11,0.18
SK,0.0,0.0,0.04,0.05,0.08,0.1,0.11
