scenario,,,go,go,go,go,go,go,go,wait,wait,wait,wait,wait,wait,wait
line_volume_limit,,,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP
year,,,2020,2025,2030,2035,2040,2045,2050,2020,2025,2030,2035,2040,2045,2050
generators,capital,offwind,3680871015.6770787,3595352017.84452,16002601188.814585,22263613014.351135,23256458870.18117,25772195496.980995,26924239844.137753,3680871015.6770787,3455110639.293282,14174393839.575424,31028226223.09902,36568785473.09687,34373972084.92522,34058598136.549927
generators,capital,onwind,19915599654.941307,33179854112.960804,36501376337.249054,36448361477.600746,33347865990.22189,32544905564.610916,32840906304.834778,19915599654.941307,26902889886.31143,33340145625.027325,40451399337.00219,38053191834.71239,34327656037.722622,34044597861.983032
generators,capital,ror,4394961172.33428,4394961172.33428,4394961172.33428,4394961172.33428,4394961172.33428,4394961172.33428,4394961172.33428,4394961172.33428,4394961172.33428,4394961172.33428,4394961172.33428,4394961172.33428,4394961172.33428,4394961172.33428
generators,capital,solar,7688969046.315895,14773836425.945171,23788722854.726856,38038959227.10952,47461730941.504005,47710788255.96501,47826582988.553696,7688969046.315895,11084853645.098137,22923024496.81339,47817144861.1046,54694408614.23049,47376285579.28862,41859713768.39233
generators,marginal,offwind,240127880.8856503,231798794.44185206,1011142968.6356142,1315249276.464004,1248714491.9866612,1244185289.260022,1420147043.5001063,240127880.8856503,226380735.48962814,904089060.4568889,1608858687.0809884,2013201307.3411763,1947155486.0853808,1847865335.424049
generators,marginal,onwind,556377751.4505665,1056024093.3809117,1206926583.7964113,1227536973.0248587,1141909794.6597135,1115202329.1575987,1135962535.1616542,556377751.4505665,833742686.2161943,1101049976.6647296,1347425922.2034478,1317742197.9337435,1216051921.031869,1201620923.6425622
generators,marginal,ror,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
generators,marginal,solar,1307099.009651498,3413594.9403041494,6514399.225962957,11674011.767336277,15767135.09682096,17201056.858838566,19120408.835377477,1307099.009651498,2526097.4654418253,6302459.218067315,14371483.93250893,17860352.198577978,17169576.85224147,16937756.374821384
links,capital,CCGT,15159208031.230991,11944232670.127888,10137420076.625107,5188763082.308529,3418279224.3023887,2994020328.6620746,2983521609.8849373,15159208031.230991,11975575331.56893,9339100163.399277,4371677300.200797,2602521287.853428,2180920466.697329,2173193453.3396473
links,capital,H2 Electrolysis,10398802.34494819,10953272.778189592,12214246.076499535,13212353.234693276,13907065.444114758,624492131.993121,4837118912.775486,10398802.34494819,10609489.909001697,11809805.906452166,18978370.67780967,6587031512.191333,6430198816.718657,6273372532.749418
links,capital,H2 Fuel Cell,9373073.05270638,9922094.87081642,9237080.459495194,9300477.152792307,9618445.462122843,9148815.844676351,8382685.874029899,9373073.05270638,9790452.52516831,9599375.759265741,12160383.987945259,11295587.014677972,10404057.685234351,9525474.935495358
links,capital,OCGT,195204570.32377428,570547075.919213,570980036.0564947,664999955.8404131,733795538.0592164,732255530.6351099,730549525.2135631,195204570.32377428,402009014.1491565,573337766.6507485,522874978.01619744,593282031.6873562,592023282.890735,590635656.5891495
