scenario,,go,go,go,go,go,go,go,wait,wait,wait,wait,wait,wait,wait
line_volume_limit,,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP
year,,2020,2025,2030,2035,2040,2045,2050,2020,2025,2030,2035,2040,2045,2050
generators,offwind,80939423.55288644,83535577.5543731,388665937.35629565,511913628.99816597,503051830.46544003,511052654.1971103,589368945.5645272,80939423.55288644,80301106.52183181,337491081.7919701,613746070.4451948,796809364.5536673,783154595.0603667,752953467.8015163
generators,onwind,371381736.77441466,744034578.2237148,884059087.3861258,923922519.9701912,890215316.6946608,885191568.1681638,907958679.3634621,371381736.77441466,584456423.1354157,820746684.469726,1027816003.020065,1050627514.036309,979868741.7339814,979381844.9088482
generators,ror,157830724.3809364,157824508.79417762,157666138.2252549,157614253.2654901,157312026.34228525,156734489.3738154,157625303.12942,157830724.3809364,157829537.7510547,157667955.22166634,157185953.43661517,157633197.45152152,157741280.55040404,157784651.1147042
generators,solar,130695776.37840924,342482127.807866,649168583.0605,1158593591.6276932,1578180285.435226,1718537952.7308168,1901827957.7638028,130695776.37840924,255110859.29376245,631579823.671453,1435391375.3893332,1783763890.5564651,1715437442.3102639,1692858467.2815979
links,CCGT,-591584496.4107137,-489464237.0477784,-396202459.3183008,-163589146.92455485,-38867962.3679364,-14017089.68665615,-5586157.3324947795,-591584496.4107137,-567719792.5436164,-365999912.5669838,-51391424.31019552,-5965668.932129604,-8837893.647619246,-6354513.890378459
links,H2 Electrolysis,-106150.56193901118,-89532.72972711438,-91986.35030564078,-75152.88371837704,-144167.06077624843,-7686500.144874972,-65036281.11418424,-106150.56193901118,-103056.00651941996,-82219.99620254517,-185996.5311820138,-85912339.17997572,-78500529.13453658,-81143370.40305012
links,H2 Fuel Cell,-84892.45060581526,-77112.7494023349,-76792.66445483263,-72175.08752918379,-111264.16406952249,-653084.4826820673,-325594.4264120858,-84892.45060581526,-85236.61927857225,-73135.22267265282,-134548.96284256421,-39785.703500695745,-70705.6246569565,-68619.41929242435
links,OCGT,-886987.5715919882,-9810440.170569867,-6818758.910405965,-12521220.622869248,-10380324.293576203,-6982490.5989750335,-4118935.313474074,-886987.5715919882,-6828254.199672571,-7470814.703653766,-6378548.322417064,-3274301.56490801,-3735099.0066177933,-3097204.6679464867
links,Sabatier,-89122.85325558571,-69892.02497197101,-74110.93207841305,-51608.16458108076,-124983.63170906046,-11676950.221239652,-103748062.54192476,-89122.85325558571,-83809.03160554163,-62009.23273039434,-169996.4581584956,-137421961.3383096,-125533612.26419812,-129764146.27746733
links,battery charger,-87806.88160366315,-141277.08444783563,-760281.3049042525,-15835905.782515548,-28065439.655504085,-31628348.174975757,-34412466.88181875,-87806.88160366315,-118376.85797503762,-833186.3062215437,-24331712.39883733,-31771285.850263275,-30286068.072117113,-29438162.537126977
links,battery discharger,-83417.2245396829,-134921.80367997743,-729870.2815164367,-15202469.890306816,-26942823.009965792,-30363216.032007106,-33035968.548817817,-83417.2245396829,-113051.85842013889,-799859.2200787261,-23358445.715824395,-30500434.782185525,-29074625.697041012,-28260636.38718138
