scenario,go,go,go,go,go,go,go,wait,wait,wait,wait,wait,wait,wait
line_volume_limit,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP
year,2020,2025,2030,2035,2040,2045,2050,2020,2025,2030,2035,2040,2045,2050
penetration,0.051899887274101233,0.11920450948590691,0.22854062957012522,0.3621081018559123,0.47193015809968464,0.5426912446898702,0.6309374117162281,0.051899887274101233,0.08805652067621099,0.21396885333012214,0.4554460650169781,0.5798273354342653,0.5927248314600966,0.6276991874262974
mix,0.6094191451357779,0.4834772480398184,0.5304876750495349,0.4122532893444143,0.3496334125029352,0.35081525222069976,0.34210401863158885,0.6094191451357779,0.49692305837589346,0.5066738088324555,0.4244794378985466,0.4024877448884103,0.3977795384804585,0.40042884360823594
onwind capacity,185728.48987002953,328033.40459128434,376966.88975478895,382390.4901841386,357603.68158540165,353748.4990688873,359023.31276285485,185728.48987002953,264709.66935437033,348964.3348029299,429116.1679344345,416671.2745841963,378451.3071086903,378359.9276878374
onwind expansion,30189.750870029442,148860.01172125494,76133.91416350442,41852.7684293497,22253.751401262925,34365.95248348588,5367.163693967509,30189.750870029442,85536.27648434069,111455.09444855974,116581.00113150451,34595.66664976174,1.1675244940526524,0.9705791471465107
offwind capacity,16920.330895563646,17867.274789991687,85562.26604370234,119823.15858572575,127276.92759628622,144240.0955802975,152500.23830213505,16920.330895563646,16899.40953424612,73720.63332047417,162965.1136882853,199087.38007272326,188585.29580941916,188585.50604768406
offwind expansion,26.410895563651668,971.4938944280367,68193.59125371068,34969.742542023385,12613.369010560467,27465.48798401127,8260.142721837587,26.410895563651668,3.628638682466341,57319.82378622805,89953.33036781116,41281.86638443796,0.23573669587263235,0.21070799370966387
solar capacity,116691.01400377878,268371.396003695,531747.7402914258,937623.9253312785,1312542.3512511607,1448673.3614166265,1622260.2136855973,116691.01400377878,202670.61159944485,515512.0294459483,1183725.143697668,1509798.9889589036,1443635.271583317,1423479.1477116905
solar expansion,257.01400377876666,151680.38199991608,263575.3442877309,407997.1850398523,402711.4259198827,202295.01016546585,193743.85226897046,257.01400377876666,85979.59759566607,313040.41784650343,670334.1142517197,353866.84526123543,0.28262441369102476,0.8761283727239204
heat pump uti,0.40095758361406203,0.3734954392325044,0.36754690174989835,0.372494873213869,0.3755349367273266,0.35246793223544687,0.3202880420455385,0.40095758361406203,0.3665947170275046,0.3608154761090421,0.4043084387922583,0.38069900209425456,0.34527708718734035,0.30647234600729256
heat pump capacity,140777.76912590084,138221.04943794114,137579.57602076884,144360.8949260489,155414.67552392973,160292.08798975908,162913.50014601555,140777.76912590084,138220.8181594563,136558.45250688546,164336.342640493,184000.95947207685,184001.10594670847,184001.36014207156
heat pump energy,1619103324.68163,1481403623.1203692,1452523018.6790342,1548382448.198912,1677587773.2698944,1621828930.9179184,1491513663.2572649,1619103324.68163,1455624130.300814,1414795346.5976064,1904224200.7408752,1986251213.2637079,1801169437.3058782,1599944453.3030488
