scenario,go,go,go,go,go,go,go,wait,wait,wait,wait,wait,wait,wait
line_volume_limit,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP
year,2020,2025,2030,2035,2040,2045,2050,2020,2025,2030,2035,2040,2045,2050
water tanks,18.607062270543448,20.45364600421324,23.523656554411797,27.174501354391342,27.90934923272325,27.689486563948527,26.314858047606062,18.607062270543448,18.698921625628472,22.16825870696443,31.011919150431517,32.05387204597077,9.633405619784277,6.598772816885548
coal,8.150157643089294,12.863711623999036,21.263432801902805,37.76266334130171,58.24339560979303,102.4620422859783,135.14621664899857,8.150157643089294,8.150238916699893,17.40093846669852,71.67444384518359,146.3718267739806,23.948039317503003,15.57549609900082
gas,20.100094257600166,22.918412736900905,27.940756707598123,37.80594261859779,50.05173983559191,76.49086189930102,96.0333160562803,20.100094257600166,20.100142852604233,25.631302057204373,58.08240450838683,102.74530972098681,29.545931101105445,24.539837319898766
electricity,39.82906144095285,46.629060750732386,52.8467491465351,56.58858619304961,54.60368359130445,53.906994821842446,50.601767573230674,39.82906144095285,44.16618674992277,50.299584996042555,60.934064840728524,60.13096819366087,24.045486275661254,18.034767958852555
oil,50.0001249745084,53.7368819887043,60.39591616049119,73.47598603949884,89.71246498349002,124.76761419698775,150.67859735400947,50.0001249745084,50.00018940559153,57.33385240611052,100.36017664801115,159.57790720501143,62.52418758139198,55.88669923901009
battery,39.73351744022984,46.07338724657392,52.47000226228298,56.32971446016987,54.40187320872221,53.606826302930855,50.23825335251138,39.73351744022984,43.61878009094822,49.7042756252469,60.72774166291727,59.83270038312095,24.271905376973873,18.20467659862891
H2,41.48127756445711,47.548592338934206,51.77354496316589,50.69018266765636,47.584221636691645,44.86139353158056,50.79795538371421,41.48127756445711,44.9192255725392,49.418412489040826,52.11145336442636,56.891570042003046,20.366909748558324,16.555724943065194
nuclear,2.5999999999997763,2.5999999999997763,2.5999999999997763,2.5999999999997763,2.5999999999997763,2.5999999999997763,2.5999999999997763,2.5999999999997763,2.5999999999997763,2.5999999999997763,2.5999999999997763,2.5999999999997763,2.5999999999997763,2.5999999999997763
solid biomass,23.296102050683622,23.723120459187108,23.91944021017661,24.215010908909846,24.74798537972409,25.1574055707833,25.170101678855364,23.296102050683622,23.555008070745476,23.48574573266167,24.89952276537169,25.186924956055954,25.107354269019247,24.96714050260385
urban heat,12.456258189487977,12.320623502076185,13.850736917636732,16.346050431580785,15.885871217062448,14.52754556518656,13.443844471020594,12.456258189487977,10.306875807501878,12.624675941888528,17.088294598780926,15.25903980225889,5.598947881664828,4.265017315965342
cooling,22.817430353559097,20.99648853512729,22.469383178959127,24.464643779254,24.009096300147302,23.380841033963296,21.980429677675154,22.817430353559097,19.612731100337953,21.585190633102545,26.63426716328113,26.52980047612848,9.120136252573955,6.578834831299961
lignite,2.900190840169729,8.606342989319701,18.77490947770065,38.74861088940158,63.54225384420626,117.07263172601735,156.63956413900186,2.900190840169729,2.9002892286905304,14.09903635930078,79.80166342431089,170.2291060429998,22.024850668901607,11.889185378098793
heat,18.6521921306443,20.46585839954751,23.52279796223728,27.21283872963848,28.056571313778363,28.05154907153498,26.71477522958782,18.6521921306443,18.72502197718793,22.15835008110614,31.0777339972975,32.62050796173252,9.785913883870714,6.691984868883126
central water tanks,12.647080434470608,12.46197447453048,14.008910386775517,16.400223518889888,15.942885976391503,14.267884520684941,13.087676352245476,12.647080434470608,10.466227101561326,12.798466947005673,17.087280132486775,14.918937161353094,5.502034795498295,4.184329737425448
