scenario,,,go,go,go,go,go,go,go,wait,wait,wait,wait,wait,wait,wait
line_volume_limit,,,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP
year,,,2020,2025,2030,2035,2040,2045,2050,2020,2025,2030,2035,2040,2045,2050
cooling,links,cooling pump,70484090.07738455,70484090.07738455,70484090.07738455,70484090.07738455,70484090.07738455,70484090.07738455,70484090.07738455,70484090.07738455,70484090.07738455,70484090.07738455,70484090.07738455,70484090.07738455,70484090.07738455,70484090.07738455
cooling,loads,cooling,-70484090.07738394,-70484090.07738394,-70484090.07738394,-70484090.07738394,-70484090.07738394,-70484090.07738394,-70484090.07738394,-70484090.07738394,-70484090.07738394,-70484090.07738394,-70484090.07738394,-70484090.07738394,-70484090.07738394,-70484090.07738394
electricity,generators,offwind,80939423.55288644,83535577.5543731,388665937.35629565,511913628.99816597,503051830.46544003,511052654.1971103,589368945.5645272,80939423.55288644,80301106.52183181,337491081.7919701,613746070.4451948,796809364.5536673,783154595.0603667,752953467.8015163
electricity,generators,onwind,371381736.77441466,744034578.2237148,884059087.3861258,923922519.9701912,890215316.6946608,885191568.1681638,907958679.3634621,371381736.77441466,584456423.1354157,820746684.469726,1027816003.020065,1050627514.036309,979868741.7339814,979381844.9088482
electricity,generators,ror,157830724.3809364,157824508.79417762,157666138.2252549,157614253.2654901,157312026.34228525,156734489.3738154,157625303.12942,157830724.3809364,157829537.7510547,157667955.22166634,157185953.43661517,157633197.45152152,157741280.55040404,157784651.1147042
electricity,generators,solar,130695776.37840924,342482127.807866,649168583.0605,1158593591.6276932,1578180285.435226,1718537952.7308168,1901827957.7638028,130695776.37840924,255110859.29376245,631579823.671453,1435391375.3893332,1783763890.5564651,1715437442.3102639,1692858467.2815979
electricity,links,CCGT,851304519.2251734,734196355.571666,619701282.5234979,261317728.20415965,63416149.126633056,23361816.144426953,9511565.187761268,851304519.2251734,851579688.8154279,572461401.7073342,82092794.67732532,9733459.836632544,14729822.746032128,10819847.975509185
electricity,links,H2 Electrolysis,-530752.8096950564,-447663.64863557054,-459931.75152820465,-375764.41859188734,-720835.3038812445,-38432500.724375114,-325181405.5709186,-530752.8096950564,-515280.03259710077,-411099.98101272556,-929982.6559100688,-429561695.89987767,-392502645.6726835,-405716852.0152514
electricity,links,H2 Fuel Cell,117232.43178898304,106489.03488893858,106047.01281857835,99670.35896887284,153650.51228648354,901878.5713228434,449630.3983785976,117232.43178898304,117707.71233707572,100996.25988128237,185805.71059211207,54942.161977151336,97641.10071674942,94760.15045144336
electricity,links,OCGT,642301.3449459216,7251194.908682052,5143976.020130853,9640231.806987848,8155969.087809863,5598573.543322308,3370037.983751497,642301.3449459216,5046970.495410134,5635877.758896726,4910917.734958244,2572665.515284889,2994809.113414248,2534076.546501666
electricity,links,battery charger,-1756137.6320732553,-3140404.1985144713,-19007032.622606613,-395897644.5629007,-701635991.3875812,-790708704.3744146,-860311672.0454173,-1756137.6320732553,-2631362.214507055,-20829657.655537553,-608292809.9709256,-794282146.2565858,-757151701.8029208,-735954063.4281721
